"",BBSF2.M.1.P.00000.GEM01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.GEM01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Public funds / Mixed securities funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:51,
2009-09,134,
2009-10,127,
2009-11,119,
2009-12,89,
2010-01,84,
2010-02,103,
2010-03,170,
2010-04,199,
2010-05,273,
2010-06,219,
2010-07,250,
2010-08,257,
2010-09,314,
2010-10,298,
2010-11,396,
2010-12,414,
2011-01,331,
2011-02,416,
2011-03,432,
2011-04,451,
2011-05,484,
2011-06,493,
2011-07,482,
2011-08,199,
2011-09,238,
2011-10,279,
2011-11,227,
2011-12,148,
2012-01,153,
2012-02,163,
2012-03,152,
2012-04,150,
2012-05,154,
2012-06,126,
2012-07,133,
2012-08,129,
2012-09,101,
2012-10,86,
2012-11,67,
2012-12,62,
2013-01,49,
2013-02,42,
2013-03,34,
2013-04,39,
2013-05,45,
2013-06,51,
2013-07,54,
2013-08,57,
2013-09,49,
2013-10,52,
2013-11,54,
2013-12,55,
2014-01,58,
2014-02,56,
2014-03,55,
2014-04,58,
2014-05,46,
2014-06,49,
2014-07,50,
2014-08,66,
2014-09,67,
2014-10,60,
2014-11,63,
