"",BBK01.CEHEQC,BBK01.CEHEQC_FLAGS
"",short-term loans debtor: All sectors                    creditor: General government  (consolidated),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:59,
1991-01,0.1,
1991-04,0.1,
1991-07,0.1,
1991-10,0.0,
1992-01,0.1,
1992-04,0.1,
1992-07,0.1,
1992-10,0.1,
1993-01,0.1,
1993-04,0.0,
1993-07,0.1,
1993-10,0.1,
1994-01,0.1,
1994-04,0.1,
1994-07,0.1,
1994-10,0.1,
1995-01,0.0,
1995-04,0.0,
1995-07,0.0,
1995-10,0.0,
1996-01,0.0,
1996-04,0.0,
1996-07,0.0,
1996-10,0.0,
1997-01,0.0,
1997-04,0.0,
1997-07,0.0,
1997-10,0.0,
1998-01,0.0,
1998-04,0.0,
1998-07,0.0,
1998-10,0.0,
1999-01,0.0,
1999-04,0.0,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.0,
2000-10,0.0,
2001-01,0.0,
2001-04,0.0,
2001-07,0.0,
2001-10,-0.4,
2002-01,0.4,
2002-04,0.0,
2002-07,0.0,
2002-10,0.0,
2003-01,0.0,
2003-04,0.0,
2003-07,0.0,
2003-10,0.0,
2004-01,0.0,
2004-04,0.0,
2004-07,0.0,
2004-10,0.1,
2005-01,-0.2,
2005-04,0.0,
2005-07,3.8,
2005-10,-3.8,
2006-01,0.1,
2006-04,0.5,
2006-07,1.7,
2006-10,-0.7,
2007-01,-1.6,
2007-04,0.5,
2007-07,-0.1,
2007-10,0.7,
2008-01,-1.2,
2008-04,4.6,
2008-07,-1.2,
2008-10,10.7,
2009-01,-0.6,
2009-04,0.9,
2009-07,5.2,
2009-10,-1.8,
2010-01,0.7,
2010-04,9.5,
2010-07,-6.2,
2010-10,0.8,
2011-01,-9.6,
2011-04,16.4,
2011-07,-8.2,
2011-10,-6.8,
2012-01,-2.9,
2012-04,19.2,
2012-07,-11.7,
2012-10,8.5,
2013-01,-9.4,
2013-04,10.0,
2013-07,-18.7,
2013-10,12.9,
2014-01,-8.2,
