"",BBK01.CEFP20,BBK01.CEFP20_FLAGS
"",Time deposits                                                    debtor: Domestic financial corporations    creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:08,
1999-01,2197.7,
1999-04,2238.3,
1999-07,2320.8,
1999-10,2438.3,
2000-01,2467.8,
2000-04,2464.3,
2000-07,2520.3,
2000-10,2633.9,
2001-01,2701.7,
2001-04,2703.2,
2001-07,2694.0,
2001-10,2738.6,
2002-01,2671.5,
2002-04,2626.9,
2002-07,2640.4,
2002-10,2722.1,
2003-01,2673.9,
2003-04,2669.8,
2003-07,2634.8,
2003-10,2694.1,
2004-01,2631.5,
2004-04,2659.1,
2004-07,2673.1,
2004-10,2779.8,
2005-01,2726.1,
2005-04,2752.3,
2005-07,2781.7,
2005-10,2825.8,
2006-01,2846.5,
2006-04,2856.3,
2006-07,2869.3,
2006-10,2909.6,
2007-01,2940.3,
2007-04,2953.2,
2007-07,3064.7,
2007-10,3257.9,
2008-01,3224.0,
2008-04,3252.1,
2008-07,3392.9,
2008-10,3394.6,
2009-01,3147.0,
2009-04,3166.1,
2009-07,2983.6,
2009-10,2913.1,
2010-01,2846.4,
2010-04,2898.0,
2010-07,2777.1,
2010-10,2823.6,
2011-01,2713.4,
2011-04,2683.1,
2011-07,2754.0,
2011-10,2801.5,
2012-01,2878.1,
2012-04,2847.9,
2012-07,2762.1,
2012-10,2614.7,
2013-01,2564.2,
2013-04,2520.9,
2013-07,2496.4,
2013-10,2480.1,
2014-01,2430.4,
2014-04,2397.1,
2014-07,2407.0,
