"",BBFB1.M.N.DE.W1.S121.S1N.T.A.FA.R.F12.T.XDR.M.N,BBFB1.M.N.DE.W1.S121.S1N.T.A.FA.R.F12.T.XDR.M.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / SDRs / Rest of the World / Central bank / Reserve Assets,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:29,
1991-01,-0.028,
1991-02,27.006,
1991-03,-1.662,
1991-04,-12.553,
1991-05,21.968,
1991-06,-23.859,
1991-07,-0.656,
1991-08,20.484,
1991-09,-2.381,
1991-10,-7.226,
1991-11,3.835,
1991-12,-5.803,
1992-01,-9.164,
1992-02,28.392,
1992-03,-7.132,
1992-04,-,Nothing exists
1992-05,33.255,
1992-06,-,Nothing exists
1992-07,-20.791,
1992-08,-29.168,
1992-09,-23.530,
1992-10,71.257,
1992-11,-63.661,
1992-12,-796.964,
1993-01,-1.215,
1993-02,28.366,
1993-03,-,Nothing exists
1993-04,-,Nothing exists
1993-05,33.863,
1993-06,-,Nothing exists
1993-07,-,Nothing exists
1993-08,22.566,
1993-09,-,Nothing exists
1993-10,-,Nothing exists
1993-11,21.387,
1993-12,-,Nothing exists
1994-01,-,Nothing exists
1994-02,18.862,
1994-03,-,Nothing exists
1994-04,-,Nothing exists
1994-05,-,Nothing exists
1994-06,-,Nothing exists
1994-07,-,Nothing exists
1994-08,17.980,
1994-09,-,Nothing exists
1994-10,-,Nothing exists
1994-11,18.731,
1994-12,-,Nothing exists
1995-01,-,Nothing exists
1995-02,591.546,
1995-03,-0.001,
1995-04,-,Nothing exists
1995-05,29.249,
1995-06,-0.001,
1995-07,0.001,
1995-08,30.984,
1995-09,-,Nothing exists
1995-10,-,Nothing exists
1995-11,29.302,
1995-12,-17.666,
1996-01,-27.299,
1996-02,45.096,
1996-03,-16.982,
1996-04,-27.571,
1996-05,7.891,
1996-06,-1.248,
1996-07,-2.998,
1996-08,15.384,
1996-09,-16.579,
1996-10,-0.797,
1996-11,16.021,
1996-12,-12.527,
1997-01,-,Nothing exists
1997-02,-4.269,
1997-03,-,Nothing exists
1997-04,-,Nothing exists
1997-05,4.228,
1997-06,-,Nothing exists
1997-07,-3.938,
1997-08,23.398,
1997-09,-,Nothing exists
1997-10,-21.825,
1997-11,1.532,
1997-12,-,Nothing exists
1998-01,-,Nothing exists
1998-02,51.413,
1998-03,-,Nothing exists
1998-04,-5.389,
1998-05,50.201,
1998-06,33.411,
1998-07,-7.296,
1998-08,25.717,
1998-09,-59.108,
1998-10,-80.337,
1998-11,54.499,
1998-12,-55.124,
1999-01,-,Nothing exists
1999-02,-1431.377,
1999-03,220.071,
1999-04,1449.726,
1999-05,-10.243,
1999-06,-135.642,
1999-07,-50.961,
1999-08,52.613,
1999-09,-52.383,
1999-10,-1.296,
1999-11,24.403,
1999-12,107.948,
2000-01,-102.786,
2000-02,53.757,
2000-03,0.001,
2000-04,-89.455,
2000-05,51.032,
2000-06,-12.132,
2000-07,-17.329,
2000-08,53.800,
2000-09,-13.488,
2000-10,-55.234,
2000-11,53.978,
2000-12,-23.981,
2001-01,-28.682,
2001-02,60.552,
2001-03,0.000,
2001-04,-31.953,
2001-05,53.107,
2001-06,-22.218,
2001-07,-5.655,
2001-08,46.517,
2001-09,0.000,
2001-10,-11.587,
2001-11,44.560,
2001-12,0.000,
2002-01,-49.381,
2002-02,34.945,
2002-03,-,Nothing exists
2002-04,-42.542,
2002-05,23.758,
2002-06,-3.418,
2002-07,-,Nothing exists
2002-08,39.811,
2002-09,-,Nothing exists
2002-10,-,Nothing exists
2002-11,34.839,
2002-12,-,Nothing exists
2003-01,-56.703,
2003-02,-7.169,
2003-03,-46.006,
2003-04,-108.788,
2003-05,24.212,
2003-06,0.000,
2003-07,-,Nothing exists
2003-08,23.665,
2003-09,-,Nothing exists
2003-10,-,Nothing exists
2003-11,23.915,
2003-12,-41.542,
2004-01,-,Nothing exists
2004-02,22.630,
2004-03,-,Nothing exists
2004-04,-0.001,
2004-05,21.457,
2004-06,-19.037,
2004-07,-0.336,
2004-08,16.361,
2004-09,-9.287,
2004-10,-1.415,
2004-11,-6.108,
2004-12,-0.575,
2005-01,-0.233,
2005-02,25.658,
2005-03,-22.327,
2005-04,-,Nothing exists
2005-05,24.874,
2005-06,-27.611,
2005-07,-0.541,
2005-08,-1.059,
2005-09,-,Nothing exists
2005-10,-,Nothing exists
2005-11,1.661,
2005-12,-4.832,
2006-01,-,Nothing exists
2006-02,20.757,
2006-03,-,Nothing exists
2006-04,-,Nothing exists
2006-05,14.109,
2006-06,-14.148,
2006-07,-11.671,
2006-08,14.185,
2006-09,-8.173,
2006-10,-,Nothing exists
2006-11,14.163,
2006-12,-14.328,
2007-01,-,Nothing exists
2007-02,11.912,
2007-03,-,Nothing exists
2007-04,-,Nothing exists
2007-05,8.377,
2007-06,-,Nothing exists
2007-07,-,Nothing exists
2007-08,8.547,
2007-09,-,Nothing exists
2007-10,-,Nothing exists
2007-11,7.301,
2007-12,-,Nothing exists
2008-01,-,Nothing exists
2008-02,5.865,
2008-03,40.544,
2008-04,-,Nothing exists
2008-05,4.370,
2008-06,-,Nothing exists
2008-07,-,Nothing exists
2008-08,5.916,
2008-09,0.001,
2008-10,-,Nothing exists
2008-11,5.875,
2008-12,-,Nothing exists
2009-01,-,Nothing exists
2009-02,3.595,
2009-03,-,Nothing exists
2009-04,-,Nothing exists
2009-05,1.830,
2009-06,-111.244,
2009-07,-,Nothing exists
2009-08,2.629,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,1.847,
2009-12,-,Nothing exists
2010-01,-,Nothing exists
2010-02,1.453,
2010-03,-,Nothing exists
2010-04,-,Nothing exists
2010-05,1.789,
2010-06,-,Nothing exists
2010-07,-,Nothing exists
2010-08,2.601,
2010-09,-,Nothing exists
2010-10,-4.863,
2010-11,3.133,
2010-12,-,Nothing exists
2011-01,-,Nothing exists
2011-02,3.668,
2011-03,-440.201,
2011-04,-,Nothing exists
2011-05,5.365,
2011-06,-,Nothing exists
2011-07,140.367,
2011-08,7.478,
2011-09,-,Nothing exists
2011-10,-,Nothing exists
2011-11,-46.922,
2011-12,-,Nothing exists
2012-01,-2.145,
2012-02,-89.971,
2012-03,-,Nothing exists
2012-04,-0.815,
2012-05,-75.165,
2012-06,-,Nothing exists
2012-07,-1.231,
2012-08,-158.602,
2012-09,-,Nothing exists
2012-10,32.053,
2012-11,1.657,
2012-12,-,Nothing exists
2013-01,-2.860,
2013-02,-66.865,
2013-03,-33.334,
2013-04,-12.104,
2013-05,-41.452,
2013-06,-14.810,
2013-07,-153.649,
2013-08,1.319,
2013-09,-,Nothing exists
2013-10,120.591,
2013-11,1.350,
2013-12,-,Nothing exists
2014-01,-,Nothing exists
2014-02,1.823,
2014-03,-,Nothing exists
2014-04,211.633,
2014-05,1.931,
2014-06,-,Nothing exists
2014-07,136.615,
2014-08,216.724,
2014-09,-,Nothing exists
2014-10,-17.990,
2014-11,0.267,
2014-12,-8.207,
