"",BBFB1.Q.N.DE.CH.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CH.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Switzerland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:41,
1991-01,967.325,
1991-04,916.928,
1991-07,960.818,
1991-10,923.125,
1992-01,888.963,
1992-04,920.193,
1992-07,871.069,
1992-10,843.727,
1993-01,854.438,
1993-04,811.373,
1993-07,795.036,
1993-10,908.705,
1994-01,889.235,
1994-04,863.716,
1994-07,772.104,
1994-10,874.310,
1995-01,811.915,
1995-04,678.081,
1995-07,653.750,
1995-10,772.796,
1996-01,902.809,
1996-04,838.085,
1996-07,810.212,
1996-10,961.398,
1997-01,975.549,
1997-04,810.824,
1997-07,802.546,
1997-10,1195.944,
1998-01,880.527,
1998-04,1017.223,
1998-07,883.502,
1998-10,1194.996,
1999-01,969.932,
1999-04,1227.532,
1999-07,1035.323,
1999-10,1279.173,
2000-01,1238.060,
2000-04,978.132,
2000-07,1006.974,
2000-10,1162.868,
2001-01,1217.162,
2001-04,1387.066,
2001-07,1242.428,
2001-10,1356.569,
2002-01,1132.900,
2002-04,1162.823,
2002-07,1096.587,
2002-10,1302.417,
2003-01,1101.279,
2003-04,1153.574,
2003-07,1202.060,
2003-10,1326.415,
2004-01,1440.798,
2004-04,1416.149,
2004-07,1340.331,
2004-10,1465.473,
2005-01,1561.131,
2005-04,1629.605,
2005-07,1686.812,
2005-10,1891.160,
2006-01,1882.876,
2006-04,1953.885,
2006-07,1940.892,
2006-10,2140.053,
2007-01,2631.865,
2007-04,2586.278,
2007-07,2218.023,
2007-10,2254.559,
2008-01,2610.409,
2008-04,2041.858,
2008-07,1652.038,
2008-10,2080.276,
2009-01,2261.576,
2009-04,2250.062,
2009-07,2156.391,
2009-10,2421.533,
2010-01,1880.384,
2010-04,1881.407,
2010-07,1779.953,
2010-10,1994.349,
2011-01,2315.547,
2011-04,2274.506,
2011-07,2143.709,
2011-10,2405.518,
2012-01,2354.475,
2012-04,2337.428,
2012-07,2119.500,
2012-10,3252.420,
2013-01,2094.606,
2013-04,2038.944,
2013-07,1785.357,
2013-10,2212.974,
2014-01,2151.894,Provisional value
2014-04,2122.107,Provisional value
2014-07,1726.079,Provisional value
