"",BBK01.OEBB18J,BBK01.OEBB18J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:04,
2002-01,0.161,
2002-04,0.157,
2002-07,0.159,
2002-10,0.149,
2003-01,0.136,
2003-04,0.140,
2003-07,0.138,
2003-10,0.130,
2004-01,0.122,
2004-04,0.120,
2004-07,0.120,
2004-10,0.109,
2005-01,0.113,
2005-04,0.132,
2005-07,0.145,
2005-10,0.143,
2006-01,0.140,
2006-04,0.139,
2006-07,0.159,
2006-10,0.154,
2007-01,0.153,
2007-04,0.149,
2007-07,0.147,
2007-10,0.152,
2008-01,0.145,
2008-04,0.124,
2008-07,0.126,
2008-10,0.125,
2009-01,0.112,
2009-04,0.127,
2009-07,0.119,
2009-10,0.114,
2010-01,0.116,
2010-04,0.109,
2010-07,0.115,
2010-10,0.116,
2011-01,0.121,
2011-04,0.134,
2011-07,0.144,
2011-10,0.133,
2012-01,0.129,
2012-04,0.122,
2012-07,0.109,
2012-10,0.116,
2013-01,0.112,
2013-04,0.109,
2013-07,0.114,
2013-10,0.115,
2014-01,0.110,
2014-04,0.114,
2014-07,0.120,
