"",BBK01.OEAJ07P,BBK01.OEAJ07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:40,
2002-01,0.095,
2002-04,0.092,
2002-07,0.092,
2002-10,0.094,
2003-01,0.099,
2003-04,0.105,
2003-07,0.108,
2003-10,0.120,
2004-01,0.120,
2004-04,0.118,
2004-07,0.119,
2004-10,0.120,
2005-01,0.118,
2005-04,0.115,
2005-07,0.111,
2005-10,0.118,
2006-01,0.109,
2006-04,0.110,
2006-07,0.105,
2006-10,0.104,
2007-01,0.104,
2007-04,0.103,
2007-07,0.105,
2007-10,0.105,
2008-01,0.101,
2008-04,0.095,
2008-07,0.102,
2008-10,0.102,
2009-01,0.098,
2009-04,0.088,
2009-07,0.103,
2009-10,0.077,
2010-01,0.082,
2010-04,0.085,
2010-07,0.083,
2010-10,0.087,
2011-01,0.094,
2011-04,0.083,
2011-07,0.080,
2011-10,0.082,
2012-01,0.084,
2012-04,0.091,
2012-07,0.103,
2012-10,0.111,
2013-01,0.120,
2013-04,0.123,
2013-07,0.120,
2013-10,0.123,
2014-01,0.118,
2014-04,0.124,
2014-07,0.120,
