"",BBK01.CEFXEL,BBK01.CEFXEL_FLAGS
"","Pension entitlements, Claims of pension funds on pension managers, Entitlements to non-pension benefits  debtor: Pension funds                             creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:08,
1999-01,156.0,
1999-04,158.6,
1999-07,161.7,
1999-10,164.7,
2000-01,168.8,
2000-04,171.4,
2000-07,174.3,
2000-10,176.3,
2001-01,180.3,
2001-04,182.7,
2001-07,185.5,
2001-10,183.2,
2002-01,187.1,
2002-04,189.3,
2002-07,192.0,
2002-10,191.0,
2003-01,194.6,
2003-04,196.8,
2003-07,199.1,
2003-10,205.2,
2004-01,208.3,
2004-04,210.3,
2004-07,212.4,
2004-10,219.7,
2005-01,222.9,
2005-04,225.1,
2005-07,227.3,
2005-10,239.3,
2006-01,242.8,
2006-04,246.9,
2006-07,253.0,
2006-10,258.7,
2007-01,266.1,
2007-04,271.2,
2007-07,278.3,
2007-10,288.7,
2008-01,292.0,
2008-04,295.6,
2008-07,299.3,
2008-10,302.6,
2009-01,307.1,
2009-04,312.9,
2009-07,318.8,
2009-10,325.3,
2010-01,330.4,
2010-04,336.5,
2010-07,342.1,
2010-10,350.6,
2011-01,355.2,
2011-04,359.3,
2011-07,363.3,
2011-10,370.1,
2012-01,376.8,
2012-04,381.0,
2012-07,385.7,
2012-10,396.9,
2013-01,402.4,
2013-04,406.5,
2013-07,410.6,
2013-10,419.7,
2014-01,426.6,
2014-04,431.5,
2014-07,435.0,
