"",BBK01.OELL09I,BBK01.OELL09I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:33,
2002-01,0.312,
2002-04,0.289,
2002-07,0.264,
2002-10,0.221,
2003-01,0.209,
2003-04,0.204,
2003-07,0.205,
2003-10,0.201,
2004-01,0.153,
2004-04,0.139,
2004-07,0.151,
2004-10,0.187,
2005-01,0.232,
2005-04,0.210,
2005-07,0.162,
2005-10,0.110,
2006-01,0.116,
2006-04,0.140,
2006-07,0.147,
2006-10,0.169,
2007-01,0.158,
2007-04,0.124,
2007-07,0.103,
2007-10,0.087,
2008-01,0.072,
2008-04,0.061,
2008-07,0.069,
2008-10,0.063,
2009-01,0.063,
2009-04,0.069,
2009-07,0.076,
2009-10,0.107,
2010-01,0.172,
2010-04,0.206,
2010-07,0.186,
2010-10,0.171,
2011-01,0.169,
2011-04,0.173,
2011-07,0.162,
2011-10,0.144,
2012-01,0.112,
2012-04,0.089,
2012-07,0.068,
2012-10,0.091,
2013-01,0.135,
2013-04,0.140,
2013-07,0.110,
2013-10,0.099,
2014-01,0.105,
2014-04,0.128,
2014-07,0.131,
