"",BBFI1.M.N.DE.1C.S121.S121.LE.A.FA.R.FK._Z.XDR.M.N,BBFI1.M.N.DE.1C.S121.S121.LE.A.FA.R.FK._Z.XDR.M.N_FLAGS
"",Reserve Assets (mthly.) - Reserve Position in the IMF - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:58,
1998-12,6863,
1999-01,6860,
1999-02,6980,
1999-03,7096,
1999-04,7219,
1999-05,6918,
1999-06,6782,
1999-07,6726,
1999-08,6442,
1999-09,6316,
1999-10,6251,
1999-11,6185,
1999-12,6383,
2000-01,6357,
2000-02,6339,
2000-03,6715,
2000-04,5813,
2000-05,5773,
2000-06,5688,
2000-07,5499,
2000-08,5499,
2000-09,5790,
2000-10,5713,
2000-11,5596,
2000-12,5868,
2001-01,5996,
2001-02,5706,
2001-03,5788,
2001-04,5688,
2001-05,5901,
2001-06,6139,
2001-07,6009,
2001-08,5791,
2001-09,7012,
2001-10,6671,
2001-11,6716,
2001-12,6689,
2002-01,6855,
2002-02,6842,
2002-03,6816,
2002-04,6255,
2002-05,6111,
2002-06,6980,
2002-07,7004,
2002-08,6867,
2002-09,6831,
2002-10,6678,
2002-11,6600,
2002-12,6384,
2003-01,6225,
2003-02,6219,
2003-03,6620,
2003-04,6527,
2003-05,6306,
2003-06,6694,
2003-07,6686,
2003-08,6916,
2003-09,6871,
2003-10,6910,
2003-11,6753,
2003-12,6069,
2004-01,6163,
2004-02,6155,
2004-03,6004,
2004-04,6268,
2004-05,6073,
2004-06,5788,
2004-07,5787,
2004-08,5777,
2004-09,5412,
2004-10,5321,
2004-11,5152,
2004-12,5036,
2005-01,5087,
2005-02,4979,
2005-03,4593,
2005-04,4540,
2005-05,4725,
2005-06,4229,
2005-07,3414,
2005-08,3403,
2005-09,3398,
2005-10,3384,
2005-11,3406,
2005-12,2948,
2006-01,2899,
2006-02,2209,
2006-03,2158,
2006-04,2111,
2006-05,1785,
2006-06,2078,
2006-07,1919,
2006-08,1945,
2006-09,1882,
2006-10,1539,
2006-11,1508,
2006-12,1486,
2007-01,1461,
2007-02,1201,
2007-03,1097,
2007-04,1070,
2007-05,1149,
2007-06,1147,
2007-07,1082,
2007-08,1071,
2007-09,1035,
2007-10,994,
2007-11,952,
2007-12,949,
2008-01,930,
2008-02,919,
2008-03,866,
2008-04,870,
2008-05,1038,
2008-06,1028,
2008-07,998,
2008-08,1024,
2008-09,1076,
2008-10,1114,
2008-11,1808,
2008-12,1709,
2009-01,1801,
2009-02,1795,
2009-03,1859,
2009-04,1869,
2009-05,3027,
2009-06,3029,
2009-07,3231,
2009-08,3141,
2009-09,3095,
2009-10,3414,
2009-11,2664,
2009-12,2705,
2010-01,2791,
2010-02,3565,
2010-03,3450,
2010-04,3460,
2010-05,4346,
2010-06,4358,
2010-07,4302,
2010-08,4293,
2010-09,4293,
2010-10,4150,
2010-11,4090,
2010-12,4636,
2011-01,4764,
2011-02,4670,
2011-03,6082,
2011-04,5944,
2011-05,6064,
2011-06,6031,
2011-07,6522,
2011-08,6478,
2011-09,7057,
2011-10,6912,
2011-11,7094,
2011-12,8178,
2012-01,8112,
2012-02,8392,
2012-03,8459,
2012-04,8756,
2012-05,9087,
2012-06,9149,
2012-07,9337,
2012-08,9492,
2012-09,9427,
2012-10,9339,
2012-11,8999,
2012-12,8760,
2013-01,8701,
2013-02,8637,
2013-03,8877,
2013-04,8760,
2013-05,8712,
2013-06,8690,
2013-07,8690,
2013-08,8416,
2013-09,8375,
2013-10,7981,
2013-11,7945,
2013-12,7961,
2014-01,8080,
2014-02,7728,
2014-03,7720,
2014-04,7893,
2014-05,7912,
2014-06,7582,
2014-07,7665,
2014-08,7339,
2014-09,7751,
2014-10,7628,
2014-11,7520,
2014-12,6364,
2015-01,6488,
