"",BBK01.OEAB04K,BBK01.OEAB04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:58,
2002-01,112.072,
2002-04,111.923,
2002-07,116.830,
2002-10,115.076,
2003-01,112.515,
2003-04,105.932,
2003-07,106.690,
2003-10,105.594,
2004-01,108.209,
2004-04,119.214,
2004-07,119.256,
2004-10,120.083,
2005-01,118.949,
2005-04,121.448,
2005-07,122.640,
2005-10,124.901,
2006-01,126.657,
2006-04,126.476,
2006-07,127.138,
2006-10,125.253,
2007-01,121.542,
2007-04,122.228,
2007-07,121.228,
2007-10,119.707,
2008-01,122.705,
2008-04,124.041,
2008-07,127.732,
2008-10,129.482,
2009-01,129.512,
2009-04,132.041,
2009-07,131.423,
2009-10,122.788,
2010-01,123.455,
2010-04,127.126,
2010-07,129.289,
2010-10,131.705,
2011-01,129.290,
2011-04,128.591,
2011-07,136.655,
2011-10,136.283,
2012-01,134.506,
2012-04,137.024,
2012-07,136.497,
2012-10,133.625,
2013-01,132.650,
2013-04,131.941,
2013-07,130.008,
2013-10,120.708,
2014-01,119.618,
2014-04,119.483,
2014-07,120.617,
