"",BBK01.OEAL04G,BBK01.OEAL04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:13,
2002-01,20.762,
2002-04,19.851,
2002-07,19.824,
2002-10,19.431,
2003-01,18.587,
2003-04,17.702,
2003-07,16.599,
2003-10,16.032,
2004-01,15.187,
2004-04,14.427,
2004-07,13.936,
2004-10,13.749,
2005-01,10.196,
2005-04,9.880,
2005-07,9.696,
2005-10,10.312,
2006-01,10.682,
2006-04,10.752,
2006-07,11.273,
2006-10,12.462,
2007-01,13.615,
2007-04,14.967,
2007-07,16.793,
2007-10,20.405,
2008-01,22.503,
2008-04,24.909,
2008-07,27.360,
2008-10,31.341,
2009-01,29.846,
2009-04,26.107,
2009-07,21.371,
2009-10,18.178,
2010-01,13.823,
2010-04,12.449,
2010-07,11.958,
2010-10,12.109,
2011-01,11.631,
2011-04,11.759,
2011-07,12.443,
2011-10,13.276,
2012-01,13.003,
2012-04,12.797,
2012-07,11.752,
2012-10,11.858,
2013-01,11.667,
2013-04,10.263,
2013-07,9.126,
2013-10,8.804,
2014-01,8.290,
2014-04,8.265,
2014-07,8.044,
