"",BBK01.OEBK01G,BBK01.OEBK01G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:49,
2002-01,3.207,
2002-04,3.553,
2002-07,3.718,
2002-10,3.573,
2003-01,3.546,
2003-04,3.477,
2003-07,3.463,
2003-10,3.392,
2004-01,3.528,
2004-04,3.463,
2004-07,3.415,
2004-10,3.663,
2005-01,2.518,
2005-04,2.483,
2005-07,2.138,
2005-10,2.283,
2006-01,2.368,
2006-04,2.349,
2006-07,2.399,
2006-10,2.319,
2007-01,2.427,
2007-04,2.495,
2007-07,2.579,
2007-10,2.872,
2008-01,2.732,
2008-04,2.746,
2008-07,2.890,
2008-10,2.916,
2009-01,2.899,
2009-04,3.067,
2009-07,2.996,
2009-10,2.837,
2010-01,2.698,
2010-04,2.730,
2010-07,2.676,
2010-10,3.017,
2011-01,2.959,
2011-04,3.085,
2011-07,3.035,
2011-10,3.102,
2012-01,3.214,
2012-04,3.278,
2012-07,3.609,
2012-10,3.619,
2013-01,3.578,
2013-04,3.674,
2013-07,3.943,
2013-10,3.959,
2014-01,3.742,
2014-04,3.761,
2014-07,4.097,
