"",BBK01.CEFN09,BBK01.CEFN09_FLAGS
"",Transferable deposits                                                     debtor: Total           creditor: Non-MMF investment funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:12,
1999-01,26.9,
1999-04,30.2,
1999-07,32.0,
1999-10,30.9,
2000-01,37.5,
2000-04,37.3,
2000-07,35.7,
2000-10,38.4,
2001-01,42.8,
2001-04,41.8,
2001-07,47.8,
2001-10,45.2,
2002-01,43.0,
2002-04,49.6,
2002-07,51.4,
2002-10,47.5,
2003-01,54.6,
2003-04,59.7,
2003-07,60.1,
2003-10,51.6,
2004-01,58.6,
2004-04,55.5,
2004-07,56.6,
2004-10,44.3,
2005-01,60.8,
2005-04,60.6,
2005-07,67.2,
2005-10,55.2,
2006-01,50.7,
2006-04,57.7,
2006-07,52.9,
2006-10,52.9,
2007-01,55.8,
2007-04,60.0,
2007-07,68.6,
2007-10,52.5,
2008-01,60.3,
2008-04,60.8,
2008-07,54.8,
2008-10,57.3,
2009-01,50.8,
2009-04,46.1,
2009-07,39.1,
2009-10,35.1,
2010-01,32.6,
2010-04,34.4,
2010-07,33.9,
2010-10,31.8,
2011-01,36.2,
2011-04,37.4,
2011-07,43.9,
2011-10,41.2,
2012-01,40.7,
2012-04,43.2,
2012-07,41.8,
2012-10,38.8,
2013-01,41.2,
2013-04,44.1,
2013-07,41.8,
2013-10,41.1,
2014-01,41.2,
2014-04,41.1,
2014-07,42.9,
