"",BBK01.OEAC50I,BBK01.OEAC50I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:57,
2002-01,1.811,
2002-04,1.775,
2002-07,1.692,
2002-10,1.670,
2003-01,1.582,
2003-04,1.636,
2003-07,1.511,
2003-10,1.429,
2004-01,1.382,
2004-04,1.328,
2004-07,1.376,
2004-10,1.337,
2005-01,1.315,
2005-04,1.315,
2005-07,1.306,
2005-10,1.200,
2006-01,1.247,
2006-04,1.251,
2006-07,1.240,
2006-10,1.246,
2007-01,1.241,
2007-04,1.225,
2007-07,1.215,
2007-10,1.197,
2008-01,1.178,
2008-04,1.165,
2008-07,1.112,
2008-10,1.062,
2009-01,1.130,
2009-04,1.160,
2009-07,1.133,
2009-10,1.068,
2010-01,0.956,
2010-04,0.917,
2010-07,0.909,
2010-10,0.893,
2011-01,1.056,
2011-04,1.045,
2011-07,1.039,
2011-10,1.007,
2012-01,0.997,
2012-04,1.100,
2012-07,1.096,
2012-10,1.093,
2013-01,1.190,
2013-04,1.150,
2013-07,1.157,
2013-10,1.170,
2014-01,1.174,
2014-04,1.151,
2014-07,1.161,
