"",BBFB1.Q.N.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:04,
1991-01,5229.801,
1991-04,1243.679,
1991-07,4347.259,
1991-10,7228.163,
1992-01,5635.645,
1992-04,4423.747,
1992-07,8460.146,
1992-10,5713.563,
1993-01,8990.150,
1993-04,8521.250,
1993-07,7309.109,
1993-10,11388.591,
1994-01,10025.220,
1994-04,12894.635,
1994-07,10207.220,
1994-10,11032.084,
1995-01,11939.524,
1995-04,12423.902,
1995-07,12014.613,
1995-10,14379.060,
1996-01,12958.059,
1996-04,13628.539,
1996-07,15535.812,
1996-10,16689.447,
1997-01,12349.745,
1997-04,17220.157,
1997-07,17928.458,
1997-10,19650.066,
1998-01,16332.311,
1998-04,18576.492,
1998-07,17794.845,
1998-10,18931.582,
1999-01,14460.240,
1999-04,17805.338,
1999-07,16151.059,
1999-10,19599.958,
2000-01,18071.199,
2000-04,18082.693,
2000-07,14459.070,
2000-10,13448.176,
2001-01,23791.898,
2001-04,22712.638,
2001-07,26336.844,
2001-10,28431.639,
2002-01,34797.605,
2002-04,35017.025,
2002-07,38085.300,
2002-10,34203.279,
2003-01,30058.945,
2003-04,30525.658,
2003-07,37960.292,
2003-10,31476.086,
2004-01,40861.947,
2004-04,43805.285,
2004-07,35696.024,
2004-10,32803.066,
2005-01,42696.773,
2005-04,40570.071,
2005-07,40671.426,
2005-10,33071.415,
2006-01,39683.658,
2006-04,36332.151,
2006-07,39260.125,
2006-10,46171.003,
2007-01,49963.644,
2007-04,50274.989,
2007-07,51393.069,
2007-10,50357.053,
2008-01,52113.831,
2008-04,55121.877,
2008-07,41861.112,
2008-10,35424.217,
2009-01,27472.366,
2009-04,34247.001,
2009-07,36308.105,
2009-10,43140.009,
2010-01,38450.275,
2010-04,38920.361,
2010-07,40626.845,
2010-10,43148.393,
2011-01,42288.123,
2011-04,39590.656,
2011-07,41307.340,
2011-10,40055.305,
2012-01,49318.462,
2012-04,49896.248,
2012-07,52428.534,
2012-10,45473.168,
2013-01,51801.399,
2013-04,55556.484,
2013-07,49123.166,
2013-10,51314.068,
2014-01,53107.056,Provisional value
2014-04,55401.344,Provisional value
2014-07,61882.294,Provisional value
