"",BBK01.OEXB09L,BBK01.OEXB09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:37,
2002-01,26.882,
2002-04,22.127,
2002-07,22.177,
2002-10,23.200,
2003-01,27.454,
2003-04,22.999,
2003-07,22.958,
2003-10,21.861,
2004-01,24.747,
2004-04,22.201,
2004-07,22.486,
2004-10,20.998,
2005-01,21.435,
2005-04,23.630,
2005-07,28.676,
2005-10,27.879,
2006-01,29.136,
2006-04,30.740,
2006-07,30.988,
2006-10,28.470,
2007-01,32.880,
2007-04,37.010,
2007-07,36.140,
2007-10,39.418,
2008-01,44.927,
2008-04,43.663,
2008-07,49.166,
2008-10,60.428,
2009-01,70.045,
2009-04,61.973,
2009-07,53.714,
2009-10,48.574,
2010-01,39.631,
2010-04,44.152,
2010-07,37.480,
2010-10,36.887,
2011-01,40.659,
2011-04,39.388,
2011-07,41.428,
2011-10,38.893,
2012-01,37.711,
2012-04,36.791,
2012-07,34.256,
2012-10,29.496,
2013-01,31.579,
2013-04,31.042,
2013-07,23.687,
2013-10,23.705,
2014-01,23.049,
2014-04,23.858,
2014-07,24.905,
