"",BBK01.OEBI02Q,BBK01.OEBI02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:22,
2002-01,4.994,
2002-04,4.974,
2002-07,4.760,
2002-10,5.200,
2003-01,5.005,
2003-04,5.026,
2003-07,6.552,
2003-10,5.724,
2004-01,5.192,
2004-04,5.299,
2004-07,4.894,
2004-10,5.181,
2005-01,5.809,
2005-04,6.012,
2005-07,6.236,
2005-10,6.184,
2006-01,6.410,
2006-04,6.899,
2006-07,6.505,
2006-10,7.396,
2007-01,8.216,
2007-04,9.506,
2007-07,10.057,
2007-10,10.452,
2008-01,10.850,
2008-04,12.583,
2008-07,12.919,
2008-10,13.321,
2009-01,13.129,
2009-04,13.651,
2009-07,13.500,
2009-10,14.232,
2010-01,14.445,
2010-04,15.122,
2010-07,15.206,
2010-10,15.822,
2011-01,15.440,
2011-04,15.649,
2011-07,15.857,
2011-10,16.187,
2012-01,16.371,
2012-04,16.751,
2012-07,17.234,
2012-10,17.993,
2013-01,17.850,
2013-04,18.667,
2013-07,19.040,
2013-10,20.087,
2014-01,20.106,
2014-04,20.569,
2014-07,21.022,
