"",BBFN1.M.DE.N.1.L.S1.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.S1.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Countries in Asia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:42,
1995-01,0.396,
1995-02,0.355,
1995-03,0.380,
1995-04,0.380,
1995-05,0.379,
1995-06,0.357,
1995-07,0.352,
1995-08,0.349,
1995-09,0.356,
1995-10,0.368,
1995-11,0.373,
1995-12,0.310,
1996-01,0.314,
1996-02,0.336,
1996-03,0.324,
1996-04,0.347,
1996-05,0.345,
1996-06,0.341,
1996-07,0.377,
1996-08,0.399,
1996-09,0.403,
1996-10,0.406,
1996-11,0.403,
1996-12,0.402,
1997-01,0.412,
1997-02,0.405,
1997-03,0.428,
1997-04,0.436,
1997-05,0.430,
1997-06,0.429,
1997-07,0.451,
1997-08,0.469,
1997-09,0.549,
1997-10,0.540,
1997-11,0.537,
1997-12,0.547,
1998-01,0.562,
1998-02,0.553,
1998-03,0.547,
1998-04,0.546,
1998-05,0.547,
1998-06,0.556,
1998-07,0.551,
1998-08,0.560,
1998-09,0.531,
1998-10,0.601,
1998-11,0.601,
1998-12,0.648,
1999-01,0.767,
1999-02,0.917,
1999-03,0.878,
1999-04,0.980,
1999-05,0.938,
1999-06,0.992,
1999-07,0.910,
1999-08,0.908,
1999-09,1.071,
1999-10,0.907,
1999-11,0.894,
1999-12,0.955,
2000-01,0.924,
2000-02,0.878,
2000-03,0.871,
2000-04,0.860,
2000-05,0.799,
2000-06,0.807,
2000-07,0.836,
2000-08,0.832,
2000-09,0.840,
2000-10,0.850,
2000-11,0.909,
2000-12,0.970,
2001-01,0.944,
2001-02,1.176,
2001-03,1.093,
2001-04,1.025,
2001-05,0.997,
2001-06,0.931,
2001-07,0.924,
2001-08,0.920,
2001-09,0.917,
2001-10,0.926,
2001-11,0.933,
2001-12,0.938,
2002-01,1.041,
2002-02,1.056,
2002-03,1.004,
2002-04,0.996,
2002-05,0.978,
2002-06,0.980,
2002-07,0.973,
2002-08,0.969,
2002-09,0.959,
2002-10,1.003,
2002-11,0.998,
2002-12,0.982,
2003-01,0.956,
2003-02,0.906,
2003-03,0.922,
2003-04,0.917,
2003-05,0.902,
2003-06,0.883,
2003-07,0.857,
2003-08,0.803,
2003-09,0.801,
2003-10,0.805,
2003-11,0.811,
2003-12,0.776,
2004-01,0.760,
2004-02,0.750,
2004-03,0.744,
2004-04,0.731,
2004-05,0.735,
2004-06,0.725,
2004-07,0.703,
2004-08,0.750,
2004-09,0.752,
2004-10,0.748,
2004-11,0.745,
2004-12,0.702,
2005-01,0.687,
2005-02,0.653,
2005-03,0.658,
2005-04,0.675,
2005-05,0.671,
2005-06,0.665,
2005-07,0.663,
2005-08,0.605,
2005-09,0.576,
2005-10,0.564,
2005-11,0.504,
2005-12,0.473,
2006-01,0.660,
2006-02,0.658,
2006-03,0.645,
2006-04,0.640,
2006-05,1.037,
2006-06,1.023,
2006-07,1.022,
2006-08,1.020,
2006-09,0.849,
2006-10,0.849,
2006-11,0.583,
2006-12,0.556,
2007-01,0.529,
2007-02,0.526,
2007-03,0.500,
2007-04,0.493,
2007-05,0.408,
2007-06,0.403,
2007-07,0.403,
2007-08,0.403,
2007-09,0.400,
2007-10,0.394,
2007-11,0.364,
2007-12,0.268,
2008-01,0.267,
2008-02,1.087,
2008-03,1.082,
2008-04,1.107,
2008-05,1.109,
2008-06,1.051,
2008-07,1.084,
2008-08,1.170,
2008-09,1.172,
2008-10,1.306,
2008-11,1.385,
2008-12,1.379,
2009-01,1.385,
2009-02,1.370,
2009-03,0.526,
2009-04,0.350,
2009-05,0.792,
2009-06,0.787,
2009-07,0.787,
2009-08,0.877,
2009-09,0.849,
2009-10,0.846,
2009-11,0.850,
2009-12,1.513,
2010-01,1.460,
2010-02,1.454,
2010-03,1.500,
2010-04,1.465,
2010-05,1.481,
2010-06,1.628,
2010-07,1.650,
2010-08,1.666,
2010-09,1.622,
2010-10,1.619,
2010-11,1.812,
2010-12,1.822,
2011-01,1.808,
2011-02,1.804,
2011-03,1.778,
2011-04,1.297,
2011-05,1.298,
2011-06,1.346,
2011-07,1.344,
2011-08,1.340,
2011-09,1.354,
2011-10,1.165,
2011-11,1.308,
2011-12,1.273,
2012-01,1.264,
2012-02,1.256,
2012-03,1.298,
2012-04,1.440,
2012-05,1.361,
2012-06,1.369,
2012-07,1.349,
2012-08,1.327,
2012-09,1.359,
2012-10,1.351,
2012-11,1.429,
2012-12,1.408,
2013-01,1.354,
2013-02,1.354,
2013-03,1.326,
2013-04,1.149,
2013-05,1.095,
2013-06,1.282,
2013-07,1.367,
2013-08,1.229,
2013-09,1.238,
2013-10,1.241,
2013-11,1.294,
2013-12,1.285,
2014-01,1.274,
2014-02,1.280,
2014-03,1.314,
2014-04,1.311,
2014-05,1.367,
2014-06,1.350,
2014-07,1.266,
2014-08,1.295,
2014-09,1.347,
2014-10,1.358,
2014-11,1.327,
2014-12,1.348,
