"",BBK01.OECL07G,BBK01.OECL07G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:57,
2002-01,1.751,
2002-04,1.036,
2002-07,1.010,
2002-10,1.131,
2003-01,1.138,
2003-04,1.142,
2003-07,1.435,
2003-10,1.458,
2004-01,1.349,
2004-04,1.371,
2004-07,1.691,
2004-10,1.763,
2005-01,5.679,
2005-04,5.742,
2005-07,5.661,
2005-10,5.612,
2006-01,5.494,
2006-04,5.356,
2006-07,5.195,
2006-10,5.101,
2007-01,5.311,
2007-04,5.233,
2007-07,5.138,
2007-10,5.229,
2008-01,5.225,
2008-04,5.516,
2008-07,5.346,
2008-10,5.613,
2009-01,5.869,
2009-04,6.279,
2009-07,6.810,
2009-10,6.987,
2010-01,6.947,
2010-04,6.811,
2010-07,6.775,
2010-10,6.873,
2011-01,6.763,
2011-04,6.598,
2011-07,6.584,
2011-10,6.566,
2012-01,7.229,
2012-04,7.159,
2012-07,7.057,
2012-10,7.056,
2013-01,6.741,
2013-04,6.577,
2013-07,6.335,
2013-10,6.210,
2014-01,6.056,
2014-04,5.889,
2014-07,6.076,
