"",BBK01.OEAI03N,BBK01.OEAI03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:19,
2002-01,144.230,
2002-04,143.498,
2002-07,144.382,
2002-10,146.619,
2003-01,146.273,
2003-04,144.568,
2003-07,140.999,
2003-10,137.599,
2004-01,133.762,
2004-04,137.252,
2004-07,138.055,
2004-10,123.864,
2005-01,130.773,
2005-04,131.823,
2005-07,133.965,
2005-10,140.515,
2006-01,141.184,
2006-04,153.244,
2006-07,163.176,
2006-10,171.730,
2007-01,171.204,
2007-04,176.014,
2007-07,190.524,
2007-10,205.414,
2008-01,210.405,
2008-04,218.491,
2008-07,222.692,
2008-10,237.875,
2009-01,223.088,
2009-04,210.050,
2009-07,210.841,
2009-10,194.014,
2010-01,202.295,
2010-04,200.942,
2010-07,197.121,
2010-10,204.254,
2011-01,194.325,
2011-04,197.752,
2011-07,205.580,
2011-10,205.724,
2012-01,206.558,
2012-04,217.027,
2012-07,209.686,
2012-10,170.990,
2013-01,169.370,
2013-04,163.945,
2013-07,153.321,
2013-10,151.329,
2014-01,148.952,
2014-04,144.754,
2014-07,144.578,
