"",BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.D.F5___ES._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.AD.FA.D.F5___ES._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Equity in the narrower sense / Disinvestment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:04,
1991-01,1263.486,
1991-02,883.889,
1991-03,320.602,
1991-04,194.656,
1991-05,28.488,
1991-06,353.604,
1991-07,143.929,
1991-08,127.579,
1991-09,122.689,
1991-10,118.299,
1991-11,87.804,
1991-12,2217.621,
1992-01,3498.418,
1992-02,116.471,
1992-03,80.786,
1992-04,150.918,
1992-05,65.977,
1992-06,162.485,
1992-07,212.734,
1992-08,144.997,
1992-09,182.953,
1992-10,83.371,
1992-11,908.725,
1992-12,1076.741,
1993-01,237.280,
1993-02,36.451,
1993-03,324.007,
1993-04,117.804,
1993-05,627.486,
1993-06,233.891,
1993-07,182.925,
1993-08,98.089,
1993-09,746.471,
1993-10,374.053,
1993-11,364.561,
1993-12,1118.604,
1994-01,529.736,
1994-02,199.362,
1994-03,93.392,
1994-04,195.242,
1994-05,238.789,
1994-06,304.499,
1994-07,629.220,
1994-08,346.567,
1994-09,1156.601,
1994-10,269.459,
1994-11,70.970,
1994-12,1895.378,
1995-01,2488.776,
1995-02,411.624,
1995-03,1246.526,
1995-04,101.365,
1995-05,159.890,
1995-06,676.005,
1995-07,1180.556,
1995-08,287.481,
1995-09,1062.176,
1995-10,264.668,
1995-11,2461.050,
1995-12,2586.223,
1996-01,282.689,
1996-02,110.190,
1996-03,369.878,
1996-04,342.992,
1996-05,342.660,
1996-06,233.207,
1996-07,461.496,
1996-08,206.959,
1996-09,258.502,
1996-10,228.753,
1996-11,1016.666,
1996-12,3807.311,
1997-01,827.309,
1997-02,374.267,
1997-03,483.863,
1997-04,518.905,
1997-05,81.646,
1997-06,758.374,
1997-07,1187.364,
1997-08,589.352,
1997-09,1927.582,
1997-10,1316.518,
1997-11,572.265,
1997-12,4601.437,
1998-01,1034.279,
1998-02,446.561,
1998-03,331.370,
1998-04,2342.756,
1998-05,310.235,
1998-06,1732.776,
1998-07,540.454,
1998-08,2021.633,
1998-09,2223.671,
1998-10,349.627,
1998-11,868.782,
1998-12,6541.458,
1999-01,522.879,
1999-02,118.717,
1999-03,4582.190,
1999-04,284.099,
1999-05,393.510,
1999-06,2638.443,
1999-07,1779.233,
1999-08,200.169,
1999-09,556.785,
1999-10,5384.058,
1999-11,2108.694,
1999-12,9627.296,
2000-01,1011.941,
2000-02,152.186,
2000-03,4158.004,
