"",BBEX3.D.MXN.EUR.BB.AC.000,BBEX3.D.MXN.EUR.BB.AC.000_FLAGS
"",Euro foreign exchange reference rate of the ECB / EUR 1 = MXN ... / Mexico,
unit,MXN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 14:59:01,
1999-01-04,11.6446,
1999-01-05,11.5960,
1999-01-06,11.4705,
1999-01-07,11.5511,
1999-01-08,11.4414,
1999-01-09,.,No value available
1999-01-10,.,No value available
1999-01-11,11.4322,
1999-01-12,11.4897,
1999-01-13,12.8946,
1999-01-14,12.1499,
1999-01-15,12.8495,
1999-01-16,.,No value available
1999-01-17,.,No value available
1999-01-18,11.8813,
1999-01-19,11.9167,
1999-01-20,11.7196,
1999-01-21,11.9229,
1999-01-22,11.8665,
1999-01-23,.,No value available
1999-01-24,.,No value available
1999-01-25,11.8547,
1999-01-26,11.8397,
1999-01-27,11.7160,
1999-01-28,11.6284,
1999-01-29,11.6205,
1999-01-30,.,No value available
1999-01-31,.,No value available
1999-02-01,11.4716,
1999-02-02,11.4046,
1999-02-03,11.4058,
1999-02-04,11.4007,
1999-02-05,11.3942,
1999-02-06,.,No value available
1999-02-07,.,No value available
1999-02-08,11.3243,
1999-02-09,11.4574,
1999-02-10,11.4446,
1999-02-11,11.2921,
1999-02-12,11.2588,
1999-02-13,.,No value available
1999-02-14,.,No value available
1999-02-15,11.1818,
1999-02-16,11.1095,
1999-02-17,11.1817,
1999-02-18,11.1136,
1999-02-19,11.0807,
1999-02-20,.,No value available
1999-02-21,.,No value available
1999-02-22,10.9243,
1999-02-23,10.8699,
1999-02-24,10.9628,
1999-02-25,10.9854,
1999-02-26,10.9870,
1999-02-27,.,No value available
1999-02-28,.,No value available
1999-03-01,10.8577,
1999-03-02,10.8276,
1999-03-03,10.8673,
1999-03-04,10.8028,
1999-03-05,10.7045,
1999-03-06,.,No value available
1999-03-07,.,No value available
1999-03-08,10.7499,
1999-03-09,10.5926,
1999-03-10,10.6844,
1999-03-11,10.6380,
1999-03-12,10.6453,
1999-03-13,.,No value available
1999-03-14,.,No value available
1999-03-15,10.6115,
1999-03-16,10.5331,
1999-03-17,10.6106,
1999-03-18,10.6494,
1999-03-19,10.5352,
1999-03-20,.,No value available
1999-03-21,.,No value available
1999-03-22,10.5603,
1999-03-23,10.5426,
1999-03-24,10.5962,
1999-03-25,10.5287,
1999-03-26,10.4175,
1999-03-27,.,No value available
1999-03-28,.,No value available
1999-03-29,10.2532,
1999-03-30,10.2245,
1999-03-31,10.2562,
1999-04-01,10.2802,
1999-04-02,10.2650,
1999-04-03,.,No value available
1999-04-04,.,No value available
1999-04-05,10.1988,
1999-04-06,10.1430,
1999-04-07,10.2773,
1999-04-08,10.2370,
1999-04-09,10.2475,
1999-04-10,.,No value available
1999-04-11,.,No value available
1999-04-12,10.4195,
1999-04-13,10.2219,
1999-04-14,10.2496,
1999-04-15,10.2948,
1999-04-16,10.1617,
1999-04-17,.,No value available
1999-04-18,.,No value available
1999-04-19,10.0529,
1999-04-20,10.0529,
1999-04-21,9.9244,
1999-04-22,9.8542,
1999-04-23,9.9042,
1999-04-24,.,No value available
1999-04-25,.,No value available
1999-04-26,9.8630,
1999-04-27,9.9215,
1999-04-28,9.9220,
1999-04-29,9.8348,
1999-04-30,9.8322,
1999-05-01,.,No value available
1999-05-02,.,No value available
1999-05-03,9.8372,
1999-05-04,9.7761,
1999-05-05,9.9083,
1999-05-06,10.0335,
1999-05-07,10.0965,
1999-05-08,.,No value available
1999-05-09,.,No value available
1999-05-10,9.9894,
1999-05-11,9.9338,
1999-05-12,9.8767,
1999-05-13,9.8820,
1999-05-14,9.8983,
1999-05-15,.,No value available
1999-05-16,.,No value available
1999-05-17,10.0373,
1999-05-18,9.9578,
1999-05-19,9.8443,
1999-05-20,9.9336,
1999-05-21,9.8469,
1999-05-22,.,No value available
1999-05-23,.,No value available
1999-05-24,9.9314,
1999-05-25,10.0735,
1999-05-26,10.1127,
1999-05-27,10.0855,
1999-05-28,10.2361,
1999-05-29,.,No value available
1999-05-30,.,No value available
1999-05-31,10.1048,
1999-06-01,10.1314,
1999-06-02,10.1408,
1999-06-03,10.0804,
1999-06-04,9.9756,
1999-06-05,.,No value available
1999-06-06,.,No value available
1999-06-07,9.8608,
1999-06-08,9.8273,
1999-06-09,9.9596,
1999-06-10,10.0513,
1999-06-11,10.0331,
1999-06-12,.,No value available
1999-06-13,.,No value available
1999-06-14,9.9889,
1999-06-15,9.8734,
1999-06-16,9.8602,
1999-06-17,9.7657,
1999-06-18,9.7081,
1999-06-19,.,No value available
1999-06-20,.,No value available
1999-06-21,9.6624,
1999-06-22,9.6780,
1999-06-23,9.6357,
1999-06-24,9.7113,
1999-06-25,9.8988,
1999-06-26,.,No value available
1999-06-27,.,No value available
1999-06-28,9.9418,
1999-06-29,9.7984,
1999-06-30,9.7374,
1999-07-01,9.6151,
1999-07-02,9.6173,
1999-07-03,.,No value available
1999-07-04,.,No value available
1999-07-05,9.5586,
1999-07-06,9.5334,
1999-07-07,9.5493,
1999-07-08,9.5010,
1999-07-09,9.5446,
1999-07-10,.,No value available
1999-07-11,.,No value available
1999-07-12,9.4895,
1999-07-13,9.7391,
1999-07-14,9.7391,
1999-07-15,9.5273,
1999-07-16,9.5584,
1999-07-17,.,No value available
1999-07-18,.,No value available
1999-07-19,9.4414,
1999-07-20,9.6824,
1999-07-21,9.7729,
1999-07-22,9.8347,
1999-07-23,9.8414,
1999-07-24,.,No value available
1999-07-25,.,No value available
1999-07-26,10.1246,
1999-07-27,9.9596,
1999-07-28,9.9400,
1999-07-29,10.0230,
1999-07-30,10.0757,
1999-07-31,.,No value available
1999-08-01,.,No value available
1999-08-02,10.0485,
1999-08-03,10.0464,
1999-08-04,10.1487,
1999-08-05,10.2569,
1999-08-06,10.1958,
1999-08-07,.,No value available
1999-08-08,.,No value available
1999-08-09,10.1447,
1999-08-10,10.2188,
1999-08-11,10.0500,
1999-08-12,9.9475,
1999-08-13,10.0415,
1999-08-14,.,No value available
1999-08-15,.,No value available
1999-08-16,9.8762,
1999-08-17,9.8435,
1999-08-18,9.7766,
1999-08-19,9.8549,
1999-08-20,9.8549,
1999-08-21,.,No value available
1999-08-22,.,No value available
1999-08-23,9.9070,
1999-08-24,9.8167,
1999-08-25,9.6887,
1999-08-26,9.7632,
1999-08-27,9.7822,
1999-08-28,.,No value available
1999-08-29,.,No value available
1999-08-30,9.8206,
1999-08-31,9.9453,
1999-09-01,9.9196,
1999-09-02,10.0010,
1999-09-03,10.0072,
1999-09-04,.,No value available
1999-09-05,.,No value available
1999-09-06,9.9031,
1999-09-07,9.8696,
1999-09-08,9.9382,
1999-09-09,9.9100,
1999-09-10,9.8388,
1999-09-11,.,No value available
1999-09-12,.,No value available
1999-09-13,9.6526,
1999-09-14,9.6617,
1999-09-15,9.6781,
1999-09-16,9.6827,
1999-09-17,9.7170,
1999-09-18,.,No value available
1999-09-19,.,No value available
1999-09-20,9.7122,
1999-09-21,9.6713,
1999-09-22,9.7801,
1999-09-23,9.6891,
1999-09-24,9.7800,
1999-09-25,.,No value available
1999-09-26,.,No value available
1999-09-27,9.7078,
1999-09-28,9.7961,
1999-09-29,9.8818,
1999-09-30,9.9917,
1999-10-01,10.0508,
1999-10-02,.,No value available
1999-10-03,.,No value available
1999-10-04,10.0508,
1999-10-05,10.1580,
1999-10-06,10.0942,
1999-10-07,10.1264,
1999-10-08,10.0898,
