"",BBK01.OEAE17I,BBK01.OEAE17I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:24,
2002-01,0.076,
2002-04,0.087,
2002-07,0.073,
2002-10,0.094,
2003-01,0.076,
2003-04,0.063,
2003-07,0.099,
2003-10,0.075,
2004-01,0.088,
2004-04,0.056,
2004-07,0.058,
2004-10,0.078,
2005-01,0.065,
2005-04,0.066,
2005-07,0.075,
2005-10,0.089,
2006-01,0.147,
2006-04,0.132,
2006-07,0.139,
2006-10,0.148,
2007-01,0.061,
2007-04,0.058,
2007-07,0.063,
2007-10,0.119,
2008-01,0.029,
2008-04,0.051,
2008-07,0.125,
2008-10,0.016,
2009-01,0.026,
2009-04,0.023,
2009-07,0.015,
2009-10,0.013,
2010-01,0.013,
2010-04,0.015,
2010-07,0.014,
2010-10,0.022,
2011-01,0.014,
2011-04,0.015,
2011-07,0.014,
2011-10,0.012,
2012-01,0.011,
2012-04,0.010,
2012-07,0.010,
2012-10,0.009,
2013-01,0.010,
2013-04,0.011,
2013-07,0.009,
2013-10,0.011,
2014-01,0.011,
2014-04,0.013,
2014-07,0.013,
