"",BBK01.OEBI06O,BBK01.OEBI06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:48,
2002-01,-0.699,
2002-04,-0.664,
2002-07,-0.540,
2002-10,-0.169,
2003-01,-0.096,
2003-04,-0.059,
2003-07,-0.029,
2003-10,-0.008,
2004-01,0.054,
2004-04,0.066,
2004-07,0.090,
2004-10,0.097,
2005-01,0.117,
2005-04,0.113,
2005-07,0.118,
2005-10,0.121,
2006-01,0.115,
2006-04,0.065,
2006-07,0.072,
2006-10,0.075,
2007-01,0.078,
2007-04,0.084,
2007-07,0.085,
2007-10,0.099,
2008-01,0.120,
2008-04,0.140,
2008-07,0.155,
2008-10,0.182,
2009-01,0.219,
2009-04,0.194,
2009-07,0.188,
2009-10,0.172,
2010-01,0.190,
2010-04,0.233,
2010-07,0.261,
2010-10,0.281,
2011-01,0.304,
2011-04,0.346,
2011-07,0.371,
2011-10,0.359,
2012-01,0.348,
2012-04,0.355,
2012-07,0.349,
2012-10,0.314,
2013-01,0.270,
2013-04,0.229,
2013-07,0.218,
2013-10,0.210,
2014-01,0.200,
2014-04,0.178,
2014-07,0.156,
