"",BBK01.OEHB01P,BBK01.OEHB01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:31,
2002-01,8.696,
2002-04,8.775,
2002-07,8.748,
2002-10,8.752,
2003-01,8.819,
2003-04,8.954,
2003-07,8.847,
2003-10,8.839,
2004-01,8.852,
2004-04,8.835,
2004-07,8.847,
2004-10,8.891,
2005-01,8.895,
2005-04,8.970,
2005-07,9.108,
2005-10,9.098,
2006-01,9.148,
2006-04,9.258,
2006-07,9.107,
2006-10,9.311,
2007-01,9.198,
2007-04,9.210,
2007-07,9.348,
2007-10,9.317,
2008-01,9.370,
2008-04,9.520,
2008-07,9.523,
2008-10,9.601,
2009-01,9.699,
2009-04,9.748,
2009-07,9.759,
2009-10,10.059,
2010-01,10.116,
2010-04,10.347,
2010-07,10.345,
2010-10,10.503,
2011-01,10.631,
2011-04,10.774,
2011-07,10.932,
2011-10,10.954,
2012-01,11.148,
2012-04,11.167,
2012-07,11.245,
2012-10,11.284,
2013-01,11.440,
2013-04,11.540,
2013-07,11.693,
2013-10,11.647,
2014-01,11.664,
2014-04,11.736,
2014-07,11.832,
