"",BBK01.OELI05N,BBK01.OELI05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:53,
2002-01,5.805,
2002-04,5.873,
2002-07,6.014,
2002-10,5.998,
2003-01,6.016,
2003-04,5.767,
2003-07,5.924,
2003-10,6.260,
2004-01,6.344,
2004-04,6.735,
2004-07,6.760,
2004-10,7.039,
2005-01,7.060,
2005-04,7.213,
2005-07,7.143,
2005-10,7.125,
2006-01,7.063,
2006-04,7.092,
2006-07,6.876,
2006-10,7.091,
2007-01,6.886,
2007-04,6.963,
2007-07,7.166,
2007-10,6.939,
2008-01,7.080,
2008-04,7.384,
2008-07,7.573,
2008-10,7.509,
2009-01,7.535,
2009-04,8.041,
2009-07,8.379,
2009-10,8.712,
2010-01,8.811,
2010-04,8.768,
2010-07,8.605,
2010-10,8.688,
2011-01,8.779,
2011-04,8.858,
2011-07,8.820,
2011-10,8.815,
2012-01,8.713,
2012-04,8.688,
2012-07,8.545,
2012-10,8.446,
2013-01,8.292,
2013-04,8.319,
2013-07,8.243,
2013-10,8.159,
2014-01,6.181,
2014-04,6.074,
2014-07,6.053,
