"",BBDA1.M.DE.N.IM.S.A.PL.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.PL.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Poland / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:24,
1990-07,240724,
1990-08,261015,
1990-09,278451,
1990-10,316191,
1990-11,316110,
1990-12,311214,
1991-01,306760,
1991-02,255397,
1991-03,281934,
1991-04,299040,
1991-05,285397,
1991-06,279588,
1991-07,360672,
1991-08,299361,
1991-09,327450,
1991-10,361349,
1991-11,336673,
1991-12,313446,
1992-01,306697,
1992-02,307606,
1992-03,345006,
1992-04,382094,
1992-05,302824,
1992-06,301917,
1992-07,423016,
1992-08,303654,
1992-09,376401,
1992-10,407349,
1992-11,350836,
1992-12,429631,
1993-01,240198,
1993-02,374204,
1993-03,339360,
1993-04,355527,
1993-05,319148,
1993-06,389270,
1993-07,366873,
1993-08,360865,
1993-09,406556,
1993-10,406772,
1993-11,395571,
1993-12,462483,
1994-01,347121,
1994-02,375060,
1994-03,455664,
1994-04,354766,
1994-05,407826,
1994-06,422083,
1994-07,400207,
1994-08,449560,
1994-09,439591,
1994-10,441570,
1994-11,493824,
1994-12,590066,
1995-01,422604,
1995-02,483386,
1995-03,588309,
1995-04,491053,
1995-05,515310,
1995-06,536471,
1995-07,546311,
1995-08,495047,
1995-09,591385,
1995-10,561101,
1995-11,596478,
1995-12,519240,
1996-01,433110,
1996-02,517899,
1996-03,510050,
1996-04,492170,
1996-05,515271,
1996-06,503018,
1996-07,541288,
1996-08,479753,
1996-09,538350,
1996-10,606898,
1996-11,564159,
1996-12,537360,
1997-01,553963,
1997-02,550513,
1997-03,561040,
1997-04,650533,
1997-05,573745,
1997-06,578010,
1997-07,631436,
1997-08,565152,
1997-09,650021,
1997-10,737244,
1997-11,641551,
1997-12,647335,
1998-01,591969,
1998-02,638891,
1998-03,737117,
1998-04,691350,
1998-05,611661,
1998-06,734770,
1998-07,730024,
1998-08,710902,
1998-09,729853,
1998-10,743140,
1998-11,709524,
1998-12,778429,
1999-01,614858,
1999-02,793580,
1999-03,834181,
1999-04,728607,
1999-05,707228,
1999-06,726629,
1999-07,749833,
