"",BBK01.BJ9059,BBK01.BJ9059_FLAGS
"",General government debt as defined in the Maastricht Treaty - Germany - overall,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:15,
1991,615446,
1992,703787,
1993,787721,
1994,865739,
1995,1036555,
1996,1105101,
1997,1151696,
1998,1194298,
1999,1235077,
2000,1241398,
2001,1252287,
2002,1305428,
2003,1394972,
2004,1464845,
2005,1534966,
2006,1583743,
2007,1592903,
2008,1660237,
2009,1778453,
2010,2067441,Provisional value
2011,2095625,Provisional value
2012,2173639,Provisional value
2013,2159468,Provisional value
