"",BBK01.OEAM05I,BBK01.OEAM05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:36,
2002-01,6.545,
2002-04,6.563,
2002-07,6.582,
2002-10,6.527,
2003-01,6.534,
2003-04,6.596,
2003-07,6.657,
2003-10,6.462,
2004-01,6.426,
2004-04,6.490,
2004-07,6.333,
2004-10,6.348,
2005-01,6.243,
2005-04,6.277,
2005-07,6.184,
2005-10,6.242,
2006-01,6.183,
2006-04,6.219,
2006-07,6.248,
2006-10,6.172,
2007-01,5.971,
2007-04,5.981,
2007-07,5.975,
2007-10,5.830,
2008-01,5.788,
2008-04,5.783,
2008-07,5.708,
2008-10,5.706,
2009-01,5.583,
2009-04,5.474,
2009-07,5.428,
2009-10,5.404,
2010-01,5.412,
2010-04,5.383,
2010-07,5.308,
2010-10,5.280,
2011-01,5.348,
2011-04,5.341,
2011-07,5.253,
2011-10,5.245,
2012-01,5.115,
2012-04,5.034,
2012-07,5.026,
2012-10,4.977,
2013-01,4.908,
2013-04,4.919,
2013-07,4.891,
2013-10,4.813,
2014-01,4.676,
2014-04,4.728,
2014-07,4.662,
