"",BBFN1.M.DE.N.1.L.U3.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U3.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:45,
1995-01,5.555,
1995-02,5.168,
1995-03,5.251,
1995-04,5.257,
1995-05,5.720,
1995-06,5.638,
1995-07,5.713,
1995-08,5.702,
1995-09,5.672,
1995-10,5.741,
1995-11,5.808,
1995-12,5.597,
1996-01,.,No value available
1996-02,.,No value available
1996-03,.,No value available
1996-04,.,No value available
1996-05,6.038,
1996-06,.,No value available
1996-07,.,No value available
1996-08,.,No value available
1996-09,5.938,
1996-10,5.916,
1996-11,5.809,
1996-12,5.716,
1997-01,5.734,
1997-02,5.695,
1997-03,.,No value available
1997-04,5.866,
1997-05,5.880,
1997-06,5.963,
1997-07,6.338,
1997-08,6.297,
1997-09,6.212,
1997-10,6.378,
1997-11,6.539,
1997-12,6.971,
1998-01,7.292,
1998-02,7.171,
1998-03,7.446,
1998-04,7.682,
1998-05,7.667,
1998-06,7.768,
1998-07,8.049,
1998-08,8.530,
1998-09,8.676,
1998-10,9.465,
1998-11,9.323,
1998-12,8.666,
1999-01,9.359,
1999-02,9.343,
1999-03,9.220,
1999-04,9.288,
1999-05,9.291,
1999-06,9.087,
1999-07,9.341,
1999-08,9.794,
1999-09,9.776,
1999-10,10.141,
1999-11,10.640,
1999-12,10.052,
2000-01,9.841,
2000-02,10.579,
2000-03,10.597,
2000-04,11.003,
2000-05,11.097,
2000-06,12.092,
2000-07,12.402,
2000-08,12.400,
2000-09,12.823,
2000-10,12.943,
2000-11,14.379,
2000-12,15.787,
2001-01,18.114,
2001-02,18.213,
2001-03,18.234,
2001-04,19.419,
2001-05,19.703,
2001-06,19.614,
2001-07,19.945,
2001-08,21.396,
2001-09,21.646,
2001-10,22.552,
2001-11,23.530,
2001-12,22.629,
2002-01,23.540,
2002-02,24.608,
2002-03,26.039,
2002-04,26.562,
2002-05,25.160,
2002-06,25.342,
2002-07,25.874,
2002-08,26.936,
2002-09,27.206,
2002-10,27.417,
2002-11,28.467,
2002-12,28.418,
2003-01,23.926,
2003-02,23.923,
2003-03,23.484,
2003-04,23.900,
2003-05,23.770,
2003-06,24.590,
2003-07,24.448,
2003-08,25.975,
2003-09,26.046,
2003-10,26.823,
2003-11,26.970,
2003-12,26.790,
2004-01,26.407,
2004-02,24.823,
2004-03,25.661,
2004-04,25.856,
2004-05,25.799,
2004-06,25.277,
2004-07,24.789,
2004-08,24.579,
2004-09,24.690,
2004-10,24.396,
2004-11,24.900,
2004-12,24.695,
2005-01,24.469,
2005-02,26.068,
2005-03,26.556,
2005-04,26.728,
2005-05,27.014,
2005-06,28.884,
2005-07,29.555,
2005-08,29.707,
2005-09,33.037,
2005-10,32.949,
2005-11,33.342,
2005-12,33.082,
2006-01,31.063,
2006-02,31.985,
2006-03,31.339,
2006-04,30.310,
2006-05,31.300,
2006-06,36.250,
2006-07,37.408,
2006-08,38.254,
2006-09,39.043,
2006-10,39.584,
2006-11,40.545,
2006-12,44.051,
2007-01,44.373,
2007-02,43.030,
2007-03,43.611,
2007-04,44.377,
2007-05,45.410,
2007-06,44.967,
2007-07,44.771,
2007-08,46.127,
2007-09,46.701,
2007-10,47.021,
2007-11,46.537,
2007-12,44.405,
2008-01,44.654,
2008-02,45.674,
2008-03,46.433,
2008-04,47.055,
2008-05,47.880,
2008-06,47.575,
2008-07,47.594,
2008-08,48.038,
2008-09,47.681,
2008-10,48.037,
2008-11,47.684,
2008-12,47.691,
2009-01,48.493,
2009-02,48.829,
2009-03,47.696,
2009-04,48.489,
2009-05,49.893,
2009-06,47.230,
2009-07,46.899,
2009-08,48.028,
2009-09,47.102,
2009-10,47.266,
2009-11,47.230,
2009-12,46.227,
2010-01,45.827,
2010-02,46.105,
2010-03,48.192,
2010-04,48.286,
2010-05,48.707,
2010-06,49.332,
2010-07,48.649,
2010-08,48.214,
2010-09,48.237,
2010-10,48.243,
2010-11,48.115,
2010-12,49.729,
2011-01,49.329,
2011-02,48.617,
2011-03,48.383,
2011-04,46.553,
2011-05,46.871,
2011-06,45.982,
2011-07,46.121,
2011-08,46.207,
2011-09,44.090,
2011-10,44.222,
2011-11,42.821,
2011-12,42.566,
2012-01,42.052,
2012-02,41.798,
2012-03,43.523,
2012-04,44.676,
2012-05,40.520,
2012-06,40.632,
2012-07,40.248,
2012-08,40.375,
2012-09,38.668,
2012-10,38.072,
2012-11,38.168,
2012-12,36.501,
2013-01,36.166,
2013-02,34.880,
2013-03,34.367,
2013-04,35.704,
2013-05,36.307,
2013-06,34.657,
2013-07,31.329,
2013-08,30.977,
2013-09,32.534,
2013-10,29.437,
2013-11,29.478,
2013-12,30.972,
2014-01,28.959,
2014-02,29.518,
2014-03,28.518,
2014-04,28.515,
2014-05,29.620,
2014-06,29.857,
2014-07,29.788,
2014-08,29.656,
2014-09,29.410,
2014-10,30.299,
2014-11,30.677,
2014-12,30.288,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
