"",BBK01.OEAC15I,BBK01.OEAC15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:10,
2002-01,1.317,
2002-04,1.127,
2002-07,1.096,
2002-10,0.974,
2003-01,0.968,
2003-04,0.959,
2003-07,0.939,
2003-10,0.882,
2004-01,0.862,
2004-04,0.857,
2004-07,0.817,
2004-10,0.789,
2005-01,0.846,
2005-04,0.819,
2005-07,0.867,
2005-10,0.827,
2006-01,0.868,
2006-04,0.877,
2006-07,0.836,
2006-10,0.815,
2007-01,0.788,
2007-04,0.779,
2007-07,0.765,
2007-10,0.752,
2008-01,0.926,
2008-04,0.995,
2008-07,0.986,
2008-10,0.961,
2009-01,0.824,
2009-04,0.835,
2009-07,0.836,
2009-10,0.828,
2010-01,0.865,
2010-04,0.846,
2010-07,0.761,
2010-10,0.748,
2011-01,0.720,
2011-04,0.712,
2011-07,0.686,
2011-10,0.680,
2012-01,0.665,
2012-04,0.652,
2012-07,0.631,
2012-10,0.616,
2013-01,0.622,
2013-04,0.618,
2013-07,0.604,
2013-10,0.587,
2014-01,0.584,
2014-04,0.587,
2014-07,0.581,
