"",BBDE1.M.DE.Y.AEN5.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.AEN5.A2P310000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At current prices, flows / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:02,
2010-01,89.8,
2010-02,93.2,
2010-03,95.0,
2010-04,99.3,
2010-05,98.8,
2010-06,99.9,
2010-07,102.1,
2010-08,102.3,
2010-09,101.8,
2010-10,102.8,
2010-11,104.7,
2010-12,107.7,
2011-01,110.8,
2011-02,110.3,
2011-03,111.9,
2011-04,109.1,
2011-05,107.3,
2011-06,109.9,
2011-07,108.3,
2011-08,109.1,
2011-09,105.6,
2011-10,104.3,
2011-11,101.5,
2011-12,106.8,
2012-01,107.7,
2012-02,106.9,
2012-03,104.5,
2012-04,104.7,
2012-05,107.2,
2012-06,105.1,
2012-07,105.0,
2012-08,105.7,
2012-09,100.5,
2012-10,104.7,
2012-11,103.1,
2012-12,104.6,
2013-01,102.2,
2013-02,102.7,
2013-03,106.7,
2013-04,104.5,
2013-05,104.1,
2013-06,101.5,
2013-07,103.2,
2013-08,102.4,
2013-09,104.7,
2013-10,109.0,
2013-11,104.9,
2013-12,103.5,
2014-01,106.6,
2014-02,108.4,
2014-03,103.5,
2014-04,107.0,
2014-05,102.8,
2014-06,106.3,
2014-07,107.2,
2014-08,104.4,
2014-09,107.8,
2014-10,108.7,
2014-11,109.7,
2014-12,110.9,Provisional value
