"",BBFN1.M.DE.N.1.L.BA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:50,
2006-03,0.000,
2006-04,0.000,
2006-05,0.000,
2006-06,0.001,
2006-07,0.001,
2006-08,0.001,
2006-09,0.001,
2006-10,0.001,
2006-11,0.001,
2006-12,0.003,
2007-01,0.007,
2007-02,0.008,
2007-03,0.008,
2007-04,0.010,
2007-05,0.010,
2007-06,0.011,
2007-07,0.013,
2007-08,0.015,
2007-09,0.015,
2007-10,0.018,
2007-11,0.018,
2007-12,0.015,
2008-01,0.015,
2008-02,0.015,
2008-03,0.015,
2008-04,0.016,
2008-05,0.019,
2008-06,0.020,
2008-07,0.022,
2008-08,0.023,
2008-09,0.024,
2008-10,0.026,
2008-11,0.026,
2008-12,0.025,
2009-01,0.025,
2009-02,0.026,
2009-03,0.026,
2009-04,0.026,
2009-05,0.002,
2009-06,0.005,
2009-07,0.002,
2009-08,0.002,
2009-09,0.002,
2009-10,0.012,
2009-11,0.015,
2009-12,0.015,
2010-01,0.014,
2010-02,0.014,
2010-03,0.121,
2010-04,0.016,
2010-05,0.016,
2010-06,0.016,
2010-07,0.013,
2010-08,0.013,
2010-09,0.010,
2010-10,0.007,
2010-11,0.007,
2010-12,0.003,
2011-01,0.000,
2011-02,0.000,
2011-03,0.003,
2011-04,0.006,
2011-05,0.006,
2011-06,0.006,
2011-07,0.006,
2011-08,0.006,
2011-09,0.007,
2011-10,0.006,
2011-11,0.006,
2011-12,0.006,
2012-01,0.006,
2012-02,0.006,
2012-03,0.006,
2012-04,0.006,
2012-05,0.006,
2012-06,0.006,
2012-07,0.006,
2012-08,0.006,
2012-09,0.006,
2012-10,0.006,
2012-11,0.006,
2012-12,0.006,
2013-01,0.006,
2013-02,0.006,
2013-03,0.007,
2013-04,0.007,
2013-05,0.006,
2013-06,0.007,
2013-07,0.007,
2013-08,0.007,
2013-09,0.006,
2013-10,0.006,
2013-11,0.006,
2013-12,0.007,
2014-01,0.007,
2014-02,0.007,
2014-03,0.007,
2014-04,0.008,
2014-05,0.008,
2014-06,0.007,
2014-07,0.008,
2014-08,0.008,
2014-09,0.007,
2014-10,0.007,
2014-11,0.007,
2014-12,0.009,
