SUBJECT,Subject,LOCATION,Country,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-01,Jan-61,IDX,Index,0,units,,,100.7045,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-02,Feb-61,IDX,Index,0,units,,,100.5364,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-03,Mar-61,IDX,Index,0,units,,,100.3391,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-04,Apr-61,IDX,Index,0,units,,,100.1227,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-05,May-61,IDX,Index,0,units,,,99.91564,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-06,Jun-61,IDX,Index,0,units,,,99.74064,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-07,Jul-61,IDX,Index,0,units,,,99.60115,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-08,Aug-61,IDX,Index,0,units,,,99.49343,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-09,Sep-61,IDX,Index,0,units,,,99.40791,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-10,Oct-61,IDX,Index,0,units,,,99.34943,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-11,Nov-61,IDX,Index,0,units,,,99.33266,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1961-12,Dec-61,IDX,Index,0,units,,,99.34019,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-01,Jan-62,IDX,Index,0,units,,,99.3572,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-02,Feb-62,IDX,Index,0,units,,,99.36513,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-03,Mar-62,IDX,Index,0,units,,,99.37186,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-04,Apr-62,IDX,Index,0,units,,,99.37613,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-05,May-62,IDX,Index,0,units,,,99.35982,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-06,Jun-62,IDX,Index,0,units,,,99.30337,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-07,Jul-62,IDX,Index,0,units,,,99.20439,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-08,Aug-62,IDX,Index,0,units,,,99.07598,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-09,Sep-62,IDX,Index,0,units,,,98.92445,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-10,Oct-62,IDX,Index,0,units,,,98.75553,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-11,Nov-62,IDX,Index,0,units,,,98.5889,,
LOLITOAA,Amplitude adjusted (CLI),DEU,Germany,M,Monthly,1962-12,Dec-62,IDX,Index,0,units,,,98.43367,,
