"",2005-11-16,2005-12-16,2006-01-16,2006-02-16,2006-03-28,2006-06-16,2006-06-26,2006-07-03,2006-07-17,2006-08-16,2006-09-14,2006-10-16,2006-11-17,2006-12-15,2007-01-16,2007-02-16,2007-03-21,2007-04-16,2007-05-10,2007-06-15,2007-07-13,2007-08-16,2007-09-14,2007-10-15,2007-11-16,2007-12-14,2008-01-16,2008-02-15,2008-03-17,2008-04-14,2008-05-16,2008-06-19,2008-07-14,2008-08-15,2008-09-16,2008-10-16,2008-11-17,2008-12-16,2009-01-16,2009-02-16,2009-03-16,2010-03-04,2010-03-15,2010-04-16,2010-05-17,2010-06-15,2010-07-14,2010-08-16,2010-09-15,2010-10-15,2010-11-15,2010-12-14,2011-01-17,2011-02-14,2011-03-17,2011-04-15,2011-05-16,2011-06-15,2011-07-15,2011-08-15,2011-09-15,2011-10-17,2011-11-14,2011-12-15,2012-01-16,2012-02-14,2012-03-15,2012-04-16,2012-05-14,2012-06-15,2012-07-16,2012-08-15,2012-09-17,2012-10-15,2012-11-14,2012-12-17,2013-01-16,2013-02-15,2013-04-15,2013-05-15,2013-06-17,2013-07-15,2013-08-12,2013-09-16,2013-10-15,2013-11-15,2013-12-16,2014-01-16,2014-02-17,2014-03-17,2014-04-15,2014-05-15,2014-06-16,2014-07-15,2014-08-15,2014-09-15,2014-10-15,2014-11-17,2014-12-15,2015-01-16,2015-02-17
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,162.58,160.08,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,161.41,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,176.13,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38,180.38
1991-02,150.01,150.01,150.01,150.01,150.01,150.01,150.01,150.01,150.01,150.01,150.01,150.01,150.01,150.01,150.01,150.01,150.01,147.78,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,149.11,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,162.70,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63,166.63
1991-03,150.34,150.34,150.34,150.34,150.34,150.34,150.34,150.34,150.34,150.34,150.34,150.34,150.34,150.34,150.34,150.34,150.34,148.14,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,149.51,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,163.14,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08,167.08
1991-04,155.10,155.10,155.10,155.10,155.10,155.10,155.10,155.10,155.10,155.10,155.10,155.10,155.10,155.10,155.10,155.10,155.10,152.95,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,154.38,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,168.45,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52,172.52
1991-05,140.35,140.35,140.35,140.35,140.35,140.35,140.35,140.35,140.35,140.35,140.35,140.35,140.35,140.35,140.35,140.35,140.35,138.35,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,139.66,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,152.39,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07,156.07
1991-06,144.52,144.52,144.52,144.52,144.52,144.52,144.52,144.52,144.52,144.52,144.52,144.52,144.52,144.52,144.52,144.52,144.52,142.66,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,143.94,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,157.06,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86,160.86
