"",2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,,,,,,,,,,,,,,,,,,,,,,,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,105.68,105.68,105.68,105.68,105.68,105.68,105.68,105.68,105.68,105.68,105.68,105.68,108.95,108.95,108.95
1991-04,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,95.49,97.08,97.08,97.08,97.08,97.08,97.08,97.08,97.08,97.08,97.08,97.08,97.08,99.62,99.62,99.62
1991-07,103.17,103.17,103.17,103.17,103.17,103.17,103.17,103.16,103.16,103.16,103.16,103.16,103.16,103.16,103.16,104.50,104.50,104.50,104.50,104.50,104.50,104.50,104.50,104.50,104.50,104.50,104.50,108.06,108.06,108.06
1991-10,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,103.18,103.18,103.18,103.18,103.18,103.18,103.18,103.18,103.18,103.18,103.18,103.18,106.76,106.76,106.76
1992-01,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,108.84,110.44,110.44,110.44,110.44,110.44,110.44,110.44,110.44,110.44,110.44,110.44,110.44,113.65,113.65,113.65
1992-04,98.60,98.60,98.60,98.60,98.60,98.60,98.60,98.60,98.60,98.60,98.60,98.60,98.60,98.60,98.60,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,99.77,103.03,103.03,103.03
1992-07,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,107.57,107.57,107.57,107.57,107.57,107.57,107.57,107.57,107.57,107.57,107.57,107.57,111.14,111.14,111.14
1992-10,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,106.98,106.98,106.98,106.98,106.98,106.98,106.98,106.98,106.98,106.98,106.98,106.98,110.25,110.25,110.25
1993-01,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,105.32,106.92,106.92,106.92,106.92,106.92,106.92,106.92,106.92,106.92,106.92,106.92,106.92,110.19,110.19,110.19
1993-04,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.70,95.70,95.70,95.70,95.70,95.70,95.70,95.70,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,96.74,99.89,99.89,99.89
1993-07,104.15,104.15,104.15,104.15,104.15,104.15,104.15,104.15,104.15,104.15,104.15,104.15,104.15,104.15,104.15,105.14,105.14,105.14,105.14,105.14,105.14,105.14,105.14,105.14,105.14,105.14,105.14,108.35,108.35,108.35
1993-10,104.10,104.10,104.10,104.10,104.10,104.10,104.10,104.10,104.10,104.10,104.10,104.10,104.10,104.10,104.10,105.56,105.56,105.56,105.56,105.56,105.56,105.56,105.56,105.56,105.56,105.56,105.56,108.40,108.40,108.40
1994-01,106.20,106.20,106.20,106.20,106.20,106.20,106.20,106.20,106.20,106.20,106.20,106.20,106.20,106.20,106.20,107.65,107.65,107.65,107.65,107.65,107.65,107.65,107.65,107.65,107.65,107.65,107.65,110.49,110.49,110.49
1994-04,97.77,97.77,97.77,97.77,97.77,97.77,97.77,97.77,97.77,97.77,97.77,97.77,97.77,97.77,97.77,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,98.73,100.88,100.88,100.88
1994-07,105.68,105.68,105.68,105.68,105.68,105.68,105.68,105.67,105.67,105.67,105.67,105.67,105.67,105.67,105.67,106.53,106.53,106.53,106.53,106.53,106.53,106.53,106.53,106.53,106.53,106.53,106.53,108.98,108.98,108.98
1994-10,104.38,104.38,104.38,104.38,104.38,104.38,104.38,104.38,104.38,104.38,104.38,104.38,104.38,104.38,104.38,105.69,105.69,105.69,105.69,105.69,105.69,105.69,105.69,105.69,105.69,105.69,105.69,108.03,108.03,108.03
1995-01,108.48,108.48,108.48,108.48,108.48,108.48,108.48,108.48,108.48,108.48,108.48,108.48,108.48,108.48,108.48,109.78,109.78,109.78,109.78,109.78,109.78,109.78,109.78,109.78,109.78,109.78,109.78,112.34,112.34,112.34
1995-04,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,97.66,98.35,98.35,98.35,98.35,98.35,98.35,98.35,98.35,98.35,98.35,98.35,98.35,100.41,100.41,100.41
1995-07,104.98,104.98,104.98,104.98,104.98,104.98,104.98,104.98,104.98,104.98,104.98,104.98,104.98,104.98,104.98,105.65,105.65,105.65,105.65,105.65,105.65,105.65,105.65,105.65,105.65,105.65,105.65,108.51,108.51,108.51
1995-10,102.62,102.62,102.62,102.62,102.62,102.62,102.62,102.61,102.61,102.61,102.61,102.61,102.61,102.61,102.61,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,103.58,106.92,106.92,106.92
1996-01,105.28,105.28,105.28,105.28,105.28,105.28,105.28,105.28,105.28,105.28,105.28,105.28,105.28,105.28,105.28,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,106.47,110.24,110.24,110.24
1996-04,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,94.82,95.52,95.52,95.52,95.52,95.52,95.52,95.52,95.52,95.52,95.52,95.52,95.52,99.05,99.05,99.05
1996-07,102.72,102.72,102.72,102.72,102.72,102.72,102.72,102.73,102.73,102.73,102.73,102.73,102.73,102.73,102.73,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,103.45,107.25,107.25,107.25
1996-10,101.24,101.24,101.24,101.24,101.24,101.24,101.24,101.24,101.24,101.24,101.24,101.24,101.24,101.24,101.24,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,102.34,106.27,106.27,106.27
1997-01,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,101.19,102.48,102.48,102.48,102.48,102.48,102.48,102.48,102.48,102.48,102.48,102.48,102.48,105.86,105.86,105.86
1997-04,96.89,96.89,96.89,96.89,96.89,96.89,96.89,96.90,96.90,96.90,96.90,96.90,96.90,96.90,96.90,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,97.88,100.92,100.92,100.92
1997-07,102.92,102.92,102.92,102.92,102.92,102.92,102.92,102.91,102.91,102.91,102.91,102.91,102.91,102.91,102.91,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.79,103.79,107.26,107.26,107.26
1997-10,102.65,102.65,102.65,102.65,102.65,102.65,102.65,102.64,102.64,102.64,102.64,102.64,102.64,102.64,102.64,103.90,103.90,103.90,103.90,103.90,103.90,103.90,103.90,103.90,103.90,103.90,103.90,107.17,107.17,107.17
1998-01,104.26,104.26,104.26,104.26,104.26,104.26,104.26,104.27,104.27,104.27,104.27,104.27,104.27,104.27,104.27,105.37,105.37,105.37,105.37,105.37,105.37,105.37,105.37,105.37,105.37,105.37,105.37,108.51,108.51,108.51
1998-04,94.86,94.86,94.86,94.86,94.86,94.86,94.86,94.85,94.85,94.85,94.85,94.85,94.85,94.85,94.85,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,95.55,98.75,98.75,98.75
1998-07,102.67,102.67,102.67,102.67,102.67,102.67,102.67,102.68,102.68,102.68,102.68,102.68,102.68,102.68,102.68,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,103.23,107.07,107.07,107.07
1998-10,104.24,104.24,104.24,104.24,104.24,104.24,104.24,104.24,104.24,104.24,104.24,104.24,104.24,104.24,104.24,105.15,105.15,105.15,105.15,105.15,105.15,105.15,105.15,105.15,105.15,105.15,105.15,108.86,108.86,108.86
1999-01,103.37,103.37,103.37,103.37,103.37,103.37,103.37,103.36,103.36,103.36,103.36,103.36,103.36,103.36,103.36,104.36,104.36,104.36,104.36,104.36,104.36,104.36,104.36,104.36,104.36,104.36,104.36,107.85,107.85,107.85
1999-04,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.96,94.96,95.60,95.60,95.60,95.60,95.60,95.60,95.60,95.60,95.60,95.60,95.60,95.60,99.00,99.00,99.00
