"",2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.112,25.468,25.468,25.468,25.468,25.468,25.468,25.468,25.468,25.468,25.468,25.468,25.468,25.245,25.245,25.245
1991-04,24.972,24.972,24.972,24.972,24.972,24.972,24.972,24.972,24.972,24.972,24.972,24.972,24.972,24.972,24.972,24.972,24.972,25.313,25.313,25.313,25.313,25.313,25.313,25.313,25.313,25.313,25.313,25.313,25.313,25.092,25.092,25.092
1991-07,24.824,24.824,24.824,24.824,24.824,24.824,24.824,24.824,24.824,24.824,24.824,24.824,24.824,24.824,24.824,24.824,24.824,25.191,25.191,25.191,25.191,25.191,25.191,25.191,25.191,25.191,25.191,25.191,25.191,25.016,25.016,25.016
1991-10,24.903,24.903,24.903,24.903,24.903,24.903,24.903,24.903,24.903,24.903,24.903,24.903,24.903,24.903,24.903,24.903,24.903,25.204,25.204,25.204,25.204,25.204,25.204,25.204,25.204,25.204,25.204,25.204,25.204,24.992,24.992,24.992
1992-01,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.430,24.726,24.726,24.726,24.726,24.726,24.726,24.726,24.726,24.726,24.726,24.726,24.726,24.520,24.520,24.520
1992-04,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.339,24.624,24.624,24.624,24.624,24.624,24.624,24.624,24.624,24.624,24.624,24.624,24.624,24.413,24.413,24.413
1992-07,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.331,24.643,24.643,24.643,24.643,24.643,24.643,24.643,24.643,24.643,24.643,24.643,24.643,24.471,24.471,24.471
1992-10,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.345,24.612,24.612,24.612,24.612,24.612,24.612,24.612,24.612,24.612,24.612,24.612,24.612,24.392,24.392,24.392
1993-01,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,23.867,24.148,24.148,24.148,24.148,24.148,24.148,24.148,24.148,24.148,24.148,24.148,24.148,23.923,23.923,23.923
1993-04,23.768,23.768,23.768,23.768,23.768,23.768,23.768,23.768,23.768,23.768,23.768,23.768,23.768,23.768,23.768,23.768,23.768,24.040,24.040,24.040,24.040,24.040,24.040,24.040,24.040,24.040,24.040,24.040,24.040,23.823,23.823,23.823
