"",2006-03-30,2006-04-27,2006-05-31,2006-06-29,2006-08-01,2006-08-31,2006-09-28,2006-11-02,2006-11-30,2007-01-03,2007-01-31,2007-02-28,2007-03-29,2007-05-02,2007-05-31,2007-06-28,2007-07-31,2007-08-30,2007-09-27,2007-10-30,2007-11-29,2008-01-03,2008-01-31,2008-02-28,2008-04-01,2008-04-30,2008-05-29,2008-07-01,2008-07-31,2008-08-28,2008-09-30,2008-10-30,2008-11-27,2009-01-07,2009-01-29,2009-02-26,2009-03-31,2009-04-30,2009-05-28,2009-06-30,2009-07-30,2009-09-01,2009-09-30,2009-10-29,2009-12-01,2010-01-05,2010-01-28,2010-02-25,2010-03-31,2010-04-29,2010-06-01,2010-06-30,2010-07-29,2010-08-31,2010-09-30,2010-10-28,2010-11-30,2011-01-04,2011-02-01,2011-03-01,2011-03-31,2011-04-28,2011-05-31,2011-06-30,2011-07-28,2011-08-31,2011-09-29,2011-11-02,2011-11-30,2012-01-03,2012-01-31,2012-02-29,2012-03-29,2012-05-02,2012-05-31,2012-06-28,2012-07-31,2012-08-30,2012-09-27,2012-10-30,2012-11-29,2013-01-03,2013-01-31,2013-02-28,2013-03-28,2013-04-30,2013-05-29,2013-06-27,2013-07-31,2013-08-29,2013-10-01,2013-10-30,2013-11-28,2014-01-07,2014-01-30,2014-02-27,2014-04-01,2014-04-30,2014-05-28,2014-07-01,2014-07-31,2014-08-28,2014-09-30,2014-10-30,2014-11-27,2015-01-07,2015-01-29,2015-02-26
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,,Computerised,Computerised,Computerised,,Computerised,Computerised,Computerised,Computerised
1999-06,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27482584,27418361,27418361,27418361,27418361,27418361,27418361,27418361
1999-07,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27415692,27294793,27294793,27294793,27294793,27294793,27294793,27294793
1999-08,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27669642,27537965,27537965,27537965,27537965,27537965,27537965,27537965
1999-09,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27943495,27858014,27858014,27858014,27858014,27858014,27858014,27858014
1999-10,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27911501,27874461,27874461,27874461,27874461,27874461,27874461,27874461
1999-11,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995226,27995907,27995907,27995907,27995907,27995907,27995907,27995907
