"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-05,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,1999-04-28,1999-06-08,1999-09-09,1999-12-07,2000-03-02,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-27,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22
unit,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1991,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual
1991-01,85.3,85.3,85.3,85.8,85.6,85.6,85.9,85.9,85.7,85.7,85.7,85.9,85.9,85.8,85.8,105.4,54.2,,,,,,,,,,,54.68,54.68,54.70,54.70,54.70,54.70,54.69,54.69,54.69,54.70,54.74,54.74,54.72
1991-04,87.0,87.0,87.0,86.8,86.9,86.9,86.7,86.7,87.0,87.0,87.0,86.9,86.9,87.0,87.0,105.7,54.0,,,,,,,,,,,53.86,53.86,53.86,53.86,53.86,53.86,53.83,53.83,53.83,53.80,53.82,53.82,53.79
1991-07,88.8,88.8,88.8,88.7,88.7,88.7,88.5,88.5,88.6,88.6,88.7,88.6,88.6,88.6,88.6,108.5,55.3,,,,,,,,,,,54.88,54.88,54.88,54.88,54.88,54.88,54.82,54.82,54.82,54.81,54.77,54.77,54.67
1991-10,89.0,89.0,89.0,88.8,88.8,89.0,89.3,89.3,89.2,89.2,89.2,89.1,89.0,89.1,89.1,110.2,56.2,,,,,,,,,,,57.32,57.32,57.21,57.21,57.21,57.21,57.22,57.22,57.22,57.05,56.95,56.95,57.10
1992-01,95.1,95.1,95.1,95.8,95.6,95.6,96.0,96.0,96.1,96.1,96.0,96.3,96.3,96.1,96.1,118.4,60.8,60.8,60.6,60.9,60.53,60.41,,,,,,60.38,60.38,60.45,60.45,60.45,60.45,60.45,60.45,60.45,60.60,60.64,60.64,60.63
1992-04,95.1,95.1,95.1,94.9,95.0,95.0,94.8,94.8,95.0,95.0,95.0,94.9,94.9,95.0,95.0,117.4,60.0,60.0,59.9,59.9,60.12,60.10,,,,,,60.19,60.19,60.14,60.14,60.14,60.14,60.11,60.11,60.11,60.15,60.17,60.17,60.13
1992-07,94.9,94.9,94.9,94.7,94.7,94.6,94.5,94.5,94.5,94.5,94.5,94.4,94.4,94.5,94.5,117.2,59.8,59.7,59.9,59.4,59.52,59.52,,,,,,59.36,59.36,59.35,59.35,59.35,59.35,59.29,59.29,59.29,59.15,59.11,59.11,59.02
1992-10,97.2,97.2,97.2,96.9,97.0,97.2,97.2,97.2,96.8,96.8,96.9,96.8,96.7,96.8,96.8,120.0,61.3,61.3,61.4,61.5,61.51,61.65,,,,,,61.73,61.73,61.69,61.69,61.69,61.69,61.70,61.70,61.70,61.70,61.60,61.60,61.76
1993-01,94.7,94.7,94.7,95.6,95.4,95.3,95.7,95.7,96.4,96.3,96.2,96.4,96.5,96.2,96.2,119.1,61.0,61.1,60.9,61.2,61.26,61.14,,,,,,61.15,61.15,61.21,61.21,61.21,61.21,61.20,61.20,61.20,60.72,60.76,60.76,60.74
1993-04,95.9,95.9,95.9,95.6,95.7,95.8,95.5,95.5,96.1,96.1,96.2,96.1,96.2,96.3,96.3,119.7,61.2,61.2,61.1,61.2,61.11,61.09,,,,,,61.13,61.13,61.13,61.13,61.13,61.13,61.10,61.10,61.10,60.99,61.01,61.01,60.96
1993-07,98.2,98.2,98.2,97.9,97.9,97.7,97.6,97.6,98.0,97.9,97.9,97.9,97.9,98.0,98.0,122.2,62.4,62.3,62.4,62.0,62.14,62.14,62.01,,,,,62.03,62.03,62.02,62.02,62.02,62.02,61.97,61.97,61.97,61.87,61.84,61.84,61.75
1993-10,96.8,96.8,96.8,96.4,96.6,96.8,96.5,96.5,96.5,96.6,96.6,96.6,96.4,96.5,96.5,120.1,61.4,61.4,61.5,61.6,61.61,61.75,61.79,,,,,61.85,61.85,61.81,61.81,61.81,61.81,61.82,61.82,61.82,62.07,61.97,61.97,62.13
1994-01,101.7,101.7,101.7,102.6,102.3,102.3,102.7,102.7,102.6,102.6,102.4,102.7,102.9,102.5,102.5,126.9,64.9,65.0,64.8,64.9,64.62,64.51,64.57,,,,,64.49,64.49,64.57,64.57,64.57,64.57,64.56,64.56,64.56,64.24,64.27,64.27,64.24
1994-04,103.2,103.2,103.2,103.1,103.0,103.1,102.8,102.8,102.2,102.2,102.3,102.2,102.2,102.4,102.4,128.7,65.8,65.7,65.8,65.9,65.79,65.76,65.78,,,,,65.80,65.80,65.79,65.79,65.79,65.79,65.75,65.75,65.75,65.61,65.62,65.62,65.56
1994-07,104.4,104.4,104.4,104.1,103.9,103.6,103.5,103.5,102.6,102.5,102.5,102.4,102.4,102.5,102.5,128.6,65.8,65.7,65.8,65.4,65.58,65.61,65.49,65.43,,,,65.52,65.52,65.49,65.49,65.49,65.49,65.43,65.43,65.43,65.34,65.31,65.31,65.21
1994-10,107.1,107.1,107.1,106.6,106.7,107.0,106.6,106.6,105.2,105.3,105.4,105.3,105.1,105.2,105.2,130.8,66.9,66.9,67.0,67.1,67.39,67.51,67.54,67.68,,,,67.63,67.63,67.55,67.55,67.55,67.55,67.56,67.56,67.56,68.00,67.89,67.89,68.05
1995-01,104.6,104.6,105.2,106.0,105.8,105.7,105.9,105.9,105.4,105.3,105.2,105.5,104.3,103.9,103.8,127.2,65.0,65.1,64.9,64.9,64.24,64.13,64.19,64.15,64.15,,,64.06,64.06,64.17,64.17,64.17,64.17,64.17,64.17,64.17,64.10,64.13,64.13,64.10
1995-04,105.6,105.6,106.6,106.5,106.5,106.6,106.2,106.2,104.5,104.5,104.6,104.5,103.1,103.3,103.4,128.7,65.7,65.6,65.8,65.9,66.00,65.99,66.00,65.94,65.94,,,66.06,66.06,66.03,66.03,66.03,66.03,65.99,65.99,65.99,65.98,65.99,65.99,65.93
1995-07,,105.7,106.2,105.9,105.7,105.3,105.2,105.2,103.1,103.0,103.0,102.9,101.5,101.6,101.6,126.6,64.8,64.7,64.7,64.5,64.78,64.82,64.71,64.66,64.66,,,64.77,64.77,64.71,64.71,64.71,64.71,64.66,64.66,64.66,64.83,64.81,64.81,64.72
1995-10,,,103.9,103.5,103.4,103.8,103.5,103.5,101.0,101.2,101.2,101.2,99.7,99.8,99.8,123.4,63.1,63.2,63.2,63.4,63.49,63.56,63.60,63.75,63.75,,,63.66,63.66,63.61,63.61,63.61,63.61,63.63,63.63,63.63,63.58,63.46,63.46,63.66
1996-01,,,,95.5,93.8,94.2,94.9,94.9,94.0,94.0,93.8,93.9,92.5,92.0,91.9,114.7,58.4,58.8,58.7,58.5,57.73,57.63,57.68,57.65,57.65,57.62,,57.62,57.62,57.71,57.71,57.71,57.71,57.69,57.69,57.69,58.27,58.29,58.29,58.25
1996-04,,,,,104.7,104.7,104.6,104.6,102.4,102.4,102.6,102.6,101.5,101.8,101.9,126.4,64.5,64.5,64.6,64.8,64.91,64.97,64.94,64.86,64.86,64.97,,64.98,64.98,64.95,64.95,64.95,64.95,64.91,64.91,64.91,65.03,65.04,65.04,64.97
1996-07,,,,,,105.8,106.0,106.0,103.1,103.0,102.9,102.8,101.8,101.8,101.8,126.4,64.8,64.7,64.6,64.5,64.62,64.67,64.61,64.56,64.56,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.59,64.54,64.54,64.54,64.51,64.49,64.49,64.40
