"",2005-05-19,2005-08-18,2005-11-17,2006-02-16,2006-05-18,2006-08-17,2006-11-16,2007-02-20,2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,9.322,9.320,9.320,9.320,9.320,9.319,9.319,9.319,9.319,9.319,9.319,9.319,9.319,9.320,9.320,9.320,9.320,9.320,9.320,9.320,9.320,9.320,9.320,9.320,9.320,8.660,8.659,8.660,8.660,8.660,8.660,8.660,8.660,8.667,8.667,8.667,8.667,8.819,8.819
1991-04,9.313,9.313,9.313,9.313,9.313,9.313,9.313,9.313,9.313,9.314,9.314,9.314,9.314,9.314,9.314,9.314,9.314,9.314,9.314,9.314,9.314,9.314,9.314,9.314,9.315,8.670,8.667,8.670,8.670,8.670,8.670,8.666,8.666,8.664,8.664,8.664,8.664,8.820,8.820
1991-07,9.299,9.299,9.299,9.299,9.299,9.298,9.298,9.298,9.298,9.299,9.299,9.299,9.299,9.299,9.299,9.299,9.299,9.300,9.300,9.300,9.300,9.300,9.300,9.300,9.300,8.640,8.643,8.640,8.640,8.640,8.640,8.642,8.642,8.640,8.640,8.640,8.640,8.801,8.801
1991-10,9.335,9.337,9.337,9.337,9.337,9.338,9.338,9.338,9.338,9.336,9.336,9.336,9.336,9.335,9.335,9.335,9.335,9.335,9.335,9.335,9.335,9.334,9.334,9.334,9.334,8.670,8.669,8.670,8.670,8.670,8.670,8.669,8.669,8.666,8.666,8.666,8.666,8.835,8.835
1992-01,9.370,9.369,9.369,9.369,9.369,9.367,9.367,9.367,9.367,9.368,9.368,9.368,9.368,9.368,9.368,9.368,9.368,9.369,9.369,9.369,9.369,9.369,9.369,9.369,9.369,8.700,8.698,8.700,8.700,8.700,8.700,8.699,8.699,8.705,8.705,8.705,8.705,8.851,8.851
1992-04,9.354,9.354,9.354,9.354,9.354,9.355,9.355,9.355,9.355,9.356,9.356,9.356,9.356,9.356,9.356,9.356,9.356,9.356,9.356,9.356,9.356,9.356,9.356,9.356,9.356,8.680,8.683,8.680,8.680,8.680,8.680,8.682,8.682,8.681,8.681,8.681,8.681,8.836,8.836
1992-07,9.340,9.340,9.340,9.340,9.340,9.339,9.339,9.339,9.339,9.339,9.339,9.339,9.339,9.340,9.340,9.340,9.340,9.340,9.340,9.340,9.340,9.340,9.340,9.340,9.340,8.670,8.672,8.670,8.670,8.670,8.670,8.671,8.671,8.670,8.670,8.670,8.670,8.819,8.819
1992-10,9.319,9.321,9.321,9.321,9.321,9.322,9.322,9.322,9.322,9.321,9.321,9.321,9.321,9.321,9.321,9.321,9.321,9.320,9.320,9.320,9.320,9.319,9.319,9.319,9.319,8.660,8.656,8.660,8.660,8.660,8.660,8.657,8.657,8.654,8.654,8.654,8.654,8.811,8.811
1993-01,9.346,9.344,9.344,9.344,9.344,9.343,9.343,9.343,9.343,9.344,9.344,9.344,9.344,9.344,9.344,9.344,9.344,9.344,9.344,9.344,9.344,9.344,9.344,9.344,9.344,8.680,8.681,8.680,8.680,8.680,8.680,8.683,8.683,8.688,8.688,8.688,8.688,8.829,8.829
1993-04,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.333,9.334,9.334,9.334,9.334,8.670,8.666,8.670,8.670,8.670,8.670,8.665,8.665,8.664,8.664,8.664,8.664,8.822,8.822
1993-07,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.330,9.331,9.331,9.331,9.331,9.331,9.331,9.331,9.331,8.650,8.654,8.650,8.650,8.650,8.650,8.653,8.653,8.652,8.652,8.652,8.652,8.807,8.807
1993-10,9.316,9.317,9.317,9.317,9.317,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.317,9.317,9.317,9.317,9.316,9.316,9.316,9.317,8.640,8.640,8.640,8.640,8.640,8.640,8.641,8.641,8.638,8.638,8.638,8.638,8.802,8.802
1994-01,9.318,9.317,9.317,9.317,9.317,9.316,9.316,9.316,9.316,9.317,9.317,9.317,9.317,9.317,9.317,9.317,9.317,9.317,9.317,9.317,9.317,9.318,9.318,9.318,9.318,8.640,8.640,8.640,8.640,8.640,8.640,8.641,8.641,8.645,8.645,8.645,8.645,8.798,8.798
1994-04,9.307,9.306,9.306,9.306,9.306,9.307,9.307,9.307,9.307,9.305,9.305,9.305,9.305,9.305,9.305,9.305,9.305,9.306,9.306,9.306,9.306,9.306,9.306,9.306,9.306,8.630,8.632,8.630,8.630,8.630,8.630,8.631,8.631,8.630,8.630,8.630,8.630,8.787,8.787
1994-07,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.297,9.297,9.297,9.297,9.297,9.297,9.297,9.297,9.297,9.297,9.297,9.297,9.298,9.298,9.298,9.297,8.630,8.625,8.630,8.630,8.620,8.620,8.623,8.623,8.623,8.623,8.623,8.623,8.785,8.785
1994-10,9.294,9.294,9.294,9.294,9.294,9.295,9.295,9.295,9.295,9.297,9.297,9.297,9.297,9.296,9.296,9.296,9.296,9.296,9.296,9.296,9.296,9.296,9.296,9.296,9.296,8.630,8.633,8.630,8.630,8.640,8.640,8.635,8.635,8.633,8.633,8.633,8.633,8.792,8.792
1995-01,9.282,9.282,9.282,9.282,9.282,9.281,9.281,9.281,9.281,9.283,9.283,9.283,9.283,9.283,9.283,9.283,9.283,9.283,9.283,9.283,9.283,9.283,9.283,9.283,9.283,8.610,8.609,8.610,8.610,8.610,8.610,8.610,8.610,8.612,8.612,8.612,8.612,8.759,8.759
1995-04,9.302,9.301,9.301,9.301,9.301,9.301,9.301,9.301,9.301,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,9.298,8.620,8.619,8.620,8.620,8.620,8.620,8.618,8.618,8.618,8.618,8.618,8.618,8.770,8.770
