"",2005-11-22,2005-12-22,2006-01-24,2006-02-20,2006-03-20,2006-04-24,2006-05-24,2006-06-21,2006-07-21,2006-08-22,2006-09-20,2006-10-20,2006-11-22,2006-12-20,2007-01-22,2007-02-23,2007-03-23,2007-04-23,2007-05-23,2007-06-21,2007-07-20,2007-08-21,2007-09-21,2007-10-23,2007-11-21,2007-12-19,2008-01-21,2008-02-20,2008-03-25,2008-04-21,2008-05-21,2008-06-25,2008-07-21,2008-08-22,2008-09-24,2008-10-21,2008-11-25,2008-12-19,2009-01-23,2009-02-25,2009-03-31,2009-04-24,2009-05-25,2009-06-25,2009-07-24,2009-08-25,2009-09-25,2009-10-23,2009-11-25,2009-12-21,2010-01-25,2010-02-25,2010-03-24,2010-04-23,2010-05-25,2010-06-25,2010-07-23,2010-08-25,2010-09-23,2010-10-22,2010-11-25,2010-12-21,2011-01-25,2011-02-24,2011-03-24,2011-04-21,2011-05-24,2011-06-21,2011-07-21,2011-08-25,2011-09-21,2011-10-25,2011-11-23,2011-12-20,2012-01-24,2012-02-22,2012-03-23,2012-04-23,2012-05-25,2012-06-25,2012-07-25,2012-08-24,2012-09-25,2012-10-25,2012-11-23,2012-12-21,2013-01-25,2013-02-25,2013-03-25,2013-04-25,2013-05-23,2013-06-25,2013-07-25,2013-08-23,2013-09-26,2013-10-25,2013-11-25,2013-12-20,2014-01-23,2014-02-24,2014-03-24,2014-04-25,2014-05-22,2014-06-25,2014-07-25,2014-08-25,2014-09-25,2014-10-23,2014-11-24,2014-12-19,2015-01-23
unit,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro
unit multiplier,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,13565077,6846119,13389845,13389845,13389845,13389845,13389845,13389845,13389845,13389845,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13430421,13366760,13366760,13366760,13366760,13366760,13366760,13366760,13366760,13366760,13366760,13366760,13352228,13373130,13373130,13373130,13373130,13373130,13373130,13373130,13373130,13373130,13273959,13273959,13273959,13273959,13273959,13273959,13283515,13283515,13283515,13283515,13333478,13331707,13331707,13331707,13331707,13331180,13331180,13331180,13331180,13331180,13331180,13331180,13331180,13331180,13335319,13335319,13280279,13280841,13280841
1991-02,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,12386761,6387920,12493687,12493687,12493687,12493687,12493687,12493687,12493687,12493687,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12482593,12509595,12509595,12509595,12509595,12509595,12509595,12509595,12509595,12509595,12509595,12509595,12476056,12501542,12501542,12501542,12501542,12501542,12501542,12501542,12501542,12501542,12509873,12509873,12509873,12509873,12509873,12509873,12478929,12478929,12478929,12478929,12492076,12511694,12511694,12511694,12511694,12511540,12511540,12511540,12511540,12511540,12511540,12511540,12511540,12511540,12518988,12518988,12484207,12484634,12484634
1991-03,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,13131178,6617909,12943503,12943503,12943503,12943503,12943503,12943503,12943503,12943503,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12942138,12965443,12965443,12965443,12965443,12965443,12965443,12965443,12965443,12965443,12965443,12965443,12963451,12997468,12997468,12997468,12997468,12997468,12997468,12997468,12997468,12997468,12985876,12985876,12985876,12985876,12985876,12985876,12980407,12980407,12980407,12980407,13049134,13045770,13045770,13045770,13045770,13044050,13044050,13044050,13044050,13044050,13044050,13044050,13044050,13044050,13045209,13045209,12989760,12990388,12990388
1991-04,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,13823067,6936243,13566113,13566113,13566113,13566113,13566113,13566113,13566113,13566113,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13538742,13507584,13507584,13507584,13507584,13507584,13507584,13507584,13507584,13507584,13507584,13507584,13468491,13509153,13509153,13509153,13509153,13509153,13509153,13509153,13509153,13509153,13452101,13452101,13452101,13452101,13452101,13452101,13489662,13489662,13489662,13489662,13486852,13488455,13488455,13488455,13488455,13488312,13488312,13488312,13488312,13488312,13488312,13488312,13488312,13488312,13491873,13491873,13488182,13488730,13488730
1991-05,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,13835401,7078836,13844998,13844998,13844998,13844998,13844998,13844998,13844998,13844998,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13843433,13833422,13833422,13833422,13833422,13833422,13833422,13833422,13833422,13833422,13833422,13833422,13803780,13849038,13849038,13849038,13849038,13849038,13849038,13849038,13849038,13849038,13811658,13811658,13811658,13811658,13811658,13811658,13808807,13808807,13808807,13808807,13848535,13850032,13850032,13850032,13850032,13849363,13849363,13849363,13849363,13849363,13849363,13849363,13849363,13849363,13850574,13850574,13812164,13812791,13812791
1991-06,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,13830985,7135836,13956483,13956483,13956483,13956483,13956483,13956483,13956483,13956483,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13957085,13937060,13937060,13937060,13937060,13937060,13937060,13937060,13937060,13937060,13937060,13937060,13909996,13958564,13958564,13958564,13958564,13958564,13958564,13958564,13958564,13958564,13941833,13941833,13941833,13941833,13941833,13941833,13936538,13936538,13936538,13936538,13972696,13965010,13965010,13965010,13965010,13962162,13962162,13962162,13962162,13962162,13962162,13962162,13962162,13962162,13961687,13961687,13938728,13939979,13939979
