"",2005-05-19,2005-08-18,2005-11-17,2006-02-16,2006-05-18,2006-08-17,2006-11-16,2007-02-20,2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,112.55,112.55,112.55,112.55,112.55,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.51,112.53,112.53,112.53,112.53,112.53,112.53,112.53,112.53
1991-04,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42,104.42
1991-07,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.47,111.45,111.45,111.45,111.45,111.45,111.45,111.45,111.45
1991-10,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51,109.51
1992-01,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.40,113.41,113.41,113.41,113.41,113.41,113.41,113.41,113.41
1992-04,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.73,103.74,103.74,103.74,103.74,103.74,103.74,103.74,103.74
1992-07,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.02,111.01,111.01,111.01,111.01,111.01,111.01,111.01,111.01
