"",2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,,,,,,,,2005,2005,2005,2005,2005,2010,2010
Record meth,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,116.92,116.92,116.92,116.92,116.92,116.92,116.92,116.92,116.92,116.92,116.92,116.92,117.63,117.63
1991-04,109.20,109.20,109.20,109.20,109.20,109.20,109.20,109.20,109.20,109.20,109.20,109.20,109.48,109.48
1991-07,116.66,116.66,116.66,116.66,116.66,116.66,116.66,116.66,116.66,116.66,116.66,116.66,117.47,117.47
1991-10,114.30,114.30,114.30,114.30,114.30,114.30,114.30,114.30,114.30,114.30,114.30,114.30,114.84,114.84
1992-01,118.85,118.85,118.85,118.85,118.85,118.85,118.85,118.85,118.85,118.85,118.85,118.85,119.19,119.19
1992-04,109.05,109.05,109.05,109.05,109.05,109.05,109.05,109.05,109.05,109.05,109.05,109.05,109.65,109.65
1992-07,116.89,116.89,116.89,116.89,116.89,116.89,116.89,116.89,116.89,116.89,116.89,116.89,117.70,117.70
1992-10,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,115.83,116.30,116.30
1993-01,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.64,116.89,116.89
1993-04,108.23,108.23,108.23,108.23,108.23,108.23,108.23,108.23,108.23,108.23,108.23,108.23,108.54,108.54
1993-07,115.39,115.39,115.39,115.39,115.39,115.39,115.39,115.39,115.39,115.39,115.39,115.39,115.93,115.93
1993-10,114.39,114.39,114.39,114.39,114.39,114.39,114.39,114.39,114.39,114.39,114.39,114.39,114.84,114.84
1994-01,115.91,115.91,115.91,115.91,115.91,115.91,115.91,115.91,115.91,115.91,115.91,115.91,115.57,115.57
1994-04,106.31,106.31,106.31,106.31,106.31,106.31,106.31,106.31,106.31,106.31,106.31,106.31,105.98,105.98
1994-07,114.37,114.37,114.37,114.37,114.37,114.37,114.37,114.37,114.37,114.37,114.37,114.37,114.70,114.70
1994-10,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.47,112.78,112.78
1995-01,114.46,114.46,114.46,114.46,114.46,114.46,114.46,114.46,114.46,114.46,114.46,114.46,115.02,115.02
1995-04,104.35,104.35,104.35,104.35,104.35,104.35,104.35,104.35,104.35,104.35,104.35,104.35,104.86,104.86
1995-07,112.53,112.53,112.53,112.53,112.53,112.53,112.53,112.53,112.53,112.53,112.53,112.53,113.58,113.58
1995-10,111.78,111.78,111.78,111.78,111.78,111.78,111.78,111.78,111.78,111.78,111.78,111.78,112.67,112.67
1996-01,112.91,112.91,112.91,112.91,112.91,112.91,112.91,112.91,112.91,112.91,112.91,112.91,113.96,113.96
1996-04,102.96,102.96,102.96,102.96,102.96,102.96,102.96,102.96,102.96,102.96,102.96,102.96,103.79,103.79
