"",2005-05-19,2005-08-18,2005-11-17,2006-02-16,2006-05-18,2006-08-17,2006-11-16,2007-02-20,2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663,3.663
1991-04,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719,3.719
1991-07,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.753,3.752,3.752,3.752,3.752
1991-10,3.811,3.810,3.810,3.810,3.810,3.811,3.811,3.811,3.811,3.811,3.811,3.811,3.811,3.810,3.810,3.810,3.810,3.811,3.811,3.811,3.811,3.811,3.811,3.811,3.811
1992-01,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872,3.872
1992-04,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921,3.921
1992-07,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957,3.957
1992-10,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990,3.990
1993-01,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028,4.028
1993-04,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.056,4.057,4.057,4.057,4.057
1993-07,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106,4.106
1993-10,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154,4.154
1994-01,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211,4.211
1994-04,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255,4.255
1994-07,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301,4.301
1994-10,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347,4.347
1995-01,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385,4.385
1995-04,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434,4.434
1995-07,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460,4.460
1995-10,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498,4.498
1996-01,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552,4.552
1996-04,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590,4.590
1996-07,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623,4.623
1996-10,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669,4.669
1997-01,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715,4.715
1997-04,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755,4.755
1997-07,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817,4.817
1997-10,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.875,4.874,4.874,4.874,4.874,4.874,4.874,4.874,4.874,4.874,4.874,4.874,4.874
1998-01,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943,4.943
1998-04,5.031,5.031,5.031,5.031,5.031,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032,5.032
1998-07,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118,5.118
1998-10,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205,5.205
1999-01,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272,5.272
1999-04,5.368,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369,5.369
1999-07,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498,5.498
1999-10,5.568,5.568,5.568,5.568,5.568,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567,5.567
2000-01,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672,5.672
2000-04,5.774,5.775,5.775,5.775,5.775,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776,5.776
2000-07,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852,5.852
2000-10,5.906,5.905,5.905,5.905,5.905,5.904,5.904,5.904,5.904,5.904,5.904,5.904,5.904,5.904,5.904,5.904,5.904,5.903,5.903,5.903,5.903,5.903,5.903,5.903,5.903
2001-01,5.932,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933,5.933
2001-04,5.976,5.978,5.978,5.978,5.978,5.979,5.979,5.979,5.979,5.979,5.979,5.979,5.979,5.979,5.979,5.979,5.979,5.980,5.980,5.980,5.980,5.980,5.980,5.980,5.980
2001-07,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004
2001-10,6.029,6.027,6.027,6.027,6.027,6.026,6.026,6.026,6.026,6.026,6.026,6.026,6.026,6.026,6.026,6.026,6.026,6.025,6.025,6.025,6.025,6.025,6.025,6.025,6.025
2002-01,6.046,6.047,6.047,6.047,6.047,6.046,6.046,6.046,6.046,6.047,6.047,6.047,6.047,6.047,6.047,6.047,6.047,6.047,6.047,6.047,6.047,6.047,6.047,6.047,6.047
2002-04,6.055,6.058,6.058,6.058,6.058,6.061,6.061,6.061,6.061,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.061,6.061,6.061,6.061,6.061,6.061,6.061,6.061
2002-07,6.061,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060,6.060
2002-10,6.070,6.065,6.065,6.065,6.065,6.064,6.064,6.064,6.064,6.064,6.064,6.064,6.064,6.063,6.063,6.063,6.063,6.061,6.061,6.061,6.061,6.061,6.061,6.061,6.061
2003-01,6.088,6.090,6.090,6.090,6.090,6.090,6.090,6.090,6.090,6.091,6.091,6.091,6.091,6.091,6.091,6.091,6.091,6.092,6.092,6.092,6.092,6.092,6.092,6.092,6.092
2003-04,6.097,6.101,6.101,6.101,6.101,6.103,6.103,6.103,6.103,6.102,6.102,6.102,6.102,6.102,6.102,6.102,6.102,6.103,6.103,6.103,6.103,6.104,6.104,6.104,6.104
2003-07,6.144,6.142,6.142,6.142,6.142,6.141,6.141,6.141,6.141,6.140,6.140,6.140,6.140,6.141,6.141,6.141,6.141,6.140,6.140,6.140,6.140,6.141,6.141,6.141,6.141
2003-10,6.181,6.175,6.175,6.175,6.175,6.170,6.170,6.170,6.170,6.171,6.171,6.171,6.171,6.170,6.170,6.170,6.170,6.167,6.167,6.167,6.167,6.167,6.167,6.167,6.167
2004-01,6.235,6.239,6.239,6.239,6.239,6.234,6.234,6.234,6.234,6.236,6.236,6.236,6.236,6.235,6.235,6.235,6.235,6.238,6.238,6.238,6.238,6.238,6.238,6.238,6.238
2004-04,6.289,6.293,6.293,6.293,6.293,6.286,6.286,6.286,6.286,6.286,6.286,6.286,6.286,6.285,6.285,6.285,6.285,6.287,6.287,6.287,6.287,6.287,6.287,6.287,6.287
2004-07,6.329,6.334,6.334,6.334,6.334,6.321,6.321,6.321,6.321,6.319,6.319,6.319,6.319,6.321,6.321,6.321,6.321,6.319,6.319,6.319,6.319,6.320,6.320,6.320,6.320
2004-10,6.372,6.369,6.369,6.369,6.369,6.347,6.347,6.347,6.347,6.349,6.349,6.349,6.349,6.348,6.348,6.348,6.348,6.344,6.344,6.344,6.344,6.344,6.344,6.344,6.344
2005-01,6.409,6.383,6.380,6.379,6.379,6.358,6.358,6.358,6.358,6.363,6.363,6.363,6.363,6.340,6.340,6.340,6.340,6.337,6.337,6.337,6.337,6.337,6.337,6.337,6.337
2005-04,,6.410,6.397,6.395,6.395,6.371,6.371,6.371,6.371,6.370,6.370,6.370,6.370,6.333,6.333,6.333,6.333,6.331,6.331,6.331,6.331,6.332,6.332,6.332,6.331
2005-07,,,6.434,6.423,6.423,6.409,6.409,6.409,6.409,6.406,6.406,6.406,6.406,6.370,6.370,6.370,6.370,6.362,6.362,6.362,6.362,6.362,6.362,6.362,6.362
2005-10,,,,6.443,6.443,6.456,6.456,6.456,6.456,6.462,6.462,6.462,6.462,6.427,6.427,6.427,6.427,6.416,6.416,6.416,6.416,6.416,6.416,6.416,6.416
2006-01,,,,,6.488,6.492,6.490,6.490,6.490,6.496,6.496,6.496,6.496,6.474,6.474,6.474,6.474,6.462,6.462,6.462,6.462,6.461,6.461,6.461,6.461
2006-04,,,,,,6.546,6.571,6.581,6.581,6.581,6.581,6.581,6.581,6.565,6.565,6.565,6.565,6.555,6.555,6.555,6.555,6.557,6.557,6.557,6.555
2006-07,,,,,,,6.633,6.668,6.663,6.660,6.660,6.660,6.660,6.649,6.649,6.649,6.649,6.634,6.634,6.634,6.634,6.635,6.635,6.635,6.635
2006-10,,,,,,,,6.716,6.700,6.721,6.721,6.721,6.721,6.696,6.696,6.696,6.696,6.687,6.687,6.687,6.687,6.687,6.687,6.687,6.688
2007-01,,,,,,,,,6.756,6.791,6.783,6.783,6.783,6.747,6.747,6.747,6.747,6.750,6.750,6.750,6.750,6.747,6.747,6.747,6.748
