"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-04,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,2005-05-12,2005-08-11,2005-11-15,2006-02-14,2006-05-11,2006-08-14,2006-11-14,2007-02-13,2007-05-15,2007-08-14,2007-11-14,2008-02-14,2008-05-15,2008-08-14,2008-11-13,2009-02-13,2009-05-15,2009-08-13,2009-11-13,2010-02-12,2010-05-12,2010-08-13,2010-11-12,2011-02-15,2011-05-13,2011-08-16,2011-11-15,2012-02-15,2012-05-15,2012-08-14,2012-11-15,2013-02-14,2013-05-15,2013-08-14,2013-11-14,2014-02-14,2014-05-15,2014-08-14,2014-11-14,2015-02-13
unit,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,691.7,691.7,691.7,691.8,691.4,691.3,694.2,694.2,694.3,694.4,694.4,694.4,694.5,694.6,694.6,374.14,374.10,374.10,374.10,374.10,373.61,373.61,373.61,373.61,373.88,373.88,373.88,373.88,373.66,373.66,373.66,373.66,373.61,373.59,373.59,373.59,373.84,373.88,373.88,373.84,374.74,374.74,374.74,374.74,374.69,374.69,374.69,374.69,374.54,374.54,374.54,374.54,387.014,387.014,387.014
1991-04,713.7,713.7,713.7,714.0,713.7,714.3,712.6,712.6,712.9,712.9,712.8,712.8,712.8,712.7,712.7,382.88,382.89,382.89,382.89,382.89,382.93,382.93,382.93,382.93,383.16,383.16,383.16,383.16,383.02,383.02,383.02,383.02,383.16,383.27,383.27,383.27,383.16,383.26,383.26,383.16,383.23,383.23,383.23,383.23,383.31,383.31,383.31,383.31,383.25,383.25,383.25,383.25,394.052,394.052,394.052
1991-07,717.9,717.9,717.9,717.1,717.3,717.0,717.0,717.0,717.2,717.0,717.1,717.2,717.2,716.9,716.9,384.43,384.44,384.44,384.44,384.44,384.52,384.52,384.52,384.52,384.04,384.04,384.04,384.04,384.45,384.45,384.45,384.45,384.40,384.38,384.38,384.38,384.31,384.14,384.14,384.31,384.59,384.59,384.59,384.59,384.76,384.76,384.76,384.76,384.88,384.88,384.88,384.88,395.311,395.311,395.311
1991-10,735.8,735.8,735.8,736.1,736.7,736.5,736.7,736.7,736.6,736.7,736.8,736.7,736.6,736.8,736.9,397.54,397.55,397.55,397.55,397.55,397.40,397.40,397.40,397.40,397.42,397.42,397.42,397.42,397.51,397.51,397.51,397.51,397.42,397.35,397.35,397.35,397.33,397.38,397.38,397.33,396.80,396.80,396.80,396.80,396.69,396.69,396.69,396.69,396.68,396.68,396.68,396.68,408.274,408.274,408.274
1992-01,755.0,755.0,755.0,755.2,754.6,754.6,756.2,756.2,757.5,757.6,757.5,757.5,757.5,757.7,757.7,405.41,405.39,405.39,405.39,405.39,405.46,405.46,405.46,405.46,405.69,405.69,405.69,405.67,405.40,405.40,405.40,405.40,405.53,405.53,405.53,405.53,405.85,405.92,405.92,405.85,407.63,407.63,407.63,407.63,407.49,407.49,407.49,407.49,407.27,407.27,407.27,407.27,418.354,418.354,418.354
1992-04,764.3,764.3,764.3,764.8,764.1,764.5,763.9,763.9,764.4,764.5,764.4,764.3,764.3,764.2,764.2,408.98,409.00,409.00,409.00,409.00,409.07,409.07,409.07,409.07,409.33,409.33,409.33,409.31,409.09,409.09,409.09,409.09,409.27,409.35,409.35,409.35,409.16,409.24,409.24,409.16,409.77,409.77,409.77,409.77,409.91,409.91,409.91,409.91,409.84,409.84,409.84,409.84,421.191,421.191,421.191
1992-07,774.0,774.0,774.0,772.8,773.3,773.0,772.9,772.9,774.0,773.8,773.8,773.8,773.9,773.7,773.7,413.15,413.12,413.12,413.12,413.12,413.10,413.10,413.10,413.10,412.64,412.64,412.64,412.63,413.00,413.00,413.00,413.00,413.00,412.96,412.96,412.96,412.95,412.73,412.73,412.95,412.75,412.75,412.75,412.75,412.89,412.89,412.89,412.89,413.06,413.06,413.06,413.06,425.117,425.117,425.117
1992-10,777.0,777.0,777.0,777.5,778.2,778.2,778.3,778.3,777.9,778.0,778.1,778.2,778.0,778.2,778.3,417.25,417.27,417.27,417.27,417.27,417.25,417.25,417.25,417.25,417.06,417.06,417.06,417.10,417.14,417.14,417.14,417.14,417.24,417.20,417.20,417.20,417.18,417.25,417.25,417.18,416.70,416.70,416.70,416.70,416.65,416.65,416.65,416.65,416.72,416.72,416.72,416.72,429.014,429.014,429.014
1993-01,772.3,772.3,772.3,772.8,773.5,773.5,774.3,774.3,776.2,776.4,776.4,776.2,776.1,776.2,776.2,415.93,415.90,415.90,415.90,415.90,415.88,415.88,415.88,415.88,416.06,416.06,416.06,416.08,415.82,415.82,415.82,415.82,415.74,415.74,415.74,415.74,415.98,416.03,416.03,415.97,416.95,416.95,416.95,416.95,416.69,416.69,416.69,416.69,416.60,416.60,416.60,416.60,429.915,429.915,429.915
1993-04,784.3,784.3,784.3,784.8,784.6,784.8,785.1,785.1,786.5,786.4,786.3,786.2,786.3,786.1,786.1,420.38,420.39,420.39,420.39,420.39,420.48,420.48,420.48,420.48,420.76,420.76,420.76,420.73,420.68,420.68,420.68,420.68,420.83,420.92,420.92,420.92,420.73,420.78,420.78,420.72,422.56,422.56,422.56,422.56,422.69,422.69,422.69,422.69,422.60,422.60,422.60,422.60,435.083,435.083,435.083
1993-07,794.3,794.3,794.3,792.8,794.2,793.9,793.7,793.7,794.4,794.2,794.2,794.2,794.5,794.4,794.1,426.39,426.40,426.40,426.40,426.40,426.49,426.49,426.49,426.49,425.95,425.95,425.95,425.96,426.10,426.10,426.10,426.10,426.12,426.12,426.12,426.12,426.06,425.91,425.91,426.09,428.09,428.09,428.09,428.09,428.21,428.21,428.21,428.21,428.37,428.37,428.37,428.37,439.653,439.653,439.653
1993-10,797.2,797.2,797.2,797.7,799.1,799.1,801.0,801.0,802.4,802.5,802.7,802.8,802.7,802.8,803.1,429.55,429.56,429.56,429.56,429.56,429.74,429.74,429.74,429.74,429.62,429.62,429.62,429.63,429.73,429.73,429.73,429.73,429.89,429.80,429.80,429.80,429.87,429.92,429.92,429.86,427.43,427.43,427.43,427.43,427.47,427.47,427.47,427.47,427.48,427.48,427.48,427.48,441.841,441.841,441.841
1994-01,813.5,813.5,813.5,814.5,814.9,815.0,815.4,815.4,816.9,817.2,817.2,816.9,816.6,816.7,816.8,438.07,438.07,438.07,438.07,438.07,438.41,438.41,438.41,438.41,438.58,438.58,438.58,438.58,438.20,438.20,438.20,438.20,438.16,438.15,438.15,438.15,438.25,438.31,438.31,438.24,439.16,439.16,439.16,439.16,438.89,438.89,438.89,438.89,438.80,438.80,438.80,438.80,450.760,450.760,450.760
1994-04,824.8,824.8,824.8,825.2,824.2,824.2,824.2,824.2,825.7,825.5,825.4,825.3,825.4,825.2,825.1,441.63,441.63,441.63,441.63,441.63,441.67,441.67,441.67,441.67,441.73,441.73,441.73,441.69,441.51,441.51,441.51,441.51,441.66,441.74,441.74,441.74,441.54,441.60,441.60,441.58,441.89,441.89,441.89,441.89,442.02,442.02,442.02,442.02,441.93,441.93,441.93,441.93,453.294,453.294,453.294
1994-07,834.2,834.2,834.2,832.3,832.3,832.0,832.3,832.3,834.4,834.2,834.1,834.2,834.5,834.5,834.1,446.77,446.77,446.77,446.77,446.77,446.81,446.81,446.81,446.81,446.35,446.35,446.35,446.40,446.42,446.42,446.42,446.42,446.44,446.43,446.43,446.43,446.46,446.33,446.33,446.45,446.48,446.48,446.48,446.48,446.56,446.56,446.56,446.56,446.68,446.68,446.68,446.68,458.685,458.685,458.685
1994-10,844.3,844.3,844.3,845.0,845.6,845.7,845.9,845.9,848.3,848.5,848.7,849.0,848.9,849.0,849.4,453.12,453.12,453.12,453.12,453.12,453.26,453.26,453.26,453.26,453.32,453.32,453.32,453.32,453.34,453.34,453.34,453.34,453.36,453.30,453.30,453.30,453.43,453.44,453.44,453.41,453.82,453.82,453.82,453.82,454.01,454.01,454.01,454.01,453.97,453.97,453.97,453.97,466.543,466.543,466.543
1995-01,851.7,851.7,851.3,852.6,853.0,853.1,852.5,852.5,852.5,852.7,852.8,852.3,847.8,847.9,848.0,454.80,454.80,454.80,454.80,454.80,455.34,455.34,455.34,455.34,455.52,455.52,455.52,455.53,455.08,455.08,455.08,455.08,455.03,454.99,454.99,454.99,455.04,455.05,455.05,455.04,455.00,455.00,455.00,455.00,454.80,454.80,454.80,454.80,454.74,454.74,454.74,454.74,466.662,466.662,466.662
1995-04,865.9,865.9,865.7,865.9,864.8,865.1,865.3,865.3,866.3,866.1,865.9,865.9,861.8,861.6,861.4,462.76,462.76,462.76,462.76,462.76,462.83,462.83,462.83,462.83,462.67,462.67,462.67,462.63,462.34,462.34,462.34,462.34,462.44,462.55,462.55,462.55,462.42,462.48,462.48,462.42,462.91,462.91,462.91,462.91,463.07,463.07,463.07,463.07,462.95,462.95,462.95,462.95,475.070,475.070,475.070
1995-07,,870.1,872.9,870.7,869.5,869.0,869.4,869.4,869.4,869.3,869.0,869.1,865.4,865.5,864.8,465.74,465.74,465.74,465.74,465.74,465.76,465.76,465.76,465.76,465.54,465.54,465.54,465.55,465.40,465.40,465.40,465.40,465.41,465.38,465.38,465.38,465.39,465.30,465.30,465.39,465.40,465.40,465.40,465.40,465.51,465.51,465.51,465.51,465.65,465.65,465.65,465.65,478.315,478.315,478.315
1995-10,,,871.7,872.3,871.9,872.1,869.4,869.4,870.5,870.6,871.1,871.4,866.9,867.0,867.7,465.05,465.05,465.05,465.05,465.05,465.27,465.27,465.27,465.27,465.54,465.54,465.54,465.55,465.92,465.92,465.92,465.92,465.87,465.84,465.84,465.84,465.95,465.96,465.96,465.95,465.86,465.86,465.86,465.86,466.02,466.02,466.02,466.02,466.00,466.00,466.00,466.00,478.708,478.708,478.708
