"",2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,14.10,14.10,14.10,14.10,14.10,14.10,14.10,14.10,14.12,14.12,14.12,14.12,13.774,13.774,13.774
1991-04,14.66,14.66,14.66,14.66,14.67,14.67,14.67,14.67,14.66,14.66,14.66,14.66,14.283,14.283,14.283
1991-07,14.73,14.73,14.73,14.73,14.73,14.73,14.73,14.73,14.72,14.72,14.72,14.72,14.350,14.350,14.350
1991-10,14.89,14.89,14.89,14.89,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.529,14.529,14.529
1992-01,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.06,16.09,16.09,16.09,16.09,15.749,15.749,15.749
1992-04,15.90,15.90,15.90,15.90,15.91,15.91,15.91,15.91,15.89,15.89,15.89,15.89,15.617,15.617,15.617
1992-07,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.38,16.38,16.38,16.38,16.153,16.153,16.153
1992-10,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.33,16.152,16.152,16.152
1993-01,16.18,16.18,16.18,16.18,16.17,16.17,16.17,16.17,16.20,16.20,16.20,16.20,15.892,15.892,15.892
1993-04,16.47,16.47,16.47,16.47,16.48,16.48,16.48,16.48,16.46,16.46,16.46,16.46,16.182,16.182,16.182
1993-07,16.44,16.44,16.44,16.44,16.44,16.44,16.44,16.44,16.42,16.42,16.42,16.42,16.213,16.213,16.213
1993-10,16.40,16.40,16.40,16.40,16.40,16.40,16.40,16.40,16.39,16.39,16.39,16.39,16.450,16.450,16.450
1994-01,17.04,17.04,17.04,17.04,17.05,17.05,17.05,17.05,17.07,17.07,17.07,17.07,17.006,17.006,17.006
1994-04,16.97,16.97,16.97,16.97,16.99,16.99,16.99,16.99,16.97,16.97,16.97,16.97,16.982,16.982,16.982
1994-07,17.50,17.50,17.50,17.50,17.49,17.49,17.49,17.49,17.47,17.47,17.47,17.47,17.327,17.327,17.327
1994-10,17.71,17.71,17.71,17.71,17.70,17.70,17.70,17.70,17.69,17.69,17.69,17.69,17.555,17.555,17.555
1995-01,17.63,17.63,17.63,17.63,17.63,17.63,17.63,17.63,17.66,17.66,17.66,17.66,17.592,17.592,17.592
1995-04,17.70,17.70,17.70,17.70,17.70,17.70,17.70,17.70,17.69,17.69,17.69,17.69,17.649,17.649,17.649
1995-07,17.83,17.83,17.83,17.83,17.83,17.83,17.83,17.83,17.82,17.82,17.82,17.82,17.882,17.882,17.882
1995-10,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,17.99,18.041,18.041,18.041
1996-01,18.16,18.16,18.16,18.16,18.16,18.16,18.16,18.16,18.17,18.17,18.17,18.17,18.242,18.242,18.242
1996-04,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.26,18.24,18.24,18.24,18.24,18.287,18.287,18.287
1996-07,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.43,18.42,18.42,18.42,18.42,18.472,18.472,18.472
1996-10,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.48,18.521,18.521,18.521
1997-01,18.58,18.58,18.58,18.58,18.59,18.59,18.59,18.59,18.59,18.59,18.59,18.59,18.572,18.572,18.572
1997-04,18.84,18.84,18.84,18.84,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.83,18.833,18.833,18.833
1997-07,18.67,18.67,18.67,18.67,18.68,18.68,18.68,18.68,18.67,18.67,18.67,18.67,18.724,18.724,18.724
1997-10,18.77,18.77,18.77,18.77,18.76,18.76,18.76,18.76,18.77,18.77,18.77,18.77,18.804,18.804,18.804
1998-01,18.77,18.77,18.77,18.77,18.77,18.77,18.77,18.77,18.78,18.78,18.78,18.78,18.682,18.682,18.682
1998-04,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.81,18.810,18.810,18.810
1998-07,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.15,19.14,19.14,19.14,19.14,19.123,19.123,19.123
1998-10,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.385,19.385,19.385
1999-01,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.37,19.259,19.259,19.259
1999-04,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.70,19.649,19.649,19.649
1999-07,19.67,19.67,19.67,19.67,19.67,19.67,19.67,19.67,19.66,19.66,19.66,19.66,19.669,19.669,19.669
1999-10,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.98,19.99,19.99,19.99,19.99,19.992,19.992,19.992
