"",2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,341.77,341.59,341.59,341.59,341.58,341.27,341.27,341.27,341.27,341.28,341.28,341.27,341.24,341.36,341.36,341.38,341.38,341.36,341.36,341.36,341.36,341.15,341.13,341.13,340.99,342.74,342.74,342.74,342.75,342.57,342.57,342.57,342.57,342.59,342.59,343.14,343.14,355.711,355.700,355.695
1991-04,348.73,348.83,348.83,348.83,348.84,348.91,348.91,348.91,348.91,348.98,348.98,348.97,348.98,348.80,348.80,348.84,348.84,348.42,348.42,348.42,348.40,348.29,348.29,348.29,348.61,348.58,348.58,348.58,348.65,348.61,348.61,348.61,348.61,348.63,348.63,348.30,348.30,358.559,358.576,358.577
1991-07,348.37,348.30,348.30,348.30,348.30,348.18,348.18,348.18,348.18,347.90,347.90,347.90,347.93,347.94,347.94,347.96,347.96,348.19,348.19,348.19,348.20,348.35,348.36,348.36,348.28,348.30,348.30,348.30,348.23,348.25,348.26,348.25,348.23,348.15,348.15,348.19,348.19,358.688,358.706,358.704
1991-10,358.22,358.37,358.37,358.37,358.37,358.19,358.19,358.19,358.19,358.44,358.44,358.45,358.45,358.64,358.64,358.54,358.54,358.71,358.71,358.71,358.71,358.95,358.95,358.95,358.88,358.51,358.51,358.51,358.48,358.80,358.81,358.82,358.82,358.77,358.77,358.50,358.50,368.941,368.917,368.924
1992-01,368.19,368.09,368.09,368.09,368.09,368.32,368.32,368.32,368.32,368.31,368.31,368.30,368.26,368.26,368.26,368.30,368.30,368.50,368.50,368.50,368.51,368.29,368.29,368.29,368.18,370.35,370.35,370.35,370.38,370.16,370.16,370.16,370.16,370.16,370.16,370.79,370.79,381.768,381.761,381.755
1992-04,371.66,371.72,371.72,371.72,371.72,371.75,371.75,371.75,371.75,371.81,371.81,371.81,371.83,371.56,371.56,371.60,371.60,371.27,371.27,371.27,371.25,371.18,371.19,371.19,371.44,372.00,372.00,372.00,372.08,371.99,371.99,371.99,372.00,372.04,372.04,371.72,371.72,382.646,382.662,382.661
1992-07,374.76,374.69,374.69,374.69,374.69,374.63,374.63,374.63,374.63,374.37,374.37,374.38,374.41,374.44,374.44,374.50,374.50,374.65,374.65,374.65,374.67,374.83,374.83,374.83,374.74,374.37,374.37,374.37,374.30,374.33,374.33,374.32,374.32,374.24,374.24,374.27,374.27,386.279,386.297,386.299
1992-10,376.66,376.79,376.79,376.79,376.80,376.73,376.73,376.73,376.73,376.66,376.66,376.67,376.67,376.84,376.84,376.73,376.73,377.13,377.13,377.13,377.12,377.35,377.34,377.34,377.29,376.99,376.99,376.99,376.95,377.28,377.28,377.29,377.29,377.23,377.23,376.89,376.89,388.137,388.109,388.114
1993-01,377.48,377.49,377.49,377.49,377.49,377.58,377.58,377.58,377.58,377.56,377.56,377.55,377.53,377.66,377.66,377.67,377.67,377.51,377.51,377.51,377.50,377.34,377.35,377.35,377.23,378.09,378.09,378.09,378.15,378.04,378.04,378.04,378.04,378.04,378.04,378.63,378.63,391.990,391.989,391.982
1993-04,381.05,381.05,381.05,381.05,381.05,381.18,381.18,381.18,381.18,381.20,381.20,381.20,381.21,381.19,381.19,381.21,381.21,380.93,380.93,380.93,380.91,380.86,380.86,380.86,381.04,382.93,382.93,382.93,382.99,382.90,382.89,382.89,382.90,382.91,382.91,382.67,382.67,394.861,394.873,394.875
1993-07,384.50,384.32,384.32,384.32,384.32,384.36,384.36,384.36,384.36,384.25,384.25,384.26,384.28,384.27,384.27,384.31,384.31,384.30,384.30,384.30,384.32,384.44,384.44,384.44,384.38,386.34,386.34,386.34,386.28,386.32,386.31,386.31,386.29,386.19,386.19,386.22,386.22,397.291,397.301,397.303
1993-10,388.03,388.22,388.22,388.22,388.22,388.32,388.32,388.32,388.32,388.20,388.20,388.21,388.20,388.13,388.13,388.04,388.04,388.64,388.64,388.64,388.65,388.81,388.82,388.82,388.80,386.68,386.68,386.68,386.62,386.95,386.96,386.96,386.97,386.90,386.90,386.52,386.52,399.933,399.913,399.915
1994-01,392.89,392.93,392.93,392.93,392.93,393.32,393.32,393.32,393.32,393.27,393.27,393.26,393.25,393.22,393.22,393.24,393.24,393.18,393.18,393.18,393.18,392.99,393.00,393.00,392.92,393.54,393.54,393.54,393.63,393.59,393.60,393.60,393.61,393.57,393.57,394.13,394.13,405.854,405.858,405.852
1994-04,398.02,398.02,398.02,398.02,398.02,398.07,398.07,398.07,398.07,398.04,398.04,398.03,398.03,397.94,397.94,397.99,397.99,397.48,397.48,397.48,397.48,397.44,397.45,397.45,397.59,397.96,397.96,397.96,397.97,397.93,397.94,397.94,397.94,397.93,397.93,397.75,397.75,408.893,408.904,408.907
1994-07,402.02,401.80,401.80,401.80,401.80,401.86,401.86,401.86,401.86,401.83,401.83,401.83,401.85,401.89,401.89,401.90,401.90,401.90,401.90,401.90,401.93,402.04,402.04,402.04,402.00,402.08,402.08,402.08,402.04,402.04,402.04,402.04,402.02,401.90,401.90,401.94,401.94,413.626,413.630,413.634
1994-10,410.15,410.32,410.32,410.32,410.33,410.40,410.40,410.40,410.40,410.24,410.24,410.24,410.24,409.90,409.90,409.82,409.82,410.43,410.43,410.43,410.44,410.62,410.61,410.61,410.62,411.44,411.44,411.44,411.38,411.69,411.69,411.70,411.70,411.68,411.68,411.26,411.26,423.115,423.094,423.092
1995-01,410.50,410.55,410.55,410.55,410.55,411.13,411.13,411.13,411.13,411.05,411.05,411.04,411.03,410.96,410.96,410.96,410.96,410.95,410.95,410.95,410.97,410.79,410.79,410.79,410.72,410.22,410.22,410.22,410.33,410.31,410.31,410.30,410.33,410.27,410.27,410.82,410.82,422.439,422.455,422.449
1995-04,418.16,418.18,418.18,418.18,418.18,418.16,418.16,418.16,418.16,418.20,418.20,418.19,418.19,418.01,418.01,418.07,418.07,417.47,417.47,417.47,417.46,417.45,417.46,417.46,417.58,418.24,418.24,418.24,418.21,418.09,418.09,418.09,418.09,418.12,418.12,417.93,417.93,429.734,429.737,429.738
1995-07,420.59,420.30,420.30,420.30,420.30,420.40,420.40,420.40,420.40,420.47,420.47,420.48,420.50,420.33,420.33,420.33,420.33,420.34,420.34,420.34,420.33,420.47,420.47,420.47,420.42,420.59,420.59,420.59,420.54,420.53,420.53,420.53,420.50,420.47,420.47,420.50,420.50,432.860,432.859,432.864
1995-10,422.39,422.63,422.63,422.63,422.63,422.72,422.72,422.72,422.72,422.81,422.81,422.81,422.80,422.71,422.71,422.64,422.64,423.21,423.21,423.21,423.19,423.38,423.38,423.38,423.37,423.63,423.63,423.63,423.60,423.94,423.94,423.94,423.94,423.84,423.84,423.43,423.43,435.640,435.622,435.621
1996-01,417.15,417.17,417.17,417.17,417.17,417.25,417.25,417.25,417.25,417.11,417.11,417.11,417.10,417.27,417.27,417.24,417.24,417.51,417.51,417.51,417.52,417.38,417.38,417.38,417.33,416.90,416.90,416.90,416.98,416.88,416.88,416.88,416.90,416.82,416.82,417.28,417.28,428.539,428.565,428.558
1996-04,424.67,424.70,424.70,424.70,424.70,424.77,424.77,424.77,424.77,424.76,424.76,424.76,424.76,424.54,424.54,424.62,424.62,424.15,424.15,424.15,424.15,424.14,424.14,424.14,424.20,424.39,424.39,424.39,424.33,424.22,424.22,424.24,424.24,424.23,424.23,424.12,424.12,435.948,435.946,435.945
1996-07,426.05,425.78,425.78,425.78,425.78,425.91,425.91,425.91,425.91,426.06,426.06,426.06,426.08,425.98,425.98,425.97,425.97,426.06,426.06,426.06,426.09,426.24,426.24,426.24,426.19,425.95,425.95,425.95,425.91,425.95,425.95,425.95,425.92,425.90,425.90,425.91,425.91,437.960,437.948,437.960
1996-10,430.80,431.00,431.00,431.00,431.00,430.79,430.79,430.79,430.79,430.88,430.88,430.88,430.87,430.93,430.93,430.89,430.89,431.23,431.23,431.23,431.23,431.37,431.37,431.37,431.41,431.03,431.03,431.03,431.05,431.25,431.25,431.24,431.25,431.26,431.26,430.90,430.90,443.711,443.699,443.694
1997-01,429.00,429.02,429.02,429.02,429.02,428.30,428.30,428.30,428.30,428.17,428.17,428.17,428.15,428.49,428.49,428.47,428.47,428.37,428.37,428.37,428.40,428.29,428.29,428.29,428.24,426.95,426.95,426.95,426.98,426.94,426.94,426.94,426.95,426.95,426.95,427.26,427.26,439.346,439.383,439.376
1997-04,432.25,432.35,432.35,432.35,432.36,432.53,432.53,432.53,432.53,432.52,432.52,432.52,432.53,432.57,432.57,432.63,432.63,432.53,432.53,432.53,432.53,432.53,432.54,432.54,432.57,432.45,432.45,432.45,432.39,432.28,432.28,432.29,432.29,432.22,432.22,432.17,432.17,444.788,444.780,444.780
1997-07,435.07,434.78,434.78,434.78,434.77,434.93,434.93,434.93,434.93,435.10,435.10,435.11,435.13,435.04,435.04,435.04,435.04,435.07,435.07,435.07,435.06,435.22,435.23,435.23,435.19,434.52,434.52,434.52,434.48,434.64,434.64,434.64,434.62,434.55,434.55,434.63,434.63,447.064,447.048,447.063
1997-10,441.12,441.26,441.26,441.26,441.27,440.88,440.88,440.88,440.88,440.80,440.80,440.79,440.78,440.65,440.65,440.61,440.61,440.80,440.80,440.80,440.79,440.97,440.96,440.96,441.00,440.45,440.45,440.45,440.53,440.68,440.68,440.67,440.68,440.72,440.72,440.37,440.37,453.735,453.725,453.715
1998-01,443.43,443.48,443.48,443.48,443.48,443.51,443.51,443.51,443.51,443.54,443.54,443.54,443.52,443.90,443.90,443.88,443.88,443.74,443.74,443.74,443.78,443.71,443.71,443.71,443.66,441.69,441.69,441.69,441.67,441.56,441.56,441.56,441.58,441.55,441.55,441.72,441.72,454.855,454.896,454.888
1998-04,442.01,442.16,442.16,442.16,442.16,442.20,442.20,442.20,442.20,442.28,442.28,442.28,442.28,442.01,442.01,442.06,442.06,442.21,442.21,442.21,442.19,442.19,442.20,442.20,442.18,441.12,441.12,441.12,441.06,440.95,440.95,440.96,440.95,440.96,440.96,440.99,440.99,454.307,454.292,454.295
1998-07,444.56,444.26,444.26,444.26,444.25,444.44,444.44,444.44,444.44,444.59,444.59,444.59,444.60,444.55,444.55,444.53,444.53,444.57,444.57,444.57,444.57,444.62,444.62,444.62,444.63,443.20,443.20,443.20,443.16,443.34,443.34,443.34,443.31,443.28,443.28,443.36,443.36,456.795,456.776,456.794
1998-10,445.87,445.95,445.95,445.95,445.95,445.92,445.92,445.92,445.92,445.58,445.58,445.57,445.57,445.41,445.41,445.38,445.38,445.41,445.41,445.41,445.40,445.53,445.52,445.52,445.57,444.84,444.84,444.84,444.96,445.14,445.14,445.14,445.14,445.17,445.17,444.89,444.89,458.922,458.916,458.906
1999-01,447.10,447.24,447.24,447.24,447.24,447.43,447.43,447.43,447.43,447.56,447.56,447.57,447.56,447.83,447.83,447.82,447.82,447.69,447.69,447.69,447.73,447.72,447.72,447.72,447.72,444.72,444.72,444.72,444.66,444.43,444.43,444.42,444.43,444.34,444.34,444.49,444.49,459.376,459.423,459.416
1999-04,448.16,448.41,448.41,448.41,448.41,448.41,448.41,448.41,448.41,448.48,448.48,448.49,448.50,448.57,448.57,448.60,448.60,448.93,448.93,448.93,448.93,448.91,448.93,448.93,448.93,446.38,446.38,446.38,446.34,446.27,446.28,446.30,446.29,446.25,446.25,446.25,446.25,460.863,460.842,460.848
1999-07,452.88,452.49,452.49,452.49,452.49,452.74,452.74,452.74,452.74,452.82,452.82,452.82,452.83,452.76,452.76,452.75,452.75,452.73,452.73,452.73,452.75,452.78,452.77,452.77,452.78,449.72,449.72,449.72,449.69,449.94,449.93,449.93,449.93,449.97,449.97,450.04,450.04,465.008,464.977,464.995
1999-10,456.82,456.80,456.80,456.80,456.80,457.03,457.03,457.03,457.03,456.47,456.47,456.45,456.44,456.12,456.12,456.11,456.11,456.05,456.05,456.05,456.01,456.11,456.10,456.10,456.13,453.63,453.63,453.63,453.76,453.90,453.89,453.89,453.89,453.95,453.95,453.73,453.73,469.167,469.173,469.160
2000-01,459.62,459.89,459.89,459.89,459.90,460.47,460.47,460.47,460.47,460.84,460.84,460.85,460.85,461.08,461.08,461.07,461.07,461.35,461.35,461.35,461.38,461.42,461.41,461.41,461.40,457.81,457.81,457.81,457.73,457.36,457.36,457.36,457.38,457.27,457.27,457.36,457.36,473.788,473.826,473.816
2000-04,463.32,463.71,463.71,463.71,463.72,463.76,463.76,463.76,463.76,463.86,463.86,463.87,463.87,463.63,463.63,463.62,463.62,463.80,463.80,463.80,463.82,463.73,463.76,463.76,463.72,460.21,460.21,460.21,460.20,460.18,460.18,460.18,460.16,460.13,460.13,460.10,460.10,475.964,475.952,475.962
2000-07,466.33,465.71,465.71,465.71,465.70,465.91,465.91,465.91,465.91,465.91,465.91,465.91,465.91,465.68,465.68,465.67,465.67,465.45,465.45,465.45,465.45,465.54,465.53,465.53,465.54,461.36,461.36,461.36,461.36,461.60,461.60,461.59,461.59,461.57,461.57,461.69,461.69,477.943,477.905,477.921
2000-10,466.39,466.36,466.36,466.36,466.34,466.28,466.28,466.28,466.28,465.96,465.96,465.93,465.93,465.77,465.77,465.78,465.78,465.84,465.84,465.84,465.79,465.92,465.91,465.91,465.96,462.53,462.53,462.53,462.63,462.81,462.81,462.80,462.82,462.91,462.91,462.75,462.75,478.831,478.842,478.827
2001-01,474.29,473.11,473.11,473.11,473.13,473.53,473.53,473.53,473.53,473.90,473.90,473.92,473.92,474.05,474.05,474.04,474.04,474.15,474.15,474.15,474.19,474.19,474.19,474.19,474.17,471.58,471.58,471.58,471.50,471.25,471.25,471.23,471.25,471.12,471.12,471.12,471.12,489.636,489.667,489.663
2001-04,475.41,474.70,474.70,474.70,474.72,474.66,474.66,474.66,474.66,474.80,474.80,474.82,474.81,474.46,474.46,474.44,474.44,474.48,474.48,474.48,474.51,474.33,474.36,474.36,474.36,471.80,471.80,471.80,471.79,471.74,471.73,471.73,471.73,471.67,471.67,471.57,471.57,489.496,489.493,489.498
2001-07,476.11,476.46,476.46,476.46,476.45,476.53,476.53,476.53,476.53,476.33,476.33,476.33,476.33,476.27,476.27,476.26,476.26,476.01,476.01,476.01,476.00,476.08,476.06,476.06,476.05,472.40,472.40,472.40,472.40,472.64,472.64,472.64,472.64,472.58,472.58,472.73,472.73,492.261,492.218,492.233
2001-10,481.63,482.83,482.83,482.83,482.79,482.68,482.68,482.68,482.68,482.57,482.57,482.53,482.53,482.71,482.71,482.75,482.75,482.85,482.85,482.85,482.79,483.01,483.00,483.00,483.03,480.60,480.60,480.60,480.68,480.90,480.90,480.91,480.89,481.00,481.00,480.94,480.94,498.535,498.550,498.534
2002-01,484.18,481.86,481.86,481.86,481.90,481.91,481.91,481.91,481.91,482.25,482.25,482.28,482.27,482.17,482.17,482.16,482.16,482.33,482.33,482.33,482.37,482.38,482.38,482.38,482.29,479.29,479.29,479.29,479.23,479.00,478.99,478.99,479.01,478.83,478.83,478.72,478.72,497.389,497.413,497.411
2002-04,483.60,481.62,481.62,481.62,481.66,481.27,481.27,481.27,481.27,481.50,481.50,481.53,481.51,481.22,481.22,481.18,481.18,481.19,481.19,481.19,481.27,481.11,481.14,481.14,481.11,478.61,478.61,478.61,478.63,478.54,478.54,478.54,478.52,478.49,478.49,478.40,478.40,496.266,496.266,496.272
2002-07,485.94,485.71,485.71,485.71,485.69,485.14,485.14,485.14,485.14,484.93,484.93,484.91,484.92,484.99,484.99,484.99,484.99,484.89,484.89,484.89,484.88,484.93,484.91,484.91,484.88,481.78,481.78,481.78,481.79,482.04,482.04,482.04,482.04,481.99,481.99,482.24,482.24,501.193,501.152,501.163
2002-10,488.99,489.28,489.28,489.28,489.22,487.99,487.99,487.99,487.99,487.73,487.73,487.68,487.72,488.09,488.09,488.15,488.15,488.11,488.11,488.11,488.00,488.22,488.22,488.22,488.34,486.24,486.24,486.24,486.28,486.46,486.46,486.46,486.44,486.64,486.64,486.59,486.59,504.008,504.025,504.008
2003-01,486.09,484.37,484.37,484.37,484.42,484.57,484.57,484.57,484.57,485.37,485.37,485.42,485.39,485.11,485.11,485.11,485.11,485.43,485.43,485.43,485.47,485.45,485.46,485.46,485.36,481.16,481.16,481.16,481.13,480.94,480.95,480.95,480.98,480.79,480.79,480.67,480.67,497.985,498.001,498.002
2003-04,485.91,485.36,485.36,485.36,485.41,483.90,483.90,483.90,483.90,484.68,484.68,484.72,484.69,484.09,484.09,484.00,484.00,484.19,484.19,484.19,484.27,484.07,484.10,484.10,484.03,480.36,480.36,480.36,480.36,480.33,480.34,480.34,480.31,480.24,480.24,480.15,480.15,496.869,496.875,496.879
2003-07,490.50,490.13,490.13,490.13,490.11,489.58,489.58,489.58,489.58,489.95,489.95,489.92,489.93,490.16,490.16,490.16,490.16,490.35,490.35,490.35,490.31,490.31,490.28,490.28,490.26,485.97,485.97,485.97,485.97,486.21,486.18,486.17,486.16,486.18,486.18,486.43,486.43,504.475,504.433,504.438
2003-10,491.36,492.33,492.33,492.33,492.27,492.01,492.01,492.01,492.01,492.35,492.35,492.29,492.35,492.77,492.77,492.85,492.85,492.33,492.33,492.33,492.23,492.60,492.59,492.59,492.78,489.07,489.07,489.07,489.10,489.24,489.25,489.26,489.24,489.45,489.45,489.40,489.40,505.962,505.980,505.969
2004-01,493.96,495.27,495.27,495.27,495.34,493.90,493.90,493.90,493.90,495.03,495.03,495.11,495.04,494.45,494.45,494.44,494.44,495.17,495.17,495.17,495.26,495.22,495.22,495.22,495.12,491.38,491.38,491.38,491.35,491.10,491.11,491.11,491.15,490.87,490.87,490.75,490.75,507.943,507.953,507.968
2004-04,499.66,501.57,501.57,501.57,501.62,498.24,498.24,498.24,498.24,499.41,499.41,499.45,499.40,499.24,499.24,499.14,499.14,499.58,499.58,499.58,499.69,499.48,499.50,499.50,499.40,496.23,496.23,496.23,496.23,496.12,496.14,496.14,496.11,496.04,496.04,495.98,495.98,513.666,513.664,513.666
2004-07,496.44,499.06,499.06,499.06,499.03,496.83,496.83,496.83,496.83,497.81,497.81,497.78,497.81,497.85,497.85,497.87,497.87,497.96,497.96,497.96,497.92,497.89,497.83,497.83,497.78,494.08,494.08,494.08,494.06,494.23,494.15,494.15,494.16,494.19,494.19,494.49,494.49,512.801,512.776,512.768
2004-10,496.51,498.95,498.95,498.95,498.87,497.74,497.74,497.74,497.74,498.80,498.80,498.72,498.80,498.98,498.98,499.08,499.08,498.20,498.20,498.20,498.05,498.53,498.55,498.55,498.83,495.20,495.20,495.20,495.25,495.38,495.42,495.42,495.41,495.62,495.62,495.52,495.52,513.038,513.053,513.044
2005-01,502.57,505.22,504.67,504.57,504.69,502.41,502.41,502.41,502.41,502.41,502.41,502.49,502.38,501.51,501.51,501.49,501.49,501.71,501.71,501.71,501.84,501.79,501.81,501.81,501.59,497.84,497.84,497.84,497.80,497.68,497.69,497.69,497.73,497.47,497.47,497.46,497.46,514.766,514.776,514.795
2005-04,,506.18,506.32,506.13,506.75,503.57,503.57,503.57,503.57,504.74,504.74,504.78,504.73,504.35,504.35,504.23,504.23,503.98,503.98,503.98,504.12,503.84,503.91,503.91,503.70,499.84,499.84,499.84,499.84,499.68,499.71,499.71,499.68,499.60,499.60,499.53,499.53,517.600,517.598,517.604
2005-07,,,505.84,506.30,506.99,506.09,506.09,506.09,506.09,506.98,506.98,506.92,506.97,506.39,506.39,506.39,506.39,506.74,506.74,506.74,506.68,506.65,506.55,506.55,506.51,502.23,502.23,502.23,502.21,502.28,502.17,502.16,502.17,502.17,502.17,502.37,502.37,521.454,521.436,521.417
2005-10,,,,506.65,507.10,506.93,506.93,506.93,506.93,508.63,508.63,508.55,508.66,508.61,508.61,508.75,508.75,507.62,507.62,507.62,507.43,507.99,508.02,508.02,508.41,503.20,503.20,503.20,503.27,503.65,503.72,503.71,503.71,503.93,503.93,503.80,503.80,521.757,521.766,521.762
2006-01,,,,,511.75,511.45,510.40,510.75,510.88,513.98,513.98,514.09,513.91,512.42,512.42,512.40,512.40,513.57,513.57,513.57,513.75,513.98,513.97,513.97,513.59,511.53,511.53,511.53,511.45,511.25,511.29,511.29,511.29,510.92,510.92,510.97,510.97,528.927,528.928,528.952
2006-04,,,,,,519.61,517.04,518.08,518.25,522.09,522.09,522.13,522.05,521.83,521.83,521.72,521.72,522.30,522.30,522.30,522.51,522.74,522.86,522.86,522.55,520.05,520.05,520.05,520.06,519.88,519.85,519.86,519.83,519.82,519.82,519.70,519.70,538.490,538.488,538.497
