"",1995-09-06,1995-12-07,1996-03-07,1996-06-05,1996-09-05,1996-12-04,1997-03-04,1997-06-05,1997-09-10,1997-12-04,1998-02-27,1998-06-04,1998-09-09,1998-12-03,1999-03-04,1999-05-28,1999-06-08,1999-09-09,1999-12-07,2000-03-28,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-22,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,181.8,181.8,181.8,181.0,182.3,181.6,183.2,183.2,,182.5,182.4,182.4,182.4,182.4,182.4,193.4,98.9,,,,,,,,,,,99.81,99.81,99.78,99.78,99.78,99.78,99.72,,99.72,99.68,99.79,99.79,99.79,99.99,100.00,100.00,100.00,100.00,100.13,100.13,100.13,100.13,100.17,100.17,100.17,100.17,100.02,100.02,100.02,100.02,100.02,100.02,100.02,100.02,100.07,100.07,100.07,100.05,100.07,100.07,100.07,100.07,100.04,100.04,100.04,100.04,100.05,100.05,100.05,100.05,94.206,94.206,94.206
1991-04,176.0,176.0,176.0,176.3,177.2,178.3,177.0,177.0,177.8,177.5,177.5,177.5,177.6,177.5,177.5,190.9,97.6,,,,,,,,,,,96.60,96.60,96.55,96.55,96.55,96.54,96.40,,96.40,96.43,96.16,96.16,96.17,96.70,96.79,96.79,96.79,96.79,96.51,96.51,96.51,96.51,96.53,96.53,96.53,96.53,96.59,96.59,96.59,96.59,96.68,96.68,96.68,96.68,96.64,96.64,96.64,96.62,96.34,96.34,96.34,96.34,96.28,96.28,96.28,96.28,96.32,96.32,96.32,96.32,91.661,91.661,91.661
1991-07,184.7,184.7,184.7,185.5,185.5,185.2,184.8,184.8,184.6,184.9,184.7,184.7,184.9,184.7,184.7,195.9,100.1,,,,,,,,,,,100.53,100.53,100.45,100.45,100.45,100.44,100.42,100.42,100.42,100.37,100.44,100.44,100.43,100.51,100.30,100.30,100.30,100.30,100.43,100.43,100.43,100.43,100.47,100.47,100.47,100.47,100.68,100.68,100.68,100.68,100.62,100.62,100.62,100.62,100.62,100.62,100.62,100.63,100.35,100.35,100.35,100.35,100.31,100.31,100.31,100.31,100.34,100.34,100.34,100.34,95.482,95.482,95.482
1991-10,186.1,186.1,186.1,185.8,186.7,186.6,187.7,187.7,187.4,187.0,187.3,187.3,187.1,187.3,187.3,197.0,100.7,,,,,,,,,,,101.69,101.69,101.45,101.45,101.45,101.45,101.48,101.48,101.48,101.54,101.51,101.51,101.52,101.19,101.29,101.29,101.29,101.29,101.54,101.54,101.54,101.54,101.41,101.41,101.41,101.41,101.26,101.26,101.26,101.26,101.30,101.30,101.30,101.30,101.30,101.30,101.30,101.32,100.81,100.81,100.81,100.81,100.95,100.95,100.95,100.95,100.94,100.94,100.94,100.94,95.906,95.906,95.906
1992-01,185.3,185.3,185.3,184.9,186.4,185.7,187.0,187.0,186.4,186.7,186.5,186.5,186.5,186.5,186.5,198.2,101.4,101.4,101.3,101.4,101.29,101.26,,,,,,101.46,101.46,101.46,101.46,101.46,101.47,101.41,101.41,101.41,101.39,101.45,101.45,101.45,101.69,101.71,101.71,101.71,101.71,101.90,101.90,101.90,101.90,101.95,101.95,101.95,101.95,101.86,101.86,101.86,101.86,101.82,101.82,101.82,101.82,101.87,101.87,101.87,101.85,101.78,101.78,101.78,101.78,101.73,101.73,101.73,101.73,101.71,101.71,101.71,101.71,96.789,96.789,96.789
1992-04,179.9,179.9,179.9,180.1,180.7,181.9,180.5,180.5,181.2,181.0,181.1,181.1,181.1,181.0,181.0,192.1,98.2,98.2,98.2,98.2,97.90,97.90,,,,,,97.67,97.67,97.58,97.58,97.58,97.57,97.49,97.49,97.49,97.50,97.25,97.25,97.26,97.57,97.66,97.66,97.66,97.66,97.43,97.43,97.43,97.43,97.46,97.46,97.46,97.46,97.50,97.50,97.50,97.50,97.60,97.60,97.60,97.60,97.55,97.55,97.55,97.55,97.54,97.54,97.54,97.54,97.51,97.51,97.51,97.51,97.57,97.57,97.57,97.57,93.290,93.290,93.290
