"",2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,2.197,2.197,2.200,2.200,2.200,2.200,2.197,2.197,2.197,2.197,2.197,2.197,2.092,2.092
1991-04,2.225,2.225,2.230,2.230,2.230,2.230,2.225,2.225,2.225,2.225,2.225,2.225,2.128,2.128
1991-07,2.237,2.237,2.240,2.240,2.240,2.240,2.237,2.237,2.237,2.237,2.237,2.237,2.142,2.142
1991-10,2.262,2.262,2.260,2.260,2.260,2.260,2.262,2.262,2.262,2.262,2.262,2.262,2.161,2.161
1992-01,2.271,2.271,2.270,2.270,2.270,2.270,2.271,2.271,2.271,2.271,2.271,2.271,2.185,2.185
1992-04,2.277,2.277,2.280,2.280,2.280,2.280,2.278,2.278,2.277,2.277,2.277,2.277,2.197,2.197
1992-07,2.284,2.284,2.280,2.280,2.280,2.280,2.284,2.284,2.284,2.284,2.284,2.284,2.208,2.208
1992-10,2.295,2.295,2.300,2.300,2.300,2.300,2.295,2.295,2.295,2.295,2.295,2.295,2.220,2.220
1993-01,2.292,2.292,2.290,2.290,2.290,2.290,2.292,2.292,2.292,2.292,2.292,2.292,2.214,2.214
1993-04,2.295,2.295,2.300,2.300,2.300,2.300,2.295,2.295,2.295,2.295,2.295,2.295,2.222,2.222
1993-07,2.309,2.309,2.310,2.310,2.310,2.310,2.309,2.309,2.309,2.309,2.309,2.309,2.241,2.241
1993-10,2.323,2.323,2.320,2.320,2.320,2.320,2.323,2.323,2.323,2.323,2.323,2.323,2.258,2.258
