"",1999-05-28,1999-06-08,1999-09-09,1999-12-07,2000-03-28,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-22,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
1992-07,6.6,3.4,3.4,3.4,3.4,3.39,3.39,,,,,,3.40,3.40,3.38,3.38,3.38,3.38,3.39,3.39,3.39,3.39,3.39,3.39,3.39,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.46,3.47,3.47,3.47,3.47,3.46,3.46,3.46,3.46,3.45,3.45,3.45,3.46,3.46,3.46,3.46,3.46,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,11.907,11.907,11.907
1992-10,6.9,3.5,3.5,3.5,3.5,3.50,3.50,,,,,,3.50,3.50,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.51,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.56,3.56,3.56,3.56,3.55,3.55,3.55,3.54,3.54,3.54,3.54,3.54,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,11.868,11.868,11.868
1993-01,6.8,3.5,3.5,3.5,3.5,3.49,3.49,,,,,,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.49,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.53,11.846,11.846,11.846
1993-04,6.9,3.5,3.5,3.5,3.5,3.55,3.55,3.55,,,,,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.55,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.58,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,3.56,11.966,11.966,11.966
1993-07,6.9,3.5,3.5,3.5,3.5,3.53,3.53,3.53,,,,,3.55,3.55,3.52,3.52,3.52,3.52,3.53,3.53,3.53,3.53,3.53,3.53,3.53,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.60,3.60,3.60,3.60,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.59,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,3.60,11.966,11.966,11.966
1993-10,7.0,3.6,3.6,3.6,3.6,3.56,3.56,3.56,,,,,3.56,3.56,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.62,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.61,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,3.64,12.000,12.000,12.000
1994-01,7.1,3.6,3.6,3.6,3.6,3.63,3.63,3.64,,,,,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.63,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.70,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.70,3.70,3.70,3.69,3.69,3.69,3.69,3.70,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.70,3.70,3.70,3.70,12.034,12.034,12.034
1994-04,7.3,3.7,3.7,3.7,3.7,3.73,3.72,3.72,3.72,,,,3.72,3.72,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.82,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,12.070,12.070,12.070
1994-07,7.4,3.8,3.8,3.8,3.8,3.80,3.80,3.80,3.80,,,,3.82,3.82,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.81,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.89,3.89,3.89,3.89,12.171,12.171,12.171
1994-10,7.5,3.8,3.8,3.8,3.8,3.81,3.82,3.82,3.82,3.82,,,3.81,3.81,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.89,3.88,3.88,3.88,3.88,3.89,3.89,3.89,3.89,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,12.321,12.321,12.321
1995-01,7.6,3.8,3.8,3.8,3.8,3.84,3.85,3.86,3.86,3.86,,,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.83,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.93,3.94,3.94,3.94,3.94,3.95,3.95,3.95,3.95,3.94,3.94,3.94,3.94,12.377,12.377,12.377
1995-04,7.6,3.9,3.9,3.9,3.9,3.91,3.89,3.89,3.89,3.89,,,3.89,3.89,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,3.90,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.02,4.02,4.02,4.03,4.02,4.02,4.02,4.02,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,12.495,12.495,12.495
1995-07,7.7,3.9,3.9,3.9,3.9,3.93,3.93,3.93,3.93,3.93,,,3.93,3.93,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.92,4.01,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.02,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,12.723,12.723,12.723
1995-10,7.8,4.0,4.0,4.0,4.0,3.98,3.99,3.99,3.99,3.99,,,4.02,4.02,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.01,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.10,4.10,4.10,4.10,4.11,4.11,4.11,4.11,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.10,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,4.11,12.848,12.848,12.848
1996-01,7.8,4.0,4.1,4.1,4.1,4.15,4.16,4.16,4.16,4.16,4.15,,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.23,4.23,4.23,4.23,4.23,4.22,4.22,4.22,4.22,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.23,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.22,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,12.974,12.974,12.974
1996-04,8.2,4.2,4.2,4.2,4.2,4.21,4.21,4.20,4.20,4.20,4.20,,4.19,4.19,4.22,4.22,4.22,4.22,4.21,4.21,4.21,4.21,4.21,4.21,4.21,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.30,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,4.28,13.166,13.166,13.166
1996-07,8.3,4.2,4.2,4.2,4.2,4.21,4.26,4.26,4.27,4.27,4.27,4.27,4.27,4.27,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.26,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.33,4.32,4.32,4.32,4.33,4.33,4.33,4.33,4.33,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,13.276,13.276,13.276
1996-10,8.4,4.3,4.2,4.2,4.2,4.24,4.27,4.27,4.27,4.27,4.28,4.28,4.30,4.30,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.29,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,4.34,13.263,13.263,13.263
1997-01,8.6,4.4,4.4,4.4,4.4,4.39,4.41,4.41,4.40,4.40,4.39,4.39,4.37,4.37,4.37,4.37,4.37,4.37,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.44,4.43,4.43,4.43,4.43,13.427,13.427,13.427
1997-04,8.5,4.3,4.4,4.4,4.4,4.43,4.37,4.36,4.36,4.36,4.36,4.36,4.34,4.34,4.39,4.39,4.39,4.39,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.47,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.48,13.394,13.394,13.394
1997-07,8.8,4.5,4.6,4.6,4.6,4.53,4.54,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.54,4.54,4.54,4.54,4.55,4.55,4.55,4.55,4.55,4.55,4.55,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,4.54,13.459,13.459,13.459
1997-10,9.0,4.6,4.7,4.7,4.7,4.64,4.63,4.64,4.63,4.63,4.63,4.63,4.67,4.67,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.64,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,4.63,13.605,13.605,13.605
1998-01,9.3,4.7,4.9,4.8,4.8,4.80,4.76,4.77,4.76,4.76,4.76,4.76,4.76,4.76,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.71,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.90,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.88,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,4.83,14.018,14.018,14.018
1998-04,9.2,4.8,4.9,4.9,5.0,4.96,4.88,4.87,4.87,4.87,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,4.86,5.04,5.04,5.04,5.04,5.04,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,5.05,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,4.97,14.235,14.235,14.235
1998-07,9.6,5.0,5.2,5.2,5.2,5.16,4.98,4.99,5.00,5.00,4.98,4.98,5.00,5.00,4.97,4.97,4.97,4.97,4.98,4.98,4.98,4.98,4.98,4.98,4.99,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.19,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.20,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,5.07,14.483,14.483,14.483
1998-10,9.6,4.9,5.3,5.3,5.3,5.27,4.88,4.89,4.88,4.88,4.90,4.90,4.87,4.87,5.02,5.02,5.02,5.02,5.01,5.01,5.01,5.01,5.01,5.01,5.01,5.19,5.19,5.19,5.19,5.19,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.18,5.19,5.19,5.19,5.19,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,5.04,14.868,14.868,14.868
1999-01,,5.0,5.4,5.3,5.3,5.29,5.13,5.13,5.12,5.12,5.13,5.13,5.13,5.13,5.11,5.11,5.11,5.11,5.16,5.16,5.16,5.16,5.16,5.16,5.16,5.37,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.40,5.38,5.38,5.38,5.38,5.38,5.38,5.38,5.37,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,5.28,15.269,15.269,15.269
1999-04,,,5.6,5.4,5.4,5.36,5.27,5.26,5.26,5.26,5.30,5.30,5.31,5.31,5.30,5.30,5.30,5.30,5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.61,5.61,5.61,5.61,5.61,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.62,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,5.46,15.774,15.774,15.774
1999-07,,,,5.5,5.5,5.56,5.34,5.35,5.37,5.37,5.43,5.43,5.42,5.42,5.41,5.41,5.41,5.41,5.49,5.49,5.49,5.49,5.49,5.49,5.49,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,5.56,15.998,15.998,15.998
1999-10,,,,,5.7,5.68,5.50,5.51,5.50,5.50,5.54,5.54,5.54,5.54,5.53,5.53,5.53,5.53,5.58,5.58,5.58,5.58,5.58,5.58,5.58,5.79,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.78,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.77,5.78,5.78,5.78,5.78,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,5.55,16.233,16.233,16.233
2000-01,,,,,,5.75,5.58,5.58,5.58,5.58,5.61,5.61,5.62,5.62,5.59,5.59,5.59,5.59,5.67,5.67,5.67,5.67,5.68,5.68,5.67,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,16.374,16.374,16.374
2000-04,,,,,,,5.63,5.61,5.62,5.62,5.63,5.63,5.64,5.64,5.62,5.62,5.62,5.62,5.71,5.71,5.71,5.71,5.71,5.71,5.71,5.90,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.92,5.91,5.91,5.91,5.91,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,5.72,16.462,16.462,16.462
2000-07,,,,,,,,5.63,5.65,5.65,5.65,5.65,5.64,5.64,5.70,5.70,5.70,5.70,5.81,5.81,5.81,5.81,5.80,5.80,5.81,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.99,5.98,5.98,5.98,5.98,5.98,5.98,5.98,5.98,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.76,5.76,5.76,5.76,16.669,16.669,16.669
2000-10,,,,,,,,,5.82,5.82,5.78,5.78,5.78,5.78,5.88,5.88,5.88,5.88,5.99,5.99,5.99,5.99,5.98,5.98,5.98,6.15,6.14,6.14,6.14,6.14,6.13,6.13,6.13,6.13,6.12,6.12,6.12,6.12,6.11,6.11,6.11,6.11,6.12,6.12,6.12,6.12,6.13,6.13,6.13,6.13,5.88,5.88,5.88,5.88,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,17.146,17.146,17.146
2001-01,,,,,,,,,,5.77,5.77,5.82,5.81,5.81,5.84,5.84,5.84,5.84,6.01,6.01,6.01,6.01,6.01,6.01,6.00,6.18,6.18,6.18,6.18,6.18,6.19,6.19,6.19,6.19,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.19,6.19,6.19,6.19,6.19,6.19,6.19,6.19,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,17.464,17.464,17.464
2001-04,,,,,,,,,,,5.89,5.90,5.92,5.92,5.87,5.87,5.87,5.87,6.05,6.05,6.05,6.05,6.05,6.05,6.05,6.23,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.25,6.25,6.25,6.25,6.25,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,17.701,17.701,17.701
2001-07,,,,,,,,,,,,5.93,5.92,5.92,5.96,5.96,5.96,5.96,6.10,6.10,6.10,6.10,6.11,6.11,6.11,6.22,6.23,6.23,6.23,6.23,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.22,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,5.94,17.792,17.792,17.792
2001-10,,,,,,,,,,,,,5.98,5.98,6.06,6.06,6.06,6.06,6.18,6.18,6.18,6.18,6.16,6.16,6.16,6.28,6.27,6.27,6.27,6.27,6.26,6.26,6.26,6.26,6.24,6.24,6.24,6.24,6.23,6.23,6.23,6.23,6.24,6.24,6.24,6.24,6.24,6.24,6.24,6.24,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,5.93,17.919,17.919,17.919
2002-01,,,,,,,,,,,,,,5.98,6.03,5.99,5.98,5.98,6.12,6.12,6.12,6.12,6.11,6.11,6.10,6.16,6.17,6.17,6.17,6.17,6.19,6.19,6.19,6.19,6.20,6.20,6.20,6.20,6.21,6.21,6.21,6.21,6.19,6.19,6.19,6.18,6.18,6.18,6.18,6.18,5.86,5.86,5.86,5.86,5.87,5.87,5.87,5.87,5.87,5.87,5.87,5.87,17.941,17.941,17.941
2002-04,,,,,,,,,,,,,,,6.06,6.00,5.99,5.99,6.11,6.11,6.11,6.11,6.09,6.09,6.09,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.11,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.12,6.13,6.12,6.12,6.12,6.12,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,17.953,17.953,17.953
2002-07,,,,,,,,,,,,,,,,6.07,6.06,6.06,6.15,6.15,6.15,6.15,6.12,6.12,6.13,6.10,6.10,6.10,6.10,6.10,6.09,6.09,6.09,6.09,6.10,6.10,6.10,6.10,6.10,6.10,6.10,6.10,6.11,6.11,6.11,6.12,6.12,6.12,6.12,6.12,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,5.80,17.913,17.913,17.913
2002-10,,,,,,,,,,,,,,,,,6.10,6.10,6.20,6.20,6.20,6.20,6.16,6.16,6.16,6.19,6.16,6.16,6.16,6.16,6.15,6.15,6.15,6.15,6.12,6.12,6.12,6.12,6.11,6.11,6.11,6.11,6.12,6.12,6.12,6.11,6.12,6.12,6.12,6.12,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,17.917,17.917,17.917
2003-01,,,,,,,,,,,,,,,,,,6.00,6.13,6.13,6.14,6.14,6.10,6.10,6.09,6.11,6.11,6.11,6.11,6.11,6.09,6.09,6.09,6.09,6.10,6.10,6.10,6.10,6.10,6.10,6.10,6.10,6.09,6.09,6.09,6.10,6.09,6.09,6.09,6.09,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,17.868,17.868,17.868
