"",2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,3921.8546,3921.8546,3921.8546,3919.4324,3919.4324,3919.4324,3919.4324,3929.0412,3929.0412,3929.0412,3931.5409,3935.9632,3935.9632,3935.9632,3936.2536,3720.5200,3720.5194,3720.5200,3720.5200,3719.7500,3719.7500,3719.7476,3719.7476,3721.0420,3721.0420,3720.1822,3718.8934,3726.5060,3726.5060
1991-04,3807.9688,3807.9688,3807.9688,3805.4094,3805.4094,3805.4094,3805.4094,3805.4893,3805.4893,3805.4893,3804.7392,3800.3421,3800.3421,3800.3421,3800.3950,3673.0700,3673.0689,3673.0700,3673.0700,3672.0200,3672.0200,3672.0195,3672.0195,3668.1209,3668.1209,3673.1976,3672.4087,3667.6490,3667.6490
1991-07,3723.9557,3723.9557,3723.9557,3724.5128,3724.5128,3724.5128,3724.5128,3724.4149,3724.4149,3724.4149,3723.4327,3724.3295,3724.3295,3724.3295,3724.6218,3574.2800,3574.2779,3574.2800,3574.2800,3573.1700,3573.1700,3573.1726,3573.1726,3574.8720,3574.8720,3573.9135,3573.0273,3593.0367,3593.0367
1991-10,3695.4039,3695.4039,3695.4039,3695.5817,3695.5817,3695.5817,3695.5817,3687.3573,3687.3573,3687.3573,3686.5900,3684.4988,3684.4988,3684.4988,3683.8633,3514.1500,3514.1491,3514.1500,3514.1500,3517.6300,3517.6300,3517.6300,3517.6300,3518.0552,3518.0552,3514.7968,3517.7607,3541.8326,3541.8326
1992-01,3699.2720,3699.2720,3699.2720,3696.2399,3696.2399,3696.2399,3696.2399,3705.1757,3705.1757,3705.1757,3707.4430,3710.9673,3710.9673,3710.9673,3711.1542,3543.4800,3543.4847,3543.4800,3543.4800,3542.7600,3542.7600,3542.7618,3542.7618,3543.8239,3543.8239,3543.1798,3542.0197,3544.5701,3544.5701
1992-04,3651.0904,3651.0904,3651.0904,3648.5082,3648.5082,3648.5082,3648.5082,3648.3424,3648.3424,3648.3424,3647.5355,3647.2371,3647.2371,3647.2371,3647.3588,3479.5500,3479.5475,3479.5500,3479.5500,3478.7100,3478.7100,3478.7065,3478.7065,3475.3685,3475.3685,3479.6899,3479.0263,3497.8647,3497.8647
1992-07,3562.6791,3562.6791,3562.6791,3564.1126,3564.1126,3564.1126,3564.1126,3563.8456,3563.8456,3563.8456,3562.9950,3560.3478,3560.3478,3560.3478,3560.5697,3412.6800,3412.6811,3412.6800,3412.6800,3411.7400,3411.7400,3411.7408,3411.7408,3413.3536,3413.3536,3412.3103,3411.6016,3429.4441,3429.4441
1992-10,3463.5210,3463.5210,3463.5210,3463.6823,3463.6823,3463.6823,3463.6823,3456.6744,3456.6744,3456.6744,3456.0645,3457.6908,3457.6908,3457.6908,3457.1604,3349.1000,3349.0960,3349.1000,3349.1000,3352.1300,3352.1300,3352.1266,3352.1266,3352.3322,3352.3322,3349.6980,3352.2306,3363.4980,3363.4980
1993-01,3363.7791,3363.7791,3363.7791,3360.3589,3360.3589,3360.3589,3360.3589,3366.7715,3366.7715,3366.7715,3368.6783,3371.4833,3371.4833,3371.4833,3371.5860,3197.1500,3197.1525,3197.1500,3197.1500,3196.6400,3196.6400,3196.6374,3196.6374,3197.2394,3197.2394,3196.8993,3196.0556,3204.6460,3204.6460
1993-04,3254.2447,3254.2447,3254.2447,3251.9185,3251.9185,3251.9185,3251.9185,3251.5749,3251.5749,3251.5749,3250.8017,3250.7094,3250.7094,3250.7094,3250.8967,3121.7000,3121.7024,3121.7000,3121.7000,3121.2700,3121.2700,3121.2715,3121.2715,3119.2701,3119.2701,3121.8243,3121.4872,3138.7256,3138.7256
1993-07,3226.6491,3226.6491,3226.6491,3228.7690,3228.7690,3228.7690,3228.7690,3228.5842,3228.5842,3228.5842,3227.9087,3225.7724,3225.7724,3225.7724,3225.8650,3088.5600,3088.5574,3088.5600,3088.5600,3088.0900,3088.0900,3088.0893,3088.0893,3089.1393,3089.1393,3088.2966,3088.0108,3096.6875,3096.6875
1993-10,3161.6359,3161.6359,3161.6359,3161.6596,3161.6596,3161.6596,3161.6596,3156.9766,3156.9766,3156.9766,3156.5186,3154.7065,3154.7065,3154.7065,3154.3239,3057.1000,3057.1040,3057.1000,3057.1000,3058.9900,3058.9900,3058.9928,3058.9928,3058.9277,3058.9277,3057.5563,3059.0229,3057.4546,3057.4546
1994-01,3141.6127,3141.6127,3141.6127,3137.8143,3137.8143,3137.8143,3137.8143,3141.2460,3141.2460,3141.2460,3142.8881,3145.1268,3145.1268,3145.1268,3145.1703,3002.6700,3002.6721,3002.6700,3002.6700,3002.4400,3002.4400,3002.4440,3002.4440,3002.7334,3002.7334,3002.4641,3001.9926,2999.7684,2999.7684
1994-04,3123.4471,3123.4471,3123.4471,3121.2387,3121.2387,3121.2387,3121.2387,3121.3664,3121.3664,3121.3664,3120.6333,3120.8134,3120.8134,3120.8134,3121.0465,2996.1800,2996.1783,2996.1800,2996.1800,2996.0700,2996.0700,2996.0652,2996.0652,2994.9332,2994.9332,2996.2744,2996.1677,2982.9543,2982.9543
1994-07,3110.8243,3110.8243,3110.8243,3113.7608,3113.7608,3113.7608,3113.7608,3114.2680,3114.2680,3114.2680,3113.7022,3115.0553,3115.0553,3115.0553,3115.0681,2974.6800,2974.6790,2974.6800,2974.6800,2974.4400,2974.4400,2974.4419,2974.4419,2975.1364,2975.1364,2974.4692,2974.3931,2963.9494,2963.9494
1994-10,3108.4672,3108.4672,3108.4672,3107.9545,3107.9545,3107.9545,3107.9545,3105.1509,3105.1509,3105.1509,3104.8078,3103.1254,3103.1254,3103.1254,3102.8360,2954.7400,2954.7357,2954.7400,2954.7400,2955.7600,2955.7600,2955.7619,2955.7619,2955.4852,2955.4852,2955.0806,2955.7349,2941.7790,2941.7790
1995-01,3077.6418,3077.6418,3077.6418,3073.8310,3073.8310,3073.8310,3073.8310,3074.9312,3074.9312,3074.9312,3076.3099,3077.9322,3077.9322,3077.9322,3077.9330,2957.1200,2957.1165,2957.1200,2957.1200,2957.1500,2957.1500,2957.1479,2957.1479,2957.1345,2957.1345,2956.9827,2956.8157,2946.5704,2946.5704
1995-04,3074.2797,3074.2797,3074.2797,3072.3197,3072.3197,3072.3197,3072.3197,3072.9051,3072.9051,3072.9051,3072.3029,3072.8143,3072.8143,3072.8143,3073.0185,2923.2300,2923.2299,2923.2300,2923.2300,2923.4000,2923.4000,2923.4044,2923.4044,2922.9869,2922.9869,2923.3170,2923.4266,2910.1227,2910.1227
1995-07,3061.3742,3061.3742,3061.3742,3064.0665,3064.0665,3064.0665,3064.0665,3064.7720,3064.7720,3064.7720,3064.2289,3065.8208,3065.8208,3065.8208,3065.7732,2901.9400,2901.9380,2901.9400,2901.9400,2902.0000,2902.0000,2902.0036,2902.0036,2902.3212,2902.3212,2901.8020,2901.9707,2905.6244,2905.6244
1995-10,2991.7179,2991.7179,2991.7179,2991.2625,2991.2625,2991.2625,2991.2625,2990.2152,2990.2152,2990.2152,2989.9816,2991.4830,2991.4830,2991.4830,2991.3255,2836.4300,2836.4339,2836.4300,2836.4300,2836.6000,2836.6000,2836.6018,2836.6018,2836.3090,2836.3090,2836.6499,2836.5386,2851.2132,2851.2132
1996-01,2939.8649,2939.8649,2939.8649,2936.5270,2936.5270,2936.5270,2936.5270,2936.3599,2936.3599,2936.3599,2937.4199,2938.4499,2938.4499,2938.4499,2938.4185,2805.5600,2805.5554,2805.5600,2805.5600,2805.8600,2805.8600,2805.8619,2805.8619,2805.8552,2805.8552,2805.5197,2805.6592,2833.9753,2833.9753
1996-04,2910.3025,2910.3025,2910.3025,2908.3638,2908.3638,2908.3638,2908.3638,2909.1143,2909.1143,2909.1143,2908.6730,2909.6085,2909.6085,2909.6085,2909.7386,2765.1700,2765.1677,2765.1700,2765.1700,2765.6300,2765.6300,2765.6253,2765.6253,2765.4394,2765.4394,2765.2606,2765.5840,2803.0060,2803.0060
1996-07,2879.2462,2879.2462,2879.2462,2881.8678,2881.8678,2881.8678,2881.8678,2882.6696,2882.6696,2882.6696,2882.1754,2883.7029,2883.7029,2883.7029,2883.6994,2750.6700,2750.6665,2750.6700,2750.6700,2751.0000,2751.0000,2751.0042,2751.0042,2750.8984,2750.8984,2750.5048,2750.9193,2785.5087,2785.5087
