"",2005-05-19,2005-08-18,2005-11-17,2006-02-16,2006-05-18,2006-08-17,2006-11-16,2007-02-20,2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,AMZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,ANZAHL,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.702,11.359,11.359,11.359,11.359,11.359,11.359,11.359,11.359,11.359,11.359,11.359,11.359,11.308,11.308
1991-04,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.415,11.086,11.086,11.086,11.086,11.086,11.086,11.086,11.086,11.086,11.086,11.086,11.086,11.027,11.027
1991-07,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,11.174,10.892,10.892,10.892,10.892,10.892,10.892,10.892,10.892,10.892,10.892,10.892,10.892,10.850,10.850
1991-10,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,11.032,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.730,10.677,10.677
1992-01,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.739,10.443,10.443,10.443,10.443,10.443,10.443,10.443,10.443,10.443,10.443,10.443,10.443,10.402,10.402
1992-04,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.502,10.223,10.223,10.223,10.223,10.223,10.223,10.223,10.223,10.223,10.223,10.223,10.223,10.170,10.170
1992-07,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.379,10.134,10.134,10.134,10.134,10.134,10.134,10.134,10.134,10.134,10.134,10.134,10.134,10.107,10.107
1992-10,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,10.246,9.980,9.980,9.980,9.980,9.980,9.980,9.980,9.980,9.980,9.980,9.980,9.980,9.942,9.942
1993-01,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.997,9.739,9.739,9.739,9.739,9.739,9.739,9.739,9.739,9.739,9.739,9.739,9.739,9.704,9.704
1993-04,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.773,9.530,9.530,9.530,9.530,9.530,9.530,9.530,9.530,9.530,9.530,9.530,9.530,9.486,9.486
1993-07,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.644,9.439,9.439,9.439,9.439,9.439,9.439,9.439,9.439,9.439,9.439,9.439,9.439,9.414,9.414
1993-10,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.541,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.318,9.280,9.280
1994-01,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.380,9.157,9.157,9.157,9.157,9.157,9.157,9.157,9.157,9.157,9.157,9.157,9.157,9.130,9.130
1994-04,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.219,9.007,9.007,9.007,9.007,9.007,9.007,9.007,9.007,9.007,9.007,9.007,9.007,8.970,8.970
1994-07,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.192,9.011,9.011,9.011,9.011,9.011,9.011,9.011,9.011,9.011,9.011,9.011,9.011,8.993,8.993
1994-10,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,9.172,8.972,8.972,8.972,8.972,8.972,8.972,8.972,8.972,8.972,8.972,8.972,8.972,8.946,8.946
1995-01,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,9.078,8.885,8.885,8.885,8.885,8.885,8.885,8.885,8.885,8.885,8.885,8.885,8.885,8.864,8.864
1995-04,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.988,8.807,8.807,8.807,8.807,8.807,8.807,8.807,8.807,8.807,8.807,8.807,8.807,8.775,8.775
1995-07,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.987,8.827,8.827,8.827,8.827,8.827,8.827,8.827,8.827,8.827,8.827,8.827,8.827,8.817,8.817
1995-10,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.969,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.799,8.772,8.772
1996-01,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.838,8.662,8.662,8.662,8.662,8.662,8.662,8.662,8.662,8.662,8.662,8.662,8.662,8.659,8.659
1996-04,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.744,8.576,8.576,8.576,8.576,8.576,8.576,8.576,8.576,8.576,8.576,8.576,8.576,8.570,8.570
1996-07,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.719,8.569,8.569,8.569,8.569,8.569,8.569,8.569,8.569,8.569,8.569,8.569,8.569,8.577,8.577
1996-10,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.701,8.522,8.522,8.522,8.522,8.522,8.522,8.522,8.522,8.522,8.522,8.522,8.522,8.530,8.530
1997-01,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.411,8.411,8.411,8.411,8.411,8.411,8.411,8.411,8.411,8.411,8.411,8.411,8.422,8.422
1997-04,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.556,8.358,8.358,8.358,8.358,8.358,8.358,8.358,8.358,8.358,8.358,8.358,8.358,8.365,8.365
1997-07,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.596,8.425,8.425,8.425,8.425,8.425,8.425,8.425,8.425,8.425,8.425,8.425,8.425,8.449,8.449
1997-10,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.624,8.427,8.427,8.427,8.427,8.427,8.427,8.427,8.427,8.427,8.427,8.427,8.427,8.448,8.448
1998-01,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.558,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.399,8.399
1998-04,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.588,8.399,8.399,8.399,8.399,8.399,8.399,8.399,8.399,8.399,8.399,8.399,8.399,8.418,8.418
1998-07,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.606,8.449,8.449,8.449,8.449,8.449,8.449,8.449,8.449,8.449,8.449,8.449,8.449,8.491,8.491
1998-10,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.656,8.475,8.475,8.475,8.475,8.475,8.475,8.475,8.475,8.475,8.475,8.475,8.475,8.508,8.508
1999-01,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.505,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.361,8.400,8.400
1999-04,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.432,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.292,8.327,8.327
1999-07,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.488,8.367,8.367,8.367,8.367,8.367,8.367,8.367,8.367,8.367,8.367,8.367,8.367,8.420,8.420
1999-10,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.539,8.388,8.388,8.388,8.388,8.388,8.388,8.388,8.388,8.388,8.388,8.388,8.388,8.446,8.446
2000-01,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.476,8.323,8.323,8.323,8.323,8.323,8.323,8.323,8.323,8.323,8.323,8.323,8.323,8.409,8.409
2000-04,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.492,8.336,8.336,8.336,8.336,8.336,8.336,8.336,8.336,8.336,8.336,8.336,8.336,8.411,8.411
2000-07,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.545,8.414,8.414,8.414,8.414,8.414,8.414,8.414,8.414,8.414,8.414,8.414,8.414,8.510,8.510
2000-10,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.618,8.453,8.453,8.453,8.453,8.453,8.453,8.453,8.453,8.453,8.453,8.453,8.453,8.531,8.531
2001-01,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.552,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.379,8.463,8.463
2001-04,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.540,8.369,8.369,8.369,8.369,8.369,8.369,8.369,8.369,8.369,8.369,8.369,8.369,8.436,8.436
2001-07,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.533,8.396,8.396,8.396,8.396,8.396,8.396,8.396,8.396,8.396,8.396,8.396,8.396,8.470,8.470
2001-10,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.548,8.380,8.380,8.380,8.380,8.380,8.380,8.380,8.380,8.380,8.380,8.380,8.380,8.448,8.448
2002-01,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.418,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.257,8.343,8.343
2002-04,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.362,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.285,8.285
2002-07,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.331,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.204,8.282,8.282
2002-10,8.314,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.313,8.153,8.153,8.153,8.153,8.153,8.153,8.153,8.153,8.153,8.153,8.153,8.153,8.229,8.229
2003-01,8.168,8.168,8.168,8.168,8.168,8.168,8.168,8.168,8.168,8.169,8.169,8.169,8.169,8.169,8.169,8.169,8.169,8.169,8.169,8.169,8.169,8.169,8.169,8.169,8.169,8.013,8.013,8.013,8.013,8.013,8.013,8.013,8.013,8.013,8.013,8.013,8.013,8.118,8.118
2003-04,8.127,8.126,8.126,8.126,8.126,8.126,8.126,8.126,8.126,8.127,8.127,8.127,8.127,8.127,8.127,8.127,8.127,8.127,8.127,8.127,8.127,8.127,8.127,8.127,8.127,7.979,7.979,7.979,7.979,7.979,7.979,7.979,7.979,7.979,7.979,7.979,7.979,8.035,8.035
2003-07,8.122,8.121,8.121,8.121,8.121,8.121,8.121,8.121,8.121,8.122,8.122,8.122,8.122,8.122,8.122,8.122,8.122,8.122,8.122,8.122,8.122,8.122,8.122,8.122,8.122,7.989,7.989,7.989,7.989,7.989,7.989,7.989,7.989,7.989,7.989,7.989,7.989,8.057,8.057
2003-10,8.137,8.137,8.137,8.137,8.137,8.137,8.137,8.137,8.137,8.138,8.138,8.138,8.138,8.138,8.138,8.138,8.138,8.138,8.138,8.138,8.138,8.138,8.138,8.138,8.138,7.975,7.975,7.975,7.975,7.975,7.975,7.975,7.975,7.975,7.975,7.975,7.975,8.040,8.040
