"",2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4192.6464,4019.6671,4019.6671,4019.6671,4019.6671,4019.6671,4019.6671,4019.6671,4019.6671,4019.6671,4019.6671,4019.6671,4019.6671,4028.5664,4028.5664
1991-04,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3760.1264,3607.6821,3607.6821,3607.6821,3607.6821,3607.6821,3607.6821,3607.6821,3607.6821,3607.6821,3607.6821,3607.6821,3607.6821,3596.5941,3596.5941
1991-07,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3977.2590,3813.2484,3813.2484,3813.2484,3813.2484,3813.2484,3813.2484,3813.2484,3813.2484,3813.2484,3813.2484,3813.2484,3813.2484,3834.7792,3834.7792
1991-10,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3852.6525,3703.4749,3703.4749,3703.4749,3703.4749,3703.4749,3703.4749,3703.4749,3703.4749,3703.4749,3703.4749,3703.4749,3703.4749,3723.6789,3723.6789
1992-01,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,4033.6590,3858.8106,3858.8106,3858.8106,3858.8106,3858.8106,3858.8106,3858.8106,3858.8106,3858.8106,3858.8106,3858.8106,3858.8106,3863.2354,3863.2354
1992-04,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3576.1540,3412.5104,3412.5104,3412.5104,3412.5104,3412.5104,3412.5104,3412.5104,3412.5104,3412.5104,3412.5104,3412.5104,3412.5104,3423.6791,3423.6791
1992-07,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3818.2022,3650.4105,3650.4105,3650.4105,3650.4105,3650.4105,3650.4105,3650.4105,3650.4105,3650.4105,3650.4105,3650.4105,3650.4105,3673.1125,3673.1125
1992-10,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3727.8632,3573.5254,3573.5254,3573.5254,3573.5254,3573.5254,3573.5254,3573.5254,3573.5254,3573.5254,3573.5254,3573.5254,3573.5254,3583.9647,3583.9647
1993-01,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3644.6997,3483.6102,3483.6102,3483.6102,3483.6102,3483.6102,3483.6102,3483.6102,3483.6102,3483.6102,3483.6102,3483.6102,3483.6102,3493.2479,3493.2479
1993-04,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3241.4907,3088.8018,3088.8018,3088.8018,3088.8018,3088.8018,3088.8018,3088.8018,3088.8018,3088.8018,3088.8018,3088.8018,3088.8018,3099.0481,3099.0481
1993-07,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3480.6795,3321.9745,3321.9745,3321.9745,3321.9745,3321.9745,3321.9745,3321.9745,3321.9745,3321.9745,3321.9745,3321.9745,3321.9745,3333.5134,3333.5134
1993-10,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3436.3872,3287.0296,3287.0296,3287.0296,3287.0296,3287.0296,3287.0296,3287.0296,3287.0296,3287.0296,3287.0296,3287.0296,3287.0296,3284.0717,3284.0717
1994-01,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3451.0476,3297.8036,3297.8036,3297.8036,3297.8036,3297.8036,3297.8036,3297.8036,3297.8036,3297.8036,3297.8036,3297.8036,3297.8036,3293.7952,3293.7952
1994-04,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,3123.5589,2975.2087,2975.2087,2975.2087,2975.2087,2975.2087,2975.2087,2975.2087,2975.2087,2975.2087,2975.2087,2975.2087,2975.2087,2956.5432,2956.5432
1994-07,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3364.7112,3208.5881,3208.5881,3208.5881,3208.5881,3208.5881,3208.5881,3208.5881,3208.5881,3208.5881,3208.5881,3208.5881,3208.5881,3198.7285,3198.7285
1994-10,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3314.4951,3167.6636,3167.6636,3167.6636,3167.6636,3167.6636,3167.6636,3167.6636,3167.6636,3167.6636,3167.6636,3167.6636,3167.6636,3153.4102,3153.4102
1995-01,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3409.9570,3259.6719,3259.6719,3259.6719,3259.6719,3259.6719,3259.6719,3259.6719,3259.6719,3259.6719,3259.6719,3259.6719,3259.6719,3250.2356,3250.2356
1995-04,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,3046.5991,2898.7077,2898.7077,2898.7077,2898.7077,2898.7077,2898.7077,2898.7077,2898.7077,2898.7077,2898.7077,2898.7077,2898.7077,2878.9950,2878.9950
1995-07,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3276.8714,3124.2829,3124.2829,3124.2829,3124.2829,3124.2829,3124.2829,3124.2829,3124.2829,3124.2829,3124.2829,3124.2829,3124.2829,3129.5742,3129.5742
1995-10,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3196.0987,3051.8385,3051.8385,3051.8385,3051.8385,3051.8385,3051.8385,3051.8385,3051.8385,3051.8385,3051.8385,3051.8385,3051.8385,3067.0985,3067.0985
1996-01,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3234.6104,3091.6597,3091.6597,3091.6597,3091.6597,3091.6597,3091.6597,3091.6597,3091.6597,3091.6597,3091.6597,3091.6597,3091.6597,3122.1739,3122.1739
1996-04,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2886.8708,2748.4261,2748.4261,2748.4261,2748.4261,2748.4261,2748.4261,2748.4261,2748.4261,2748.4261,2748.4261,2748.4261,2748.4261,2777.8549,2777.8549
1996-07,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,3120.9405,2977.6063,2977.6063,2977.6063,2977.6063,2977.6063,2977.6063,2977.6063,2977.6063,2977.6063,2977.6063,2977.6063,2977.6063,3012.8040,3012.8040
1996-10,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,3071.2812,2926.5424,2926.5424,2926.5424,2926.5424,2926.5424,2926.5424,2926.5424,2926.5424,2926.5424,2926.5424,2926.5424,2926.5424,2966.4407,2966.4407
