"",2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,101.19,101.19,101.19,101.23,101.23,101.23,101.23,101.45,101.45,101.45,101.45,101.20,101.19,101.19,101.07,93.92,93.92,93.92,93.92,93.95,93.95,93.95,93.95,93.94,93.94,94.48,94.48,90.47,90.47,90.47
1991-04,98.19,98.19,98.19,98.15,98.15,98.15,98.15,97.59,97.59,97.59,97.59,97.39,97.40,97.40,97.72,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.73,91.35,91.35,88.27,88.27,88.27
1991-07,95.99,95.99,95.99,95.95,95.95,95.95,95.95,96.06,96.06,96.06,96.06,96.29,96.30,96.30,96.24,88.86,88.86,88.86,88.86,88.88,88.87,88.87,88.87,88.86,88.86,88.90,88.90,86.71,86.71,86.71
1991-10,98.11,98.11,98.11,98.07,98.07,98.07,98.07,98.31,98.31,98.31,98.31,98.57,98.57,98.57,98.43,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.66,90.61,90.61,90.41,90.41,88.17,88.17,88.17
1992-01,99.30,99.30,99.30,99.28,99.28,99.28,99.28,99.67,99.67,99.67,99.67,99.43,99.42,99.42,99.33,91.67,91.67,91.67,91.67,91.69,91.69,91.69,91.69,91.68,91.68,92.26,92.26,88.84,88.84,88.84
1992-04,96.45,96.45,96.45,96.43,96.43,96.43,96.43,95.94,95.94,95.94,95.94,95.79,95.80,95.80,96.06,88.93,88.93,88.93,88.93,88.94,88.94,88.94,88.94,88.94,88.94,88.59,88.59,85.79,85.79,85.79
1992-07,93.48,93.48,93.48,93.45,93.45,93.45,93.45,93.54,93.54,93.54,93.54,93.75,93.75,93.75,93.70,86.04,86.04,86.04,86.04,86.06,86.06,86.06,86.06,86.05,86.05,86.07,86.07,83.72,83.72,83.72
1992-10,91.40,91.40,91.40,91.36,91.36,91.36,91.36,91.63,91.63,91.63,91.63,91.85,91.85,91.85,91.73,84.77,84.77,84.77,84.77,84.78,84.78,84.78,84.78,84.79,84.79,84.54,84.54,82.10,82.10,82.10
1993-01,88.56,88.56,88.56,88.58,88.58,88.58,88.58,88.59,88.59,88.59,88.59,88.41,88.40,88.40,88.33,81.44,81.44,81.44,81.44,81.46,81.46,81.46,81.46,81.45,81.45,82.00,82.00,79.68,79.68,79.68
1993-04,87.02,87.02,87.02,87.00,87.00,87.00,87.00,86.61,86.61,86.61,86.61,86.50,86.50,86.50,86.71,80.03,80.03,80.03,80.03,80.04,80.04,80.04,80.04,80.02,80.02,79.76,79.76,77.79,77.79,77.79
1993-07,86.69,86.69,86.69,86.66,86.66,86.66,86.66,86.70,86.70,86.70,86.70,86.87,86.87,86.87,86.83,79.67,79.67,79.67,79.67,79.69,79.69,79.69,79.69,79.68,79.68,79.71,79.71,77.89,77.89,77.89
1993-10,87.63,87.63,87.63,87.59,87.59,87.59,87.59,87.91,87.91,87.91,87.91,88.10,88.10,88.10,88.01,82.56,82.56,82.56,82.56,82.59,82.60,82.60,82.60,82.61,82.61,82.31,82.31,78.64,78.64,78.64
1994-01,88.59,88.59,88.59,88.60,88.60,88.60,88.60,88.56,88.56,88.56,88.56,88.39,88.39,88.39,88.33,82.17,82.17,82.17,82.17,82.19,82.19,82.19,82.19,82.18,82.18,82.71,82.71,79.91,79.91,79.91
1994-04,89.79,89.79,89.79,89.77,89.77,89.77,89.77,89.42,89.42,89.42,89.42,89.31,89.32,89.32,89.50,83.24,83.24,83.24,83.24,83.26,83.26,83.26,83.26,83.24,83.24,83.04,83.04,80.20,80.20,80.20
1994-07,90.11,90.11,90.11,90.08,90.08,90.08,90.08,90.11,90.11,90.11,90.11,90.25,90.25,90.25,90.21,83.38,83.38,83.38,83.38,83.40,83.39,83.39,83.39,83.38,83.38,83.41,83.41,80.51,80.51,80.51
1994-10,92.97,92.97,92.97,92.93,92.93,92.93,92.93,93.31,93.31,93.31,93.31,93.49,93.48,93.48,93.40,86.87,86.87,86.87,86.87,86.90,86.90,86.90,86.90,86.94,86.94,86.58,86.58,83.72,83.72,83.72
1995-01,90.00,90.00,90.00,90.00,90.00,90.00,90.00,89.91,89.91,89.91,89.91,89.76,89.76,89.76,89.71,83.82,83.82,83.82,83.82,83.84,83.84,83.84,83.84,83.82,83.82,84.34,84.34,81.16,81.16,81.16
1995-04,90.51,90.51,90.51,90.50,90.50,90.50,90.50,90.23,90.23,90.23,90.23,90.17,90.17,90.17,90.32,84.54,84.54,84.54,84.54,84.56,84.56,84.56,84.56,84.55,84.55,84.36,84.36,81.12,81.12,81.12
1995-07,89.31,89.31,89.31,89.28,89.28,89.28,89.28,89.28,89.28,89.28,89.28,89.41,89.41,89.41,89.39,83.72,83.72,83.72,83.72,83.74,83.74,83.74,83.74,83.74,83.74,83.76,83.76,80.53,80.53,80.53
1995-10,89.01,89.01,89.01,88.97,88.97,88.97,88.97,89.32,89.32,89.32,89.32,89.46,89.46,89.46,89.39,83.34,83.34,83.34,83.34,83.35,83.35,83.35,83.35,83.33,83.33,82.98,82.98,80.05,80.05,80.05
1996-01,86.77,86.77,86.77,86.74,86.74,86.74,86.74,86.91,86.91,86.91,86.91,86.78,86.78,86.78,86.75,80.19,80.19,80.19,80.19,80.21,80.21,80.21,80.21,80.19,80.19,80.59,80.59,77.57,77.57,77.57
1996-04,88.04,88.04,88.04,88.02,88.02,88.02,88.02,87.81,87.81,87.81,87.81,87.77,87.77,87.77,87.87,81.57,81.57,81.57,81.57,81.58,81.58,81.58,81.58,81.58,81.58,81.47,81.47,78.36,78.36,78.36
1996-07,87.80,87.80,87.80,87.77,87.77,87.77,87.77,87.74,87.74,87.74,87.74,87.83,87.83,87.83,87.81,81.75,81.75,81.75,81.75,81.77,81.77,81.77,81.77,81.76,81.76,81.78,81.78,78.56,78.56,78.56
1996-10,89.12,89.12,89.12,89.10,89.10,89.10,89.10,89.41,89.41,89.41,89.41,89.51,89.51,89.51,89.46,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.92,82.88,82.88,82.57,82.57,79.69,79.69,79.69
1997-01,90.06,90.06,90.06,90.08,90.08,90.08,90.08,90.02,90.02,90.02,90.02,89.95,89.95,89.95,89.93,83.09,83.09,83.09,83.09,83.11,83.11,83.11,83.11,83.11,83.11,83.38,83.38,80.14,80.14,80.14
1997-04,91.28,91.28,91.28,91.25,91.25,91.25,91.25,91.09,91.09,91.09,91.09,91.09,91.09,91.09,91.14,84.36,84.36,84.36,84.36,84.38,84.38,84.38,84.38,84.35,84.35,84.30,84.30,81.02,81.02,81.02
1997-07,92.04,92.04,92.04,92.01,92.01,92.01,92.01,91.94,91.94,91.94,91.94,92.01,92.01,92.01,92.00,85.29,85.29,85.29,85.29,85.30,85.30,85.30,85.30,85.28,85.28,85.36,85.36,82.02,82.02,82.02
1997-10,94.45,94.45,94.45,94.43,94.43,94.43,94.43,94.70,94.70,94.70,94.70,94.78,94.78,94.78,94.75,87.63,87.63,87.63,87.63,87.64,87.64,87.64,87.64,87.62,87.62,87.31,87.31,84.07,84.07,84.07
1998-01,93.65,93.65,93.65,93.65,93.65,93.65,93.65,93.63,93.63,93.63,93.63,93.61,93.61,93.61,93.59,86.44,86.44,86.44,86.44,86.45,86.45,86.45,86.45,86.45,86.45,86.60,86.60,82.90,82.90,82.90
1998-04,92.95,92.95,92.95,92.93,92.93,92.93,92.93,92.79,92.79,92.79,92.79,92.80,92.80,92.80,92.81,86.01,86.01,86.01,86.01,86.02,86.02,86.02,86.02,86.02,86.02,86.05,86.05,82.57,82.57,82.57
1998-07,92.39,92.39,92.39,92.36,92.36,92.36,92.36,92.29,92.29,92.29,92.29,92.32,92.32,92.32,92.33,85.57,85.57,85.57,85.57,85.59,85.59,85.59,85.59,85.57,85.57,85.63,85.63,82.00,82.00,82.00
1998-10,91.15,91.15,91.15,91.11,91.11,91.11,91.11,91.34,91.34,91.34,91.34,91.38,91.38,91.38,91.37,84.82,84.82,84.82,84.82,84.84,84.84,84.84,84.84,84.84,84.84,84.59,84.59,81.18,81.18,81.18
1999-01,91.71,91.71,91.71,91.69,91.69,91.69,91.69,91.64,91.64,91.64,91.64,91.66,91.66,91.66,91.67,84.95,84.95,84.95,84.95,84.97,84.97,84.97,84.97,84.96,84.96,85.09,85.09,81.54,81.54,81.54
