"",2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,77.48,77.47,77.47,77.51,77.50,77.50,77.50,77.33,77.33,77.33,77.33,77.34,77.34,77.34,77.35,77.54,77.54,77.54,77.54,77.53,77.54,77.54,77.54,77.57,77.57,77.57,77.57,83.903,83.907,83.906
1991-04,78.56,78.55,78.55,78.65,78.65,78.65,78.65,78.70,78.71,78.71,78.71,78.69,78.69,78.69,78.69,78.95,78.95,78.95,78.95,78.97,78.97,78.97,78.97,78.94,78.94,78.94,78.94,85.420,85.419,85.419
1991-07,79.71,79.72,79.72,79.68,79.69,79.68,79.68,79.81,79.80,79.80,79.81,79.85,79.85,79.85,79.84,80.08,80.08,80.08,80.08,80.08,80.07,80.07,80.07,80.07,80.07,80.07,80.07,86.730,86.733,86.738
1991-10,82.04,82.06,82.06,82.47,82.48,82.49,82.49,82.46,82.45,82.45,82.44,82.48,82.48,82.48,82.49,82.72,82.72,82.72,82.72,82.75,82.74,82.74,82.74,82.82,82.82,82.82,82.82,89.596,89.599,89.595
1992-01,85.39,85.39,85.39,85.30,85.29,85.29,85.29,85.12,85.12,85.12,85.11,85.13,85.13,85.13,85.13,85.36,85.36,85.36,85.36,85.35,85.35,85.35,85.35,85.34,85.34,85.34,85.34,92.239,92.238,92.237
1992-04,86.06,86.05,86.05,85.91,85.91,85.91,85.91,85.97,85.97,85.97,85.96,85.96,85.96,85.96,85.97,86.25,86.25,86.25,86.25,86.26,86.26,86.26,86.26,86.27,86.27,86.27,86.27,92.571,92.571,92.571
1992-07,84.41,84.42,84.42,84.48,84.49,84.49,84.49,84.64,84.64,84.64,84.65,84.65,84.65,84.65,84.63,85.10,85.10,85.10,85.10,85.11,85.11,85.11,85.11,85.08,85.08,85.08,85.08,91.651,91.656,91.662
1992-10,84.50,84.51,84.51,84.66,84.66,84.67,84.67,84.76,84.76,84.76,84.75,84.81,84.81,84.81,84.81,85.04,85.04,85.04,85.04,85.01,85.01,85.01,85.01,84.98,84.98,84.98,84.98,91.660,91.654,91.650
1993-01,83.57,83.56,83.56,83.67,83.67,83.67,83.67,83.45,83.45,83.45,83.45,83.44,83.44,83.44,83.44,83.79,83.79,83.79,83.79,83.83,83.83,83.83,83.83,83.82,83.82,83.82,83.82,90.755,90.752,90.751
1993-04,82.76,82.75,82.75,82.86,82.85,82.85,82.85,82.97,82.98,82.98,82.98,82.97,82.97,82.97,82.99,83.44,83.44,83.44,83.44,83.49,83.49,83.49,83.49,83.45,83.45,83.45,83.45,90.096,90.093,90.092
1993-07,84.10,84.11,84.11,84.16,84.17,84.16,84.16,84.31,84.30,84.30,84.30,84.31,84.31,84.31,84.29,84.77,84.77,84.77,84.77,84.77,84.78,84.78,84.78,84.76,84.76,84.76,84.76,91.477,91.475,91.481
1993-10,83.73,83.74,83.74,83.43,83.43,83.44,83.44,83.52,83.51,83.51,83.51,83.56,83.56,83.56,83.55,83.68,83.68,83.68,83.68,83.65,83.65,83.65,83.65,83.60,83.60,83.60,83.60,90.278,90.285,90.282
1994-01,86.25,86.25,86.25,86.26,86.26,86.26,86.26,86.15,86.16,86.16,86.15,86.14,86.14,86.14,86.16,86.41,86.41,86.41,86.41,86.46,86.46,86.46,86.46,86.40,86.40,86.40,86.40,93.535,93.534,93.532
1994-04,88.24,88.22,88.22,88.33,88.33,88.33,88.33,88.41,88.40,88.40,88.40,88.42,88.42,88.42,88.42,88.82,88.82,88.82,88.82,88.87,88.87,88.87,88.87,88.85,88.85,88.85,88.85,95.398,95.397,95.397
1994-07,89.34,89.34,89.34,89.36,89.37,89.37,89.37,89.50,89.49,89.49,89.49,89.48,89.48,89.48,89.47,89.88,89.88,89.88,89.88,89.90,89.90,89.90,89.90,89.88,89.88,89.88,89.88,96.515,96.521,96.526
1994-10,92.61,92.61,92.61,91.98,91.99,91.99,91.99,92.00,91.99,91.99,91.99,92.04,92.04,92.04,92.04,91.99,91.99,91.99,91.99,91.94,91.94,91.94,91.94,91.93,91.93,91.93,91.93,98.503,98.503,98.499
1995-01,90.44,90.44,90.44,90.32,90.32,90.31,90.31,90.33,90.34,90.34,90.34,90.34,90.34,90.34,90.34,90.34,90.34,90.34,90.34,90.40,90.40,90.40,90.40,90.29,90.29,90.29,90.29,97.168,97.174,97.174
1995-04,92.64,92.63,92.63,92.52,92.52,92.51,92.51,92.46,92.48,92.48,92.49,92.52,92.52,92.52,92.51,92.59,92.59,92.59,92.59,92.63,92.63,92.63,92.63,92.64,92.64,92.64,92.64,99.339,99.340,99.339
1995-07,91.82,91.83,91.83,91.53,91.53,91.53,91.53,91.59,91.58,91.58,91.58,91.55,91.55,91.55,91.55,91.50,91.50,91.50,91.50,91.52,91.52,91.52,91.52,91.55,91.55,91.55,91.55,98.384,98.383,98.388
1995-10,90.94,90.95,90.95,90.80,90.80,90.81,90.81,90.82,90.81,90.81,90.81,90.85,90.85,90.85,90.85,91.08,91.08,91.08,91.08,91.07,91.07,91.07,91.07,91.07,91.07,91.07,91.07,98.066,98.065,98.062
1996-01,86.65,86.64,86.65,86.50,86.51,86.51,86.51,86.59,86.59,86.59,86.59,86.59,86.59,86.59,86.60,86.17,86.17,86.17,86.17,86.19,86.19,86.19,86.19,86.13,86.13,86.13,86.13,92.724,92.724,92.724
1996-04,92.30,92.29,92.29,92.09,92.08,92.08,92.08,92.01,92.01,92.01,92.01,92.06,92.06,92.06,92.05,92.44,92.44,92.44,92.44,92.48,92.48,92.48,92.48,92.50,92.50,92.50,92.50,99.689,99.692,99.693
1996-07,91.49,91.51,91.51,91.50,91.50,91.50,91.50,91.57,91.57,91.57,91.58,91.56,91.56,91.56,91.54,91.46,91.46,91.46,91.46,91.48,91.48,91.48,91.48,91.45,91.45,91.45,91.45,98.728,98.725,98.732
