"",2005-11-22,2005-12-22,2006-01-24,2006-02-20,2006-03-20,2006-04-24,2006-05-24,2006-06-21,2006-07-21,2006-08-22,2006-09-20,2006-10-20,2006-11-22,2006-12-20,2007-01-22,2007-02-23,2007-03-23,2007-04-23,2007-05-23,2007-06-21,2007-07-20,2007-08-21,2007-09-21,2007-10-23,2007-11-21,2007-12-19,2008-01-21,2008-02-20,2008-03-25,2008-04-21,2008-05-21,2008-06-25,2008-07-21,2008-08-22,2008-09-24,2008-10-21,2008-11-25,2008-12-19,2009-01-23,2009-02-25,2009-03-31,2009-04-24,2009-05-25,2009-06-25,2009-07-24,2009-08-25,2009-09-25,2009-10-23,2009-11-25,2009-12-21,2010-01-25,2010-02-25,2010-03-24,2010-04-23,2010-05-25,2010-06-25,2010-07-23,2010-08-25,2010-09-23,2010-10-22,2010-11-25,2010-12-21,2011-01-25,2011-02-24,2011-03-24,2011-04-21,2011-05-24,2011-06-21,2011-07-21,2011-08-25,2011-09-21,2011-10-25,2011-11-23,2011-12-20,2012-01-24,2012-02-22,2012-03-23,2012-04-23,2012-05-25,2012-06-25,2012-07-25,2012-08-24,2012-09-25,2012-10-25,2012-11-23,2012-12-21,2013-01-25,2013-02-25,2013-03-25,2013-04-25,2013-05-23,2013-06-25,2013-07-25,2013-08-23,2013-09-26,2013-10-25,2013-11-25,2013-12-20,2014-01-23,2014-02-24,2014-03-24,2014-04-25,2014-05-22,2014-06-25,2014-07-25,2014-08-25,2014-09-25,2014-10-23,2014-11-24,2014-12-19,2015-01-23
unit,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/EURO,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro,DM/Euro
unit multiplier,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand,thousand
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,4168598,2059987,4028985,4028985,4028985,4028985,4028985,4028985,4028985,4028985,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4029420,4025394,4025394,4025394,4025394,4025394,4025394,4025394,4025394,4025394,4025394,4025394,3999879,4020781,4020781,4020781,4020781,4020781,4020781,4020781,4020781,4020781,3992056,3992056,3992056,3992056,3992056,3992056,3992056,3992056,3992056,3992056,3992056,3990444,3990444,3990444,3990444,3990988,3990988,3990988,3990988,3990988,3990988,3990988,3990988,3990988,3992038,3992038,3992038,3992223,3992223
1991-02,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,3721590,1893189,3702756,3702756,3702756,3702756,3702756,3702756,3702756,3702756,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3703523,3705621,3705621,3705621,3705621,3705621,3705621,3705621,3705621,3705621,3705621,3705621,3680276,3705762,3705762,3705762,3705762,3705762,3705762,3705762,3705762,3705762,3684617,3684617,3684617,3684617,3684617,3684617,3684617,3684617,3684617,3684617,3684617,3683748,3683748,3683748,3683748,3683935,3683935,3683935,3683935,3683935,3683935,3683935,3683935,3683935,3684926,3684926,3684926,3685313,3685313
1991-03,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,3991296,1989186,3890509,3890509,3890509,3890509,3890509,3890509,3890509,3890509,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3892251,3902526,3902526,3902526,3902526,3902526,3902526,3902526,3902526,3902526,3902526,3902526,3876636,3910653,3910653,3910653,3910653,3910653,3910653,3910653,3910653,3910653,3900011,3900011,3900011,3900011,3900011,3900011,3900011,3900011,3900011,3900011,3900011,3901250,3901250,3901250,3901250,3900627,3900627,3900627,3900627,3900627,3900627,3900627,3900627,3900627,3900456,3900456,3900456,3901259,3901259
1991-04,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,4099256,2060827,4030627,4030627,4030627,4030627,4030627,4030627,4030627,4030627,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4031196,4027938,4027938,4027938,4027938,4027938,4027938,4027938,4027938,4027938,4027938,4027938,3983367,4024029,4024029,4024029,4024029,4024029,4024029,4024029,4024029,4024029,4007986,4007986,4007986,4007986,4007986,4007986,4007986,4007986,4007986,4007986,4007986,4006865,4006865,4006865,4006865,4007197,4007197,4007197,4007197,4007197,4007197,4007197,4007197,4007197,4008035,4008035,4008035,4008263,4008263
1991-05,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,4064119,2096698,4100784,4100784,4100784,4100784,4100784,4100784,4100784,4100784,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4101761,4102366,4102366,4102366,4102366,4102366,4102366,4102366,4102366,4102366,4102366,4102366,4056627,4101885,4101885,4101885,4101885,4101885,4101885,4101885,4101885,4101885,4089199,4089199,4089199,4089199,4089199,4089199,4089199,4089199,4089199,4089199,4089199,4088896,4088896,4088896,4088896,4088509,4088509,4088509,4088509,4088509,4088509,4088509,4088509,4088509,4089214,4089214,4089214,4089791,4089791
1991-06,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,4054270,2125446,4157011,4157011,4157011,4157011,4157011,4157011,4157011,4157011,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4158185,4161605,4161605,4161605,4161605,4161605,4161605,4161605,4161605,4161605,4161605,4161605,4115001,4163569,4163569,4163569,4163569,4163569,4163569,4163569,4163569,4163569,4150851,4150851,4150851,4150851,4150851,4150851,4150851,4150851,4150851,4150851,4150851,4150161,4150161,4150161,4150161,4147610,4147610,4147610,4147610,4147610,4147610,4147610,4147610,4147610,4149565,4149565,4149565,4150752,4150752
