"",1999-05-28,1999-06-08,1999-09-09,1999-12-07,2000-03-28,2000-05-30,2000-08-29,2000-11-28,2001-03-01,2001-05-23,2001-08-23,2001-11-22,2002-02-27,2002-05-23,2002-08-22,2002-11-21,2003-02-26,2003-05-22,2003-08-21,2003-11-20,2004-02-19,2004-05-25,2004-08-24,2004-11-23,2005-02-22,2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,DEM,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EUR,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Manual,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,10.7,4.8,,,,,,,,,,,4.30,4.30,5.75,5.74,5.75,5.76,6.08,,5.87,5.91,5.58,5.59,5.61,3.64,3.60,3.60,7.04,3.58,3.84,3.84,3.74,3.74,4.00,4.00,4.00,4.00,3.84,3.84,3.86,3.84,4.69,4.67,4.67,4.67,5.04,5.08,5.08,5.08,5.10,5.10,5.10,5.10,4.89,4.89,4.89,4.89,4.86,4.86,4.86,4.88,5.020,5.169,5.169
1991-04,5.0,2.7,,,,,,,,,,,2.81,2.81,2.50,2.53,2.54,2.51,2.49,,2.52,2.50,2.90,2.91,2.94,4.92,4.92,4.92,9.62,4.91,5.14,5.14,5.15,5.15,5.38,5.38,5.38,5.38,5.14,5.14,5.16,5.13,5.27,5.38,5.38,5.39,5.40,5.50,5.50,5.42,5.75,5.75,5.67,5.67,6.22,6.22,6.22,6.22,6.01,6.01,6.01,6.02,4.574,4.488,4.488
1991-07,0.8,0.8,,,,,,,,,,,2.07,2.07,1.53,1.47,1.45,1.47,1.39,1.36,1.45,1.56,1.41,1.41,1.52,4.06,4.54,4.54,8.88,4.59,4.32,4.32,4.37,4.37,3.37,3.37,3.37,3.37,3.46,3.46,3.46,3.51,3.65,3.63,3.63,3.63,3.49,3.32,3.32,3.48,3.79,3.79,3.79,3.79,3.84,3.84,3.84,3.84,4.01,4.01,4.01,4.01,3.798,3.486,3.486
1991-10,-1.2,-0.4,,,,,,,,,,,-2.30,-2.30,-2.63,-2.59,-2.59,-2.56,-2.63,-2.60,-2.50,-2.59,-2.64,-2.65,-2.80,-1.52,-1.94,-1.94,-3.79,-1.96,-1.75,-1.75,-1.71,-1.71,-0.90,-0.90,-0.90,-0.90,-1.03,-1.03,-1.06,-1.06,-1.93,-2.00,-2.00,-2.00,-2.33,-2.29,-2.29,-2.39,-1.95,-1.95,-1.87,-1.87,-2.18,-2.18,-2.18,-2.18,-2.30,-2.30,-2.30,-2.33,-0.656,-0.416,-0.416
1992-01,3.0,0.8,0.9,1.2,0.8,1.30,1.29,,,,,,1.30,1.30,2.42,2.42,2.43,2.43,2.65,2.65,2.47,2.55,2.41,2.41,2.42,0.54,0.47,0.47,0.92,0.45,0.52,0.53,0.39,0.39,0.50,0.50,0.50,0.48,0.30,0.30,0.31,0.30,1.41,1.41,1.41,1.42,1.81,1.90,1.90,1.90,1.81,1.81,1.81,1.81,1.46,1.46,1.46,1.46,1.50,1.50,1.50,1.53,1.326,1.446,1.446
1992-04,0.4,0.4,-0.2,0.1,0.7,0.73,0.83,,,,,,0.59,0.59,0.32,0.34,0.36,0.34,0.44,0.45,0.52,0.47,0.82,0.83,0.86,1.42,1.47,1.47,2.88,1.46,1.66,1.67,1.70,1.70,1.82,1.82,1.82,1.80,1.73,1.73,1.79,1.77,1.85,1.93,1.93,1.95,1.84,1.91,1.91,1.84,2.60,2.60,2.52,2.52,3.13,3.13,3.13,3.13,2.85,2.85,2.85,2.87,1.749,1.614,1.614
