"",2005-05-24,2005-08-23,2005-11-22,2006-02-22,2006-05-23,2006-08-24,2006-11-23,2007-02-22,2007-05-24,2007-08-23,2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO
unit multiplier,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72,64.72
1991-04,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51,69.51
1991-07,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34,72.34
1991-10,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00,83.00
1992-01,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65,72.65
1992-04,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92,75.92
1992-07,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29,82.29
1992-10,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55,90.55
1993-01,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12,78.12
1993-04,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22,81.22
1993-07,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84,84.84
1993-10,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86,93.86
1994-01,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15,82.15
1994-04,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16,83.16
1994-07,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59,88.59
1994-10,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02,99.02
1995-01,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86,85.86
1995-04,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18,88.18
1995-07,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88,93.88
1995-10,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33,103.33
1996-01,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49,89.49
1996-04,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97,90.97
1996-07,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81,96.81
1996-10,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82,106.82
1997-01,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25,92.25
1997-04,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59,93.59
