"",2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13402.3824,13335.3266,13335.3266,13335.3266,13335.3266,13335.3266,13335.3266,13335.3266,13335.3266,13335.3266,13335.3266,13335.3266,13335.3266,13425.8321,13425.8321
1991-04,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12352.4074,12309.3894,12309.3894,12309.3894,12309.3894,12309.3894,12309.3894,12309.3894,12309.3894,12309.3894,12309.3894,12309.3894,12309.3894,12338.5776,12338.5776
1991-07,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13187.5850,13130.0597,13130.0597,13130.0597,13130.0597,13130.0597,13130.0597,13130.0597,13130.0597,13130.0597,13130.0597,13130.0597,13130.0597,13235.3677,13235.3677
1991-10,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12964.8182,12993.0944,12993.0944,12993.0944,12993.0944,12993.0944,12993.0944,12993.0944,12993.0944,12993.0944,12993.0944,12993.0944,12993.0944,13089.5032,13089.5032
1992-01,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13345.7904,13268.9396,13268.9396,13268.9396,13268.9396,13268.9396,13268.9396,13268.9396,13268.9396,13268.9396,13268.9396,13268.9396,13268.9396,13323.6179,13323.6179
1992-04,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12208.5656,12106.1800,12106.1800,12106.1800,12106.1800,12106.1800,12106.1800,12106.1800,12106.1800,12106.1800,12106.1800,12106.1800,12106.1800,12203.5549,12203.5549
1992-07,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13117.0185,13018.2177,13018.2177,13018.2177,13018.2177,13018.2177,13018.2177,13018.2177,13018.2177,13018.2177,13018.2177,13018.2177,13018.2177,13139.4066,13139.4066
1992-10,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12937.9492,12883.0078,12883.0078,12883.0078,12883.0078,12883.0078,12883.0078,12883.0078,12883.0078,12883.0078,12883.0078,12883.0078,12883.0078,12939.8666,12939.8666
1993-01,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12844.7760,12754.4510,12754.4510,12754.4510,12754.4510,12754.4510,12754.4510,12754.4510,12754.4510,12754.4510,12754.4510,12754.4510,12754.4510,12756.2429,12756.2429
1993-04,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11864.7760,11747.4677,11747.4677,11747.4677,11747.4677,11747.4677,11747.4677,11747.4677,11747.4677,11747.4677,11747.4677,11747.4677,11747.4677,11760.6436,11760.6436
1993-07,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12762.2205,12663.7445,12663.7445,12663.7445,12663.7445,12663.7445,12663.7445,12663.7445,12663.7445,12663.7445,12663.7445,12663.7445,12663.7445,12714.0364,12714.0364
1993-10,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12656.2373,12591.6393,12591.6393,12591.6393,12591.6393,12591.6393,12591.6393,12591.6393,12591.6393,12591.6393,12591.6393,12591.6393,12591.6393,12613.5672,12613.5672
1994-01,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12740.1945,12644.9434,12644.9434,12644.9434,12644.9434,12644.9434,12644.9434,12644.9434,12644.9434,12644.9434,12644.9434,12644.9434,12644.9434,12647.1174,12647.1174
1994-04,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11763.5583,11647.5971,11647.5971,11647.5971,11647.5971,11647.5971,11647.5971,11647.5971,11647.5971,11647.5971,11647.5971,11647.5971,11647.5971,11635.1715,11635.1715
1994-07,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12715.5688,12612.6676,12612.6676,12612.6676,12612.6676,12612.6676,12612.6676,12612.6676,12612.6676,12612.6676,12612.6676,12612.6676,12612.6676,12667.1931,12667.1931
1994-10,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12580.1368,12513.2852,12513.2852,12513.2852,12513.2852,12513.2852,12513.2852,12513.2852,12513.2852,12513.2852,12513.2852,12513.2852,12513.2852,12552.2830,12552.2830
1995-01,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12669.7340,12578.2599,12578.2599,12578.2599,12578.2599,12578.2599,12578.2599,12578.2599,12578.2599,12578.2599,12578.2599,12578.2599,12578.2599,12646.8154,12646.8154
1995-04,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11617.0942,11479.7890,11479.7890,11479.7890,11479.7890,11479.7890,11479.7890,11479.7890,11479.7890,11479.7890,11479.7890,11479.7890,11479.7890,11528.7358,11528.7358
