"",2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,299.7271,299.7382,299.7382,299.7382,299.7382,299.7300,299.7300,299.7300,299.7300,299.7168,299.7168,299.7168,299.7168,299.6849,299.6849,299.6849,299.6857,192.7800,192.7802,192.7800,192.7800,192.8000,192.8000,192.8005,192.8005,192.8096,192.8087,192.8087,192.8087,198.9898,199.0054
1991-04,262.5694,262.5518,262.5518,262.5518,262.5518,262.5279,262.5279,262.5279,262.5279,262.5513,262.5513,262.5513,262.5513,262.6010,262.6010,262.6010,262.6015,172.6100,172.6086,172.6100,172.6100,172.6200,172.6200,172.6174,172.6174,172.6092,172.6092,172.6092,172.6092,177.8540,177.8133
1991-07,254.6920,254.6765,254.6765,254.6765,254.6765,254.6456,254.6456,254.6456,254.6456,254.6574,254.6574,254.6574,254.6574,254.7299,254.7299,254.7299,254.7294,168.7500,168.7476,168.7500,168.7500,168.7500,168.7500,168.7452,168.7452,168.7310,168.7317,168.7317,168.7317,172.6389,172.7275
1991-10,246.8501,246.8325,246.8325,246.8325,246.8325,246.8062,246.8062,246.8062,246.8062,246.8097,246.8097,246.8097,246.8097,246.8216,246.8216,246.8216,246.8208,165.5700,165.5709,165.5700,165.5700,165.5700,165.5700,165.5697,165.5697,165.5582,165.5584,165.5584,165.5584,169.7408,169.6773
1992-01,237.1934,237.1784,237.1784,237.1784,237.1784,237.1736,237.1736,237.1736,237.1736,237.1760,237.1760,237.1760,237.1760,237.2284,237.2284,237.2284,237.2305,158.7500,158.7527,158.7500,158.7500,158.7700,158.7700,158.7737,158.7737,158.7776,158.7763,158.7763,158.7763,163.4974,163.4993
1992-04,227.8422,227.8281,227.8281,227.8281,227.8281,227.8099,227.8099,227.8099,227.8099,227.8220,227.8220,227.8220,227.8220,227.7939,227.7939,227.7939,227.7953,152.6700,152.6701,152.6700,152.6700,152.6800,152.6800,152.6773,152.6773,152.6692,152.6697,152.6697,152.6697,158.1452,158.1239
1992-07,218.8438,218.8409,218.8409,218.8409,218.8409,218.8059,218.8059,218.8059,218.8059,218.8154,218.8154,218.8154,218.8154,218.8068,218.8068,218.8068,218.8057,147.3700,147.3717,147.3700,147.3700,147.3700,147.3700,147.3702,147.3702,147.3596,147.3602,147.3602,147.3602,152.3044,152.3669
1992-10,210.2946,210.2850,210.2850,210.2850,210.2850,210.2639,210.2639,210.2639,210.2639,210.2691,210.2691,210.2691,210.2691,210.3354,210.3354,210.3354,210.3330,141.5800,141.5786,141.5800,141.5800,141.5700,141.5700,141.5733,141.5733,141.5641,141.5643,141.5643,141.5643,146.2206,146.1775
1993-01,207.1654,207.1374,207.1374,207.1374,207.1374,207.1398,207.1398,207.1398,207.1398,207.1428,207.1428,207.1428,207.1428,207.1391,207.1391,207.1391,207.1419,139.2100,139.2134,139.2100,139.2100,139.2400,139.2400,139.2360,139.2360,139.2392,139.2374,139.2374,139.2374,142.1365,142.1269
1993-04,204.4588,204.4450,204.4450,204.4450,204.4450,204.4360,204.4360,204.4360,204.4360,204.4376,204.4376,204.4376,204.4376,204.4630,204.4630,204.4630,204.4675,137.3200,137.3195,137.3200,137.3200,137.3200,137.3200,137.3240,137.3240,137.3161,137.3168,137.3168,137.3168,139.6035,139.6001
1993-07,200.7414,200.7425,200.7425,200.7425,200.7425,200.7089,200.7089,200.7089,200.7089,200.7179,200.7179,200.7179,200.7179,200.7179,200.7179,200.7179,200.7093,134.7600,134.7591,134.7600,134.7600,134.7600,134.7600,134.7621,134.7621,134.7529,134.7538,134.7538,134.7538,137.3967,137.4304
1993-10,198.2413,198.2396,198.2396,198.2396,198.2396,198.2055,198.2055,198.2055,198.2055,198.2189,198.2189,198.2189,198.2189,198.2137,198.2137,198.2137,198.2149,133.2600,133.2632,133.2600,133.2600,133.2500,133.2500,133.2521,133.2521,133.2422,133.2424,133.2424,133.2424,135.7213,135.7006
1994-01,199.5649,199.5345,199.5345,199.5345,199.5345,199.5504,199.5504,199.5504,199.5504,199.5361,199.5361,199.5361,199.5361,199.5495,199.5495,199.5495,199.5504,135.3100,135.3114,135.3100,135.3100,135.3400,135.3400,135.3373,135.3373,135.3429,135.3407,135.3407,135.3407,136.5469,136.5338
1994-04,198.1093,198.0915,198.0915,198.0915,198.0915,198.0804,198.0804,198.0804,198.0804,198.0759,198.0759,198.0759,198.0759,198.0724,198.0724,198.0724,198.0859,133.8000,133.8007,133.8000,133.8000,133.8000,133.8000,133.7986,133.7986,133.7896,133.7906,133.7906,133.7906,135.2197,135.2269
1994-07,198.7751,198.7820,198.7820,198.7820,198.7820,198.7451,198.7451,198.7451,198.7451,198.7652,198.7652,198.7652,198.7652,198.7777,198.7777,198.7777,198.7518,133.8200,133.8216,133.8200,133.8200,133.8300,133.8300,133.8262,133.8262,133.8160,133.8173,133.8173,133.8173,135.1153,135.1239
1994-10,199.7686,199.7650,199.7650,199.7650,199.7650,199.7226,199.7226,199.7226,199.7226,199.7474,199.7474,199.7474,199.7474,199.7444,199.7444,199.7444,199.7560,134.4600,134.4610,134.4600,134.4600,134.4500,134.4500,134.4513,134.4513,134.4401,134.4402,134.4402,134.4402,135.3788,135.3761
1995-01,196.1435,196.1257,196.1257,196.1257,196.1257,196.1586,196.1586,196.1586,196.1586,196.1155,196.1155,196.1155,196.1155,196.1479,196.1479,196.1479,196.1446,132.5900,132.5940,132.5900,132.5900,132.6200,132.6200,132.6173,132.6173,132.6220,132.6199,132.6199,132.6199,134.6177,134.6033
1995-04,196.4255,196.3966,196.3966,196.3966,196.3966,196.3464,196.3464,196.3464,196.3464,196.3321,196.3321,196.3321,196.3321,196.3038,196.3038,196.3038,196.3293,132.4300,132.4300,132.4300,132.4300,132.4300,132.4300,132.4262,132.4262,132.4250,132.4247,132.4247,132.4247,133.8997,133.8878
1995-07,193.4400,193.4451,193.4451,193.4451,193.4451,193.4158,193.4158,193.4158,193.4158,193.4603,193.4603,193.4603,193.4603,193.4781,193.4781,193.4781,193.4328,130.8700,130.8652,130.8700,130.8700,130.8600,130.8600,130.8632,130.8632,130.8466,130.8487,130.8487,130.8487,132.0905,132.1309
1995-10,193.9043,193.9017,193.9017,193.9017,193.9017,193.8749,193.8749,193.8749,193.8749,193.9148,193.9148,193.9148,193.9148,193.9111,193.9111,193.9111,193.9343,130.7400,130.7400,130.7400,130.7400,130.7400,130.7400,130.7405,130.7405,130.7292,130.7295,130.7295,130.7295,132.2170,132.2030
1996-01,180.2226,180.2187,180.2187,180.2187,180.2187,180.2849,180.2849,180.2849,180.2849,180.2105,180.2105,180.2105,180.2105,180.2651,180.2651,180.2651,180.2598,123.0300,123.0346,123.0300,123.0300,123.0600,123.0600,123.0609,123.0609,123.0630,123.0612,123.0612,123.0612,123.4123,123.3865
