"",2007-05-22,2007-08-21,2007-11-20,2008-02-21,2008-05-21,2008-08-21,2008-11-18,2009-02-19,2009-05-20,2009-08-20,2009-11-19,2010-02-18,2010-05-19,2010-08-18,2010-11-18,2011-02-17,2011-05-19,2011-08-18,2011-11-17,2012-02-16,2012-05-16,2012-08-16,2012-11-15,2013-02-19,2013-05-16,2013-08-20,2013-11-19,2014-02-18,2014-05-20,2014-08-21,2014-11-18
unit,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,STUNDEN,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden,Stunden
unit multiplier,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million,million
Baseyear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1068.2640,1142.8648,1142.8648,1142.8648,1142.8648,1142.8648,1142.8648,1142.8648,1142.8648,1142.8648,1142.8648,1142.8648,1142.8648,1132.2971,1132.2971
1991-04,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1139.1138,1208.4834,1208.4834,1208.4834,1208.4834,1208.4834,1208.4834,1208.4834,1208.4834,1208.4834,1208.4834,1208.4834,1208.4834,1174.2951,1174.2951
1991-07,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1263.5968,1334.3549,1334.3549,1334.3549,1334.3549,1334.3549,1334.3549,1334.3549,1334.3549,1334.3549,1334.3549,1334.3549,1334.3549,1300.1829,1300.1829
1991-10,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1216.1606,1286.6666,1286.6666,1286.6666,1286.6666,1286.6666,1286.6666,1286.6666,1286.6666,1286.6666,1286.6666,1286.6666,1286.6666,1258.4080,1258.4080
1992-01,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1163.0912,1239.2207,1239.2207,1239.2207,1239.2207,1239.2207,1239.2207,1239.2207,1239.2207,1239.2207,1239.2207,1239.2207,1239.2207,1219.8943,1219.8943
1992-04,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1199.1375,1265.7194,1265.7194,1265.7194,1265.7194,1265.7194,1265.7194,1265.7194,1265.7194,1265.7194,1265.7194,1265.7194,1265.7194,1236.9534,1236.9534
1992-07,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1338.3252,1411.9627,1411.9627,1411.9627,1411.9627,1411.9627,1411.9627,1411.9627,1411.9627,1411.9627,1411.9627,1411.9627,1411.9627,1373.5819,1373.5819
1992-10,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1302.0510,1380.3475,1380.3475,1380.3475,1380.3475,1380.3475,1380.3475,1380.3475,1380.3475,1380.3475,1380.3475,1380.3475,1380.3475,1340.6267,1340.6267
1993-01,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1167.4424,1239.2213,1239.2213,1239.2213,1239.2213,1239.2213,1239.2213,1239.2213,1239.2213,1239.2213,1239.2213,1239.2213,1239.2213,1217.7870,1217.7870
1993-04,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1230.3000,1294.2955,1294.2955,1294.2955,1294.2955,1294.2955,1294.2955,1294.2955,1294.2955,1294.2955,1294.2955,1294.2955,1294.2955,1253.8278,1253.8278
1993-07,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1370.8200,1438.5853,1438.5853,1438.5853,1438.5853,1438.5853,1438.5853,1438.5853,1438.5853,1438.5853,1438.5853,1438.5853,1438.5853,1393.6834,1393.6834
1993-10,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1324.8846,1398.5778,1398.5778,1398.5778,1398.5778,1398.5778,1398.5778,1398.5778,1398.5778,1398.5778,1398.5778,1398.5778,1398.5778,1362.5672,1362.5672
1994-01,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1240.5290,1315.0497,1315.0497,1315.0497,1315.0497,1315.0497,1315.0497,1315.0497,1315.0497,1315.0497,1315.0497,1315.0497,1315.0497,1295.2279,1295.2279
1994-04,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1270.3533,1335.8511,1335.8511,1335.8511,1335.8511,1335.8511,1335.8511,1335.8511,1335.8511,1335.8511,1335.8511,1335.8511,1335.8511,1300.1847,1300.1847
1994-07,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1411.7956,1482.9384,1482.9384,1482.9384,1482.9384,1482.9384,1482.9384,1482.9384,1482.9384,1482.9384,1482.9384,1482.9384,1482.9384,1445.2385,1445.2385
1994-10,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1390.6200,1463.6665,1463.6665,1463.6665,1463.6665,1463.6665,1463.6665,1463.6665,1463.6665,1463.6665,1463.6665,1463.6665,1463.6665,1436.1363,1436.1363
1995-01,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1282.6653,1361.5946,1361.5946,1361.5946,1361.5946,1361.5946,1361.5946,1361.5946,1361.5946,1361.5946,1361.5946,1361.5946,1361.5946,1356.4741,1356.4741
1995-04,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1270.0050,1332.4894,1332.4894,1332.4894,1332.4894,1332.4894,1332.4894,1332.4894,1332.4894,1332.4894,1332.4894,1332.4894,1332.4894,1309.9804,1309.9804
