"",2007-11-22,2008-02-26,2008-05-27,2008-08-26,2008-11-25,2009-02-25,2009-05-26,2009-08-25,2009-11-24,2010-02-24,2010-05-21,2010-08-24,2010-11-23,2011-02-24,2011-05-24,2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2000=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2005=100,2010=100,2010=100,2010=100
unit multiplier,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one,one
Baseyear,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010
Record meth,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,92.57,92.57,92.57,92.64,92.64,92.64,92.64,92.84,92.84,92.84,92.84,92.67,92.67,92.67,92.67,89.73,89.73,89.73,89.73,89.74,89.74,89.74,89.74,89.70,89.70,89.70,89.70,81.61,81.61,81.61
1991-04,103.53,103.53,103.53,103.46,103.46,103.46,103.46,103.70,103.70,103.70,103.70,104.41,104.41,104.41,104.41,92.88,92.88,92.88,92.88,92.91,92.91,92.91,92.91,92.89,92.89,92.89,92.89,84.65,84.65,84.65
1991-07,97.10,97.10,97.10,97.06,97.06,97.06,97.06,97.32,97.32,97.32,97.32,97.14,97.14,97.14,97.14,90.81,90.81,90.81,90.81,90.80,90.80,90.80,90.80,90.77,90.77,90.77,90.77,83.19,83.19,83.19
1991-10,89.11,89.11,89.11,89.19,89.19,89.19,89.19,88.55,88.55,88.55,88.55,88.25,88.25,88.25,88.25,81.80,81.80,81.80,81.80,81.83,81.83,81.83,81.83,81.81,81.81,81.81,81.81,75.29,75.29,75.29
1992-01,96.72,96.72,96.72,96.67,96.67,96.67,96.67,96.86,96.86,96.86,96.86,96.73,96.73,96.73,96.73,89.04,89.04,89.04,89.04,89.06,89.06,89.06,89.06,89.04,89.04,89.04,89.04,81.20,81.20,81.20
1992-04,88.82,88.82,88.82,88.82,88.82,88.82,88.82,88.98,88.98,88.98,88.98,89.49,89.49,89.49,89.49,83.22,83.22,83.22,83.22,83.23,83.23,83.23,83.23,83.21,83.21,83.21,83.21,75.91,75.91,75.91
1992-07,79.88,79.88,79.88,79.85,79.85,79.85,79.85,80.01,80.01,80.01,80.01,79.86,79.86,79.86,79.86,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,74.51,68.08,68.08,68.08
1992-10,72.58,72.58,72.58,72.53,72.53,72.53,72.53,72.07,72.07,72.07,72.07,71.88,71.88,71.88,71.88,66.83,66.83,66.83,66.83,66.86,66.86,66.86,66.86,66.86,66.86,66.86,66.86,60.96,60.96,60.96
1993-01,69.38,69.38,69.38,69.35,69.35,69.35,69.35,69.49,69.49,69.49,69.49,69.42,69.42,69.42,69.42,62.56,62.56,62.56,62.56,62.58,62.58,62.58,62.58,62.57,62.57,62.57,62.57,56.83,56.83,56.83
1993-04,61.12,61.12,61.12,61.08,61.08,61.08,61.08,61.19,61.19,61.19,61.19,61.53,61.53,61.53,61.53,57.18,57.18,57.18,57.18,57.20,57.20,57.20,57.20,57.18,57.18,57.18,57.18,52.04,52.04,52.04
1993-07,62.80,62.80,62.80,62.78,62.78,62.78,62.78,62.90,62.90,62.90,62.90,62.82,62.82,62.82,62.82,58.06,58.06,58.06,58.06,58.06,58.06,58.06,58.06,58.04,58.04,58.04,58.04,52.89,52.89,52.89
1993-10,65.94,65.94,65.94,65.88,65.88,65.88,65.88,65.54,65.54,65.54,65.54,65.42,65.42,65.42,65.42,59.88,59.88,59.88,59.88,59.92,59.92,59.92,59.92,59.91,59.91,59.91,59.91,54.63,54.63,54.63
1994-01,62.42,62.42,62.42,62.36,62.36,62.36,62.36,62.44,62.44,62.44,62.44,62.41,62.41,62.41,62.41,57.44,57.44,57.44,57.44,57.47,57.47,57.47,57.47,57.46,57.46,57.46,57.46,52.40,52.40,52.40
1994-04,66.60,66.60,66.60,66.55,66.55,66.55,66.55,66.67,66.67,66.67,66.67,66.98,66.98,66.98,66.98,62.21,62.21,62.21,62.21,62.22,62.22,62.22,62.22,62.20,62.20,62.20,62.20,56.65,56.65,56.65
1994-07,65.75,65.75,65.75,65.73,65.73,65.73,65.73,65.91,65.91,65.91,65.91,65.82,65.82,65.82,65.82,61.13,61.13,61.13,61.13,61.12,61.12,61.12,61.12,61.10,61.10,61.10,61.10,55.69,55.69,55.69
1994-10,67.40,67.40,67.40,67.37,67.37,67.37,67.37,67.04,67.04,67.04,67.04,66.92,66.92,66.92,66.92,62.53,62.53,62.53,62.53,62.56,62.56,62.56,62.56,62.54,62.54,62.54,62.54,56.99,56.99,56.99
1995-01,67.39,67.39,67.39,67.28,67.28,67.28,67.28,67.35,67.35,67.35,67.35,67.38,67.38,67.38,67.38,62.83,62.83,62.83,62.83,62.88,62.88,62.88,62.88,62.89,62.89,62.89,62.89,57.44,57.44,57.44
1995-04,67.76,67.76,67.76,67.74,67.74,67.74,67.74,67.85,67.85,67.85,67.85,68.06,68.06,68.06,68.06,64.01,64.01,64.01,64.01,64.00,64.00,64.00,64.00,63.98,63.98,63.98,63.98,58.32,58.32,58.32
1995-07,67.19,67.19,67.19,67.23,67.23,67.23,67.23,67.41,67.41,67.41,67.41,67.35,67.35,67.35,67.35,62.12,62.12,62.12,62.12,62.10,62.10,62.10,62.10,62.07,62.07,62.07,62.07,56.43,56.43,56.43
1995-10,68.38,68.38,68.38,68.36,68.36,68.36,68.36,68.03,68.03,68.03,68.03,67.92,67.92,67.92,67.92,64.24,64.24,64.24,64.24,64.29,64.29,64.29,64.29,64.27,64.27,64.27,64.27,58.53,58.53,58.53
1996-01,72.79,72.79,72.79,72.70,72.70,72.70,72.70,72.73,72.73,72.73,72.73,72.80,72.80,72.80,72.80,67.53,67.53,67.53,67.53,67.58,67.58,67.58,67.58,67.56,67.56,67.56,67.56,61.50,61.50,61.50
1996-04,69.08,69.08,69.08,69.03,69.03,69.03,69.03,69.11,69.11,69.11,69.11,69.27,69.27,69.27,69.27,63.94,63.94,63.94,63.94,63.92,63.92,63.92,63.92,63.91,63.91,63.91,63.91,58.25,58.25,58.25
1996-07,69.97,69.97,69.97,70.02,70.02,70.02,70.02,70.20,70.20,70.20,70.20,70.19,70.19,70.19,70.19,65.29,65.29,65.29,65.29,65.26,65.26,65.26,65.26,65.22,65.22,65.22,65.22,59.37,59.37,59.37
1996-10,72.60,72.60,72.60,72.62,72.62,72.62,72.62,72.34,72.34,72.34,72.34,72.18,72.18,72.18,72.18,68.43,68.43,68.43,68.43,68.49,68.49,68.49,68.49,68.48,68.48,68.48,68.48,62.32,62.32,62.32
1997-01,74.23,74.23,74.23,74.29,74.29,74.29,74.29,74.14,74.14,74.14,74.14,74.26,74.26,74.26,74.26,70.82,70.82,70.82,70.82,70.85,70.85,70.85,70.85,70.81,70.81,70.81,70.81,64.68,64.68,64.68
1997-04,81.53,81.53,81.53,81.32,81.32,81.32,81.32,81.46,81.46,81.46,81.46,81.61,81.61,81.61,81.61,74.57,74.57,74.57,74.57,74.56,74.56,74.56,74.56,74.54,74.54,74.54,74.54,68.13,68.13,68.13
1997-07,80.09,80.09,80.09,80.20,80.20,80.20,80.20,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,75.33,75.33,75.33,75.33,75.26,75.26,75.26,75.26,75.23,75.23,75.23,75.23,68.75,68.75,68.75
1997-10,82.63,82.63,82.63,82.60,82.60,82.60,82.60,82.46,82.46,82.46,82.46,82.23,82.23,82.23,82.23,78.10,78.10,78.10,78.10,78.21,78.21,78.21,78.21,78.20,78.20,78.20,78.20,71.45,71.45,71.45
1998-01,79.19,79.19,79.19,79.11,79.11,79.11,79.11,78.76,78.76,78.76,78.76,78.95,78.95,78.95,78.95,74.85,74.85,74.85,74.85,74.92,74.92,74.92,74.92,74.88,74.88,74.88,74.88,68.54,68.54,68.54
1998-04,80.50,80.50,80.50,80.35,80.35,80.35,80.35,80.52,80.52,80.52,80.52,80.70,80.70,80.70,80.70,76.62,76.62,76.62,76.62,76.58,76.58,76.58,76.58,76.57,76.57,76.57,76.57,70.04,70.04,70.04
1998-07,86.99,86.99,86.99,87.14,87.14,87.14,87.14,87.40,87.40,87.40,87.40,87.38,87.38,87.38,87.38,82.69,82.69,82.69,82.69,82.62,82.62,82.62,82.62,82.58,82.58,82.58,82.58,75.69,75.69,75.69
1998-10,93.51,93.51,93.51,93.41,93.41,93.41,93.41,93.34,93.34,93.34,93.34,93.09,93.09,93.09,93.09,85.14,85.14,85.14,85.14,85.29,85.29,85.29,85.29,85.29,85.29,85.29,85.29,77.79,77.79,77.79
1999-01,87.27,87.27,87.27,87.11,87.11,87.11,87.11,86.54,86.54,86.54,86.54,86.82,86.82,86.82,86.82,83.94,83.94,83.94,83.94,84.01,84.01,84.01,84.01,83.98,83.98,83.98,83.98,76.52,76.52,76.52
