"",2011-09-01,2011-11-24,2012-02-24,2012-05-24,2012-08-23,2012-11-23,2013-02-22,2013-05-24,2013-08-23,2013-11-22,2014-02-25,2014-05-23,2014-09-01,2014-11-25,2015-02-24
unit,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,EURO,Euro,Euro,Euro
unit multiplier,billion,billion,one,one,one,one,one,one,one,one,one,one,billion,billion,billion
Baseyear,,,,,,,,,,,,,,,
Record meth,Manual,Manual,,,,,,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised,Computerised
1991-01,5.66,5.66,5.66,5.66,5.67,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.308,5.308,5.308
1991-04,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.91,5.551,5.551,5.551
1991-07,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,6.02,5.643,5.643,5.643
1991-10,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,6.18,5.807,5.807,5.807
1992-01,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.39,6.003,6.003,6.003
1992-04,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.60,6.202,6.202,6.202
1992-07,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.446,6.446,6.446
1992-10,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.83,6.417,6.417,6.417
1993-01,6.84,6.84,6.84,6.84,6.85,6.84,6.84,6.84,6.84,6.84,6.84,6.84,6.452,6.452,6.452
1993-04,6.93,6.93,6.93,6.93,6.94,6.95,6.95,6.95,6.95,6.95,6.95,6.95,6.554,6.554,6.554
1993-07,7.03,7.03,7.03,7.03,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,6.633,6.633,6.633
1993-10,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,7.12,6.721,6.721,6.721
1994-01,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,7.08,6.685,6.685,6.685
1994-04,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,7.02,6.628,6.628,6.628
1994-07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,7.07,6.681,6.681,6.681
1994-10,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,7.22,6.807,6.807,6.807
